loc,t,aDotUA,bDotUA,gDotUA,aUA,bUA,gUA,xUA,yUA,zUA,qE,qDotE,emgA,emgB,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,xSH,ySH,zSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xUB,yUB,zUB,xHand,yHand,zHand,aHand,bHand,gHand,enable
0,0,-0.0881874,-0.117285,0.06364091,-1.439402,-4.177649,2.953882,0.6340295,1.10483,0.4901991,-1.785901,0.2615585,2.7,56.9,-0.1026384,-0.0545189,0.08251499,-0.87099,-4.35848,0.1107004,0.6649543,1.29868,0.4337218,-0.07461861,0.01026171,-0.06326209,-0.9844231,0.3299461,-0.05465952,0.7859256,1.384168,0.2764971,0.4691238,1.008984,0.296503,293.3687,233.956,351.5781,True
0,0.01111111,-0.08496512,-0.1279708,0.05731345,-1.440078,-4.175983,2.954459,0.6336937,1.104888,0.4898167,-1.782453,0.3103821,2.7,56.9,-0.1133646,-0.0342698,0.07626647,-0.8702443,-4.358068,0.112044,0.6648972,1.298819,0.4334519,-0.08412752,0.02301374,-0.05670117,-0.9848966,0.3307634,-0.05390691,0.786091,1.384096,0.276319,0.4688933,1.008672,0.2961754,293.4052,234.1014,351.4754,True
0,0.02222222,-0.08069742,-0.1333454,0.04882728,-1.440665,-4.174392,2.955075,0.6334596,1.104956,0.4894629,-1.778447,0.3608452,2.7,56.9,-0.1210087,0.006249756,0.0583207,-0.8700052,-4.35629,0.1124951,0.6646781,1.298954,0.4331856,-0.09355368,0.03255498,-0.04375214,-0.9849153,0.3317071,-0.05306828,0.7863016,1.383991,0.2762201,0.4686681,1.008127,0.2958703,293.4805,234.2181,351.4244,True
0,0.03333334,-0.08067486,-0.1397848,0.0414125,-1.441213,-4.17274,2.955638,0.6330142,1.105054,0.4889455,-1.77466,0.340116,2.7,56.9,-0.1275802,0.02546854,0.03818315,-0.870091,-4.355235,0.1134368,0.6644055,1.299022,0.4329076,-0.1051209,0.04529274,-0.0318301,-0.9849041,0.332864,-0.05223977,0.7863522,1.383998,0.2761226,0.4685104,1.007346,0.2955588,293.6353,234.3548,351.3327,True
0,0.04444445,-0.07746381,-0.1462055,0.03612965,-1.441799,-4.170942,2.956143,0.6326258,1.105092,0.4885757,-1.770072,0.4132476,2.7,53.7,-0.1449662,0.05537933,-0.001020743,-0.8712547,-4.352925,0.1141732,0.6640742,1.299116,0.4326193,-0.1093759,0.0570045,-0.03066171,-0.9851938,0.3341255,-0.05160141,0.7864718,1.383938,0.276,0.4684711,1.006343,0.2952189,293.862,234.4735,351.2223,True
0,0.05555556,-0.0806544,-0.1515649,0.03297428,-1.442474,-4.169114,2.957015,0.6322168,1.105106,0.488214,-1.76515,0.4429356,2.7,53.7,-0.1515494,0.09908919,-0.0189684,-0.8717325,-4.349748,0.1140248,0.6637128,1.29921,0.4322617,-0.1241472,0.0739976,-0.01869365,-0.9851928,0.3358147,-0.05065332,0.7866223,1.383997,0.2758856,0.4685405,1.005139,0.2948219,294.1573,234.5632,351.1035,True
0,0.06666667,-0.07425383,-0.1547946,0.02553159,-1.442756,-4.167312,2.957346,0.6317902,1.105183,0.4878809,-1.759808,0.4806517,2.7,53.7,-0.1494728,0.124667,-0.02211436,-0.8718273,-4.346728,0.1136818,0.6633724,1.29932,0.4319675,-0.1240671,0.089957,-0.01225125,-0.9852545,0.3376909,-0.05043841,0.786734,1.383948,0.2758338,0.4686098,1.003759,0.2943018,294.5001,234.611,350.9794,True
0,0.07777778,-0.07210811,-0.160157,0.01917465,-1.443116,-4.165398,2.957798,0.6313467,1.105205,0.4874907,-1.753697,0.5505625,2.7,53.7,-0.1568752,0.1533925,-0.01133312,-0.8712702,-4.343414,0.1134768,0.6631236,1.299459,0.4316638,-0.1304522,0.1080459,-0.009973701,-0.9854112,0.3397028,-0.0497838,0.7869406,1.383893,0.2758031,0.4687379,1.002244,0.2937324,294.8517,234.6338,350.8251,True
0,0.08888889,-0.06889658,-0.1675856,0.0213563,-1.443834,-4.163452,2.958272,0.630862,1.105193,0.4870424,-1.748139,0.4992114,0.6,40.5,-0.1685486,0.165082,-0.003756053,-0.8708308,-4.340466,0.1139172,0.6627585,1.299602,0.4314156,-0.1379573,0.121901,-0.01302478,-0.9858122,0.3418693,-0.0492541,0.7870601,1.383855,0.2757635,0.4689012,1.000634,0.2931477,295.2265,234.6422,350.6572,True
0,0.1,-0.06034012,-0.1835921,0.01400149,-1.444185,-4.160929,2.958395,0.6304277,1.105195,0.4866641,-1.741715,0.5786979,0.6,40.5,-0.1716486,0.172502,0.01013714,-0.8699903,-4.337762,0.1142086,0.6625232,1.299658,0.4311669,-0.1400494,0.1250843,-0.009789545,-0.9858969,0.3436457,-0.04860056,0.7873599,1.383877,0.2757015,0.4690902,0.9989619,0.2926022,295.6083,234.6032,350.5327,True
