loc,t,aDotUA,bDotUA,gDotUA,aUA,bUA,gUA,xUA,yUA,zUA,aDotE,bDotE,gDotE,aE,bE,gE,xE,yE,zE,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,xSH,ySH,zSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xUB,yUB,zUB,xHand,yHand,zHand,aHand,bHand,gHand
1,0,-0.3472015,-0.7924847,0.02507672,-1.483631,-4.480517,-3.118945,0.7185094,1.260846,0.4380725,0.07446412,0.4556888,-0.5975405,4.69026,-4.379751,0.970651,0.6231358,1.088582,0.4105133,-0.02769578,0.08743385,0.007215528,-0.6451939,-4.538535,-0.1439023,0.735064,1.470823,0.3476623,0.09966264,-0.008415997,0.04037809,-1.237355,0.01493328,-0.0587504,0.8023665,1.522407,0.1513807,0.5015499,0.9965353,0.2981307,322.7255,203.1336,44.99176
1,0.01111111,-0.3071414,-0.8972434,0.04242869,-1.485561,-4.461831,-3.121675,0.7164686,1.260625,0.4378415,0.1246611,0.5303769,-0.8170353,4.68929,-4.365955,0.9715946,0.6220617,1.08847,0.4087726,-0.0724961,0.09695847,0.001086934,-0.6456174,-4.53632,-0.1431814,0.7348073,1.470669,0.3476396,0.09964319,0.02568967,0.02871494,-1.237479,0.01636033,-0.06048465,0.8024833,1.522649,0.1514439,0.5017647,0.9982888,0.2961026,321.3015,202.6241,44.75389
1,0.02222222,-0.2622396,-0.9832739,0.06299076,-1.487068,-4.446986,-3.123346,0.7147264,1.260372,0.4377941,0.1374452,0.5556301,-0.9086625,4.687891,-4.351806,0.9715946,0.62095,1.088271,0.4070465,-0.1045032,0.1139599,-0.005113872,-0.6462964,-4.533363,-0.1433992,0.7344434,1.470691,0.347749,0.09315636,0.04599171,0.01605482,-1.237622,0.01785796,-0.06172542,0.8024197,1.522682,0.1514922,0.5023454,0.9981657,0.291361,319.7545,202.1793,44.46144
1,0.03333334,-0.2145449,-1.05671,0.1076716,-1.489449,-4.431584,-3.124971,0.712873,1.259915,0.4377204,0.144893,0.5660284,-1.003461,4.684891,-4.336971,0.9710571,0.6195691,1.087725,0.4050219,-0.1428936,0.1661,0.0004894519,-0.6465995,-4.527029,-0.145525,0.7338502,1.470431,0.3477673,0.08990733,0.06943738,0.005469418,-1.238166,0.01918341,-0.06307165,0.8025453,1.522797,0.1514392,0.5024754,0.9986362,0.2879263,317.9244,202.1901,43.71908
1,0.04444445,-0.1808451,-1.109881,0.1649666,-1.491535,-4.417918,-3.12624,0.7110431,1.259442,0.4375988,0.1434535,0.5549964,-1.030678,4.681093,-4.323213,0.971258,0.6182468,1.086845,0.4030016,-0.1684626,0.2044052,0.008136882,-0.6467109,-4.520813,-0.1478222,0.7333004,1.470311,0.3476135,0.08678186,0.0864909,0.006601569,-1.238162,0.0208391,-0.06447513,0.8025932,1.522873,0.1515391,0.5029629,0.9980717,0.2828183,316.2737,202.4035,42.79848
1,0.05555556,-0.154532,-1.134448,0.196344,-1.493963,-4.405541,-3.124885,0.7091889,1.258882,0.4373995,0.08909325,0.5370831,-1.039258,4.678282,-4.310129,0.9714733,0.6168897,1.086264,0.4009809,-0.2175611,0.3055247,0.01811394,-0.6471929,-4.508945,-0.1529938,0.7323976,1.469914,0.3475962,0.07968311,0.1131502,0.02800805,-1.237683,0.02368056,-0.0661649,0.8031099,1.522823,0.1515622,0.5029387,0.9980076,0.2789138,314.952,202.7821,41.75297
1,0.06666667,-0.1033825,-1.186562,0.2466984,-1.496588,-4.392287,-3.122441,0.7066355,1.258123,0.4371431,0.0241862,0.5309259,-1.060386,4.673868,-4.295115,0.9699262,0.6149571,1.085902,0.3990774,-0.2720993,0.4418046,0.01750369,-0.6485282,-4.493496,-0.1604784,0.7313383,1.469339,0.3476802,0.08090897,0.1206433,0.04076105,-1.237375,0.02627115,-0.0676576,0.8033125,1.522879,0.1516777,0.5031131,0.9974681,0.2743078,314.0078,203.1399,40.78305
1,0.07777778,-0.1105133,-1.23369,0.2383492,-1.498562,-4.378156,-3.122472,0.704231,1.257641,0.4368338,0.02394136,0.5394572,-1.080516,4.671927,-4.279472,0.9705417,0.6129878,1.08538,0.3969035,-0.291329,0.4684094,0.01445166,-0.6494097,-4.483817,-0.1644025,0.7307234,1.469056,0.3476998,0.08764699,0.1258755,0.06518847,-1.235918,0.02753336,-0.06963341,0.8034024,1.523111,0.1520126,0.503455,0.9965863,0.2693807,313.0878,203.5782,39.61636
1,0.08888889,-0.09581882,-1.283465,0.2245281,-1.500432,-4.362625,-3.122999,0.7012014,1.25704,0.4363366,0.04162613,0.563437,-1.11874,4.670256,-4.263641,0.9702896,0.6109307,1.084753,0.3948562,-0.3789275,0.5247759,-0.01375897,-0.6519317,-4.471305,-0.1670409,0.729455,1.468614,0.3479463,0.0880394,0.1322866,0.09709174,-1.234868,0.03046963,-0.07123557,0.8037686,1.523313,0.1522834,0.5035486,0.9956654,0.2648574,312.124,204.4988,37.54567
1,0.1,-0.07406293,-1.28937,0.186041,-1.501205,-4.346977,-3.124566,0.6979835,1.256536,0.435669,0.07790865,0.6025693,-1.13579,4.669601,-4.249325,0.9692978,0.6086743,1.084213,0.3929721,-0.4205546,0.5119475,-0.03058059,-0.6536431,-4.463474,-0.167209,0.728544,1.468311,0.348101,0.09565562,0.136504,0.1087232,-1.233383,0.03233051,-0.07318234,0.8038857,1.523428,0.1525392,0.5035809,0.9943702,0.2601452,311.0144,205.6745,35.03465
