loc,t,aDotUA,bDotUA,gDotUA,aUA,bUA,gUA,xUA,yUA,zUA,qE,qDotE,emgA,emgB,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,xSH,ySH,zSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xUB,yUB,zUB,xHand,yHand,zHand,aHand,bHand,gHand,enable
3,0,0.0718039,0.4169056,0.2613571,-1.412524,-2.017871,2.923189,0.7386689,1.252632,-0.02526492,-1.061931,0.01136144,0,0,0.1865833,-0.2919621,-0.1570916,-0.9799911,-1.541241,-0.1826012,0.7934389,1.42104,-0.007205188,0.1075206,-0.2307076,0.0009703778,-0.9298598,0.002089383,0.01438879,0.8495376,1.505712,0.1979448,0.4692976,1.01386,0.1081368,57.84225,121.895,187.716,True
3,0.01111111,0.08686754,0.3498293,0.2485537,-1.414307,-2.02028,2.92216,0.7379022,1.252396,-0.02467248,-1.061977,-0.006387819,0,0,0.1939322,-0.2717131,-0.1869381,-0.9825935,-1.544786,-0.1829975,0.7928982,1.420845,-0.00719735,0.104995,-0.2303939,-0.01707701,-0.9306246,-0.001104812,0.01512169,0.8497484,1.505624,0.1976646,0.4685366,1.014007,0.1085073,58.00994,121.6022,187.8471,True
3,0.02222222,0.1072518,0.2774403,0.2325244,-1.416145,-2.021211,2.92039,0.7371874,1.252107,-0.02426198,-1.061786,0.01700872,0,0,0.2055888,-0.2653452,-0.2008498,-0.9847459,-1.548584,-0.1835602,0.7922575,1.4206,-0.00724709,0.105752,-0.2269574,-0.03196415,-0.9315663,-0.003977298,0.01566818,0.8499539,1.505421,0.1974268,0.4676183,1.014176,0.108792,58.13433,121.334,187.9519,True
3,0.03333334,0.1147224,0.2433768,0.2240226,-1.418297,-2.0238,2.919883,0.7360055,1.251882,-0.02382931,-1.061591,0.01550592,0,0,0.2205016,-0.2590094,-0.2041399,-0.9866613,-1.552431,-0.1842724,0.7918963,1.420485,-0.007450283,0.09825237,-0.2300534,-0.03291905,-0.9320211,-0.006858572,0.01648949,0.8498361,1.505377,0.1971948,0.466654,1.014362,0.10913,58.23176,121.0432,187.9603,True
3,0.04444445,0.1179146,0.2380684,0.2229421,-1.420203,-2.027015,2.91918,0.7351971,1.251605,-0.02341101,-1.061225,0.03153986,0,0,0.2247919,-0.2494363,-0.205218,-0.9884983,-1.55585,-0.1850215,0.7912843,1.420258,-0.007495046,0.09628833,-0.2269425,-0.02644024,-0.9322651,-0.00980536,0.01727779,0.8499997,1.505245,0.1969621,0.4657122,1.014557,0.1097249,58.30545,120.7842,187.9469,True
3,0.05555556,0.1242521,0.2466176,0.2207408,-1.421877,-2.030648,2.918132,0.7344751,1.251345,-0.02294788,-1.061743,-0.05057612,0,0,0.2194934,-0.2430341,-0.2030526,-0.9902298,-1.55935,-0.1851877,0.7905374,1.419949,-0.007614613,0.09429667,-0.2216775,-0.02205094,-0.932436,-0.01272898,0.0180312,0.8501303,1.50534,0.1965841,0.4647765,1.014757,0.1106621,58.38429,120.5861,187.8346,True
3,0.06666667,0.134789,0.2796897,0.2227128,-1.423455,-2.035511,2.916991,0.7337427,1.251123,-0.02263266,-1.062085,-0.0298697,0,0,0.2099221,-0.2387369,-0.202987,-0.9919726,-1.562827,-0.1853169,0.7900126,1.419719,-0.007632792,0.09225472,-0.2131497,-0.02081499,-0.9328547,-0.01515299,0.01857928,0.8502952,1.505236,0.1963471,0.4639242,1.014948,0.112003,58.49377,120.4815,187.7048,True
3,0.07777778,0.1515633,0.3319452,0.2160682,-1.424403,-2.041411,2.91558,0.7328615,1.250958,-0.02221417,-1.062082,-0.0008217845,0,0,0.1886967,-0.2194976,-0.2028282,-0.993897,-1.565757,-0.1851699,0.7899532,1.419877,-0.007622719,0.09870002,-0.2035865,-0.02190639,-0.9337139,-0.0174485,0.01858327,0.8505116,1.505589,0.1961082,0.4634153,1.01514,0.1137304,58.63075,120.5092,187.6033,True
3,0.08888889,0.157806,0.355399,0.2106414,-1.425512,-2.046458,2.914453,0.7322443,1.250785,-0.02183315,-1.061943,0.0105594,0,0,0.1782116,-0.1971201,-0.1899468,-0.9952617,-1.568058,-0.1856561,0.7892907,1.419733,-0.007720292,0.09869509,-0.2003743,-0.0229987,-0.9350838,-0.02009981,0.01911164,0.8508594,1.505591,0.1958091,0.4632479,1.015306,0.1158404,58.74447,120.6576,187.4761,True
3,0.1,0.1618415,0.3724285,0.1935267,-1.426002,-2.051471,2.913244,0.7314234,1.250698,-0.02147666,-1.061636,0.02559766,0,0,0.176257,-0.185425,-0.1686114,-0.9960632,-1.570283,-0.1863443,0.78883,1.419609,-0.007750839,0.09657815,-0.1928667,-0.02495863,-0.9354715,-0.02243766,0.01950872,0.8508692,1.505578,0.1956077,0.4633239,1.01543,0.1183142,58.80732,120.9189,187.3099,True
3,0.1111111,0.1615791,0.378768,0.1668827,-1.426003,-2.055975,2.912033,0.7307291,1.250504,-0.02120009,-1.061772,-0.01581222,0,0,0.1743006,-0.1705445,-0.1504806,-0.997014,-1.572554,-0.1871244,0.7884974,1.419471,-0.007803559,0.09024008,-0.1907063,-0.02373008,-0.9359552,-0.02505742,0.02011672,0.8502699,1.505561,0.1953892,0.4634959,1.015521,0.1211114,58.82897,121.2901,187.1281,True
3,0.1222222,0.1657198,0.3744957,0.1519385,-1.426278,-2.060182,2.910677,0.7299392,1.250415,-0.02092248,-1.061942,-0.01648941,0,0,0.1681237,-0.1503124,-0.1280413,-0.9975179,-1.573887,-0.1880626,0.788074,1.419387,-0.007849336,0.08522449,-0.1791072,-0.01383472,-0.9358183,-0.02705758,0.02050954,0.8501966,1.505563,0.1952004,0.4637649,1.015635,0.1240391,58.85413,121.7037,186.8771,True
