loc,t,aDotUA,bDotUA,gDotUA,aUA,bUA,gUA,xUA,yUA,zUA,qE,qDotE,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,xSH,ySH,zSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xUB,yUB,zUB,xHand,yHand,zHand,aHand,bHand,gHand,enable
2,0,-0.05575109,0.2269182,0.1372643,-1.562224,-2.162743,3.055046,0.6897857,1.214049,-0.07498479,-1.444167,0.0460834,0.06100976,-0.2842234,-0.1169737,-1.101287,-1.695095,-0.1251798,0.7161093,1.38448,-0.07296544,0.09882478,-0.3272384,0.07897764,-0.9655898,-0.2921664,0.106335,0.8032155,1.503596,0.1183255,0.468385,1.045839,0.1189363,72.43088,109.8445,165.5614,False
2,0.01111111,-0.06210978,0.2109151,0.1352052,-1.563452,-2.164745,3.055827,0.6895342,1.213771,-0.07475844,-1.443742,0.03859203,0.05473746,-0.261822,-0.1190976,-1.102441,-1.69778,-0.1244634,0.7152448,1.384123,-0.07295236,0.08606932,-0.310044,0.07177624,-0.9652803,-0.2954055,0.1076775,0.8030398,1.503498,0.1179492,0.4685587,1.045299,0.1195748,72.31998,109.679,165.3325,False
2,0.02222222,-0.07492846,0.1938261,0.1257451,-1.564391,-2.166385,3.057125,0.6892779,1.2135,-0.0745708,-1.443714,0.002378383,0.04309846,-0.2457797,-0.1211899,-1.103565,-1.700441,-0.1233861,0.7146997,1.383873,-0.07292318,0.0797148,-0.2896913,0.06562614,-0.9650305,-0.298227,0.1087206,0.8028328,1.503429,0.1176518,0.4687317,1.044715,0.1202165,72.20447,109.5904,165.1584,False
2,0.03333334,-0.07913327,0.1767717,0.1268617,-1.565656,-2.167979,3.058065,0.6891408,1.213131,-0.07440361,-1.443598,0.0121868,0.03251924,-0.2350637,-0.1179545,-1.104474,-1.703125,-0.1222013,0.7137063,1.38341,-0.07288739,0.0722882,-0.2811269,0.06469335,-0.9646667,-0.3017966,0.1101907,0.8026159,1.503369,0.1173512,0.4689974,1.04411,0.120787,72.09891,109.5485,165.0277,False
2,0.04444445,-0.07907633,0.1671822,0.1311365,-1.56716,-2.169599,3.058935,0.6889422,1.212811,-0.07429039,-1.443828,-0.02062303,0.01986066,-0.2232645,-0.1040596,-1.1049,-1.705517,-0.1208854,0.7132204,1.383142,-0.07286331,0.06169748,-0.2747551,0.07121561,-0.9639695,-0.3054431,0.1119835,0.8023939,1.503351,0.117083,0.4693182,1.043504,0.1213399,71.9971,109.48,164.8863,False
2,0.05555556,-0.07903591,0.158663,0.1322073,-1.568422,-2.171224,3.05968,0.6887734,1.212513,-0.074148,-1.443757,0.008853926,0.009399503,-0.1955055,-0.09658012,-1.105554,-1.707056,-0.1200478,0.7128654,1.382924,-0.07277387,0.04476282,-0.255546,0.07684129,-0.9631423,-0.3079323,0.113562,0.8021247,1.503311,0.1168199,0.4697037,1.042896,0.1218759,71.91462,109.4416,164.7607,False
2,0.06666667,-0.08328463,0.1522571,0.1322496,-1.569758,-2.172791,3.060791,0.6885431,1.212263,-0.07392874,-1.443603,0.01438003,0.007402472,-0.176314,-0.09019399,-1.106161,-1.708567,-0.1193818,0.7123632,1.382666,-0.07272726,0.0405568,-0.245971,0.0812401,-0.9622379,-0.3108541,0.1150507,0.8019228,1.503291,0.1166201,0.4701363,1.042285,0.1224096,71.838,109.3346,164.5651,False
2,0.07777778,-0.09074736,0.145842,0.1291207,4.712285,-2.174303,3.061991,0.6884191,1.212043,-0.07378122,-1.443402,0.01879694,0.005342633,-0.1667163,-0.08699271,-1.106777,-1.710461,-0.1186217,0.7119286,1.382382,-0.07259947,0.03421152,-0.2352912,0.08138715,-0.9616051,-0.3136953,0.1164997,0.8017299,1.503246,0.1164073,0.4705631,1.041679,0.1229724,71.74208,109.2047,164.3406,False
2,0.08888889,-0.0971961,0.1468819,0.1227794,4.7113,-2.176053,3.063317,0.6882091,1.21178,-0.07360297,-1.443503,-0.00895373,0.002086639,-0.1784181,-0.0869723,-1.107491,-1.713348,-0.1173269,0.7113981,1.382048,-0.07258344,0.02782836,-0.2277663,0.07830065,-0.9611657,-0.3164151,0.1180254,0.8015792,1.50316,0.1160075,0.4709586,1.041097,0.1235808,71.63674,109.1274,164.1663,False
2,0.1,-0.1047072,0.1511227,0.1175101,4.710315,-2.17803,3.064738,0.6880653,1.211556,-0.07348758,-1.443654,-0.01203719,0.008412376,-0.191236,-0.08592462,-1.108111,-1.716313,-0.116329,0.7109439,1.381787,-0.07252613,0.01930964,-0.2116438,0.06786249,-0.9610022,-0.3185761,0.119356,0.8014238,1.503128,0.1158128,0.4713456,1.040552,0.1242184,71.53301,109.0788,164.0128,False
2,0.1111111,-0.09198505,0.1618032,0.1131214,4.709467,-2.180238,3.065322,0.6878452,1.211285,-0.07335824,-1.443825,-0.01410166,0.01158816,-0.1933835,-0.08807391,-1.108981,-1.71887,-0.1154619,0.7104335,1.381499,-0.07250908,0.01188179,-0.1912715,0.06171644,-0.9607024,-0.3197317,0.1204015,0.80125,1.503168,0.1156178,0.4717886,1.040047,0.1248324,71.45327,109.0764,163.8886,False
2,0.1222222,-0.08458558,0.1671414,0.1077266,4.708609,-2.182343,3.066007,0.6876512,1.211026,-0.07318389,-1.443981,-0.01256869,0.01376952,-0.1816795,-0.09128797,-1.109896,-1.720773,-0.1148491,0.7100945,1.381219,-0.07244709,0.002315842,-0.1762443,0.05978396,-0.9603572,-0.3206646,0.1216375,0.8012469,1.503157,0.1153367,0.4722686,1.039562,0.1254216,71.40168,109.098,163.7803,False
2,0.1333333,-0.07074861,0.1756978,0.1086643,4.707541,-2.184616,3.06629,0.6875532,1.21073,-0.07305363,-1.443498,0.045844,0.004219875,-0.167782,-0.09977997,-1.111111,-1.72244,-0.1138062,0.7097604,1.380993,-0.07236204,-0.002957329,-0.1655798,0.06098974,-0.9598128,-0.3225598,0.1229198,0.8010752,1.503148,0.11518,0.4727915,1.039078,0.125985,71.35302,109.1179,163.6723,False
2,0.1444445,-0.0664665,0.1778433,0.1118222,4.706363,-2.186752,3.066859,0.6873808,1.210479,-0.07286566,-1.44317,0.02871243,-0.003196016,-0.1592195,-0.1018865,-1.112131,-1.724266,-0.1127755,0.709703,1.380816,-0.07229471,-0.005052485,-0.1602606,0.06319919,-0.9590533,-0.324601,0.1242349,0.8006113,1.503117,0.1150483,0.4732389,1.038588,0.1265977,71.29806,109.1395,163.5731,False
