loc,t,aDotUA,bDotUA,gDotUA,aUA,bUA,gUA,xUA,yUA,zUA,qE,qDotE,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,xSH,ySH,zSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xUB,yUB,zUB,xHand,yHand,zHand,aHand,bHand,gHand,enable
2,0,0.4506803,1.487346,-0.1029485,-1.303697,-2.761778,-2.909354,0.5717385,1.246593,-0.09735307,-1.509326,-0.02952658,0.4399676,-0.9954756,0.08911881,-0.8791409,-2.218126,0.4676481,0.6323469,1.422286,-0.0705533,0.1877024,-0.5913627,0.5570621,-0.8572752,-0.4111901,0.2696826,0.7077718,1.5172,0.08733071,0.457536,1.013654,0.09531192,58.60758,168.1131,200.0111,False
2,0.01111111,0.458369,1.366972,-0.1071259,-1.304881,-2.773149,-2.911621,0.5692775,1.245689,-0.09576961,-1.509441,-0.01491995,0.4377576,-0.9688405,0.09221607,-0.8825439,-2.230178,0.4706626,0.6296129,1.421227,-0.06988981,0.1799624,-0.5729778,0.5156875,-0.8546579,-0.4198529,0.2737328,0.7065613,1.517046,0.08727412,0.4582738,1.013171,0.09971854,57.78257,171.2614,201.5314,False
2,0.02222222,0.4585614,1.279624,-0.1048868,-1.306509,-2.784806,-2.913562,0.5668058,1.24477,-0.09419906,-1.509893,-0.04683309,0.4472344,-0.9198229,0.08992022,-0.8855852,-2.240516,0.4719803,0.6277013,1.420436,-0.06925714,0.1690869,-0.5236539,0.4681291,-0.8523372,-0.4263684,0.276545,0.7054274,1.516806,0.08722948,0.4599809,1.012171,0.1047091,57.65594,172.714,201.2959,False
2,0.03333334,0.4526702,1.084666,-0.09395665,-1.307073,-2.790365,-2.917011,0.564842,1.243854,-0.09303108,-1.51023,-0.03457345,0.4513565,-0.8708112,0.09187602,-0.8883511,-2.250523,0.4734147,0.6251376,1.419417,-0.0686323,0.164618,-0.4902945,0.427819,-0.8504917,-0.431349,0.2783429,0.704375,1.516717,0.08714178,0.4622756,1.010914,0.1097575,57.59886,173.7692,200.4901,False
2,0.04444445,0.4475693,0.979189,-0.09379542,-1.307762,-2.798334,-2.919746,0.5626876,1.242904,-0.09158713,-1.5107,-0.04783424,0.4331087,-0.8133204,0.09376121,-0.8906431,-2.25941,0.4747969,0.6234455,1.418673,-0.06803218,0.163481,-0.4806273,0.4151018,-0.8478684,-0.4392867,0.2818253,0.7032795,1.5165,0.08706525,0.4646837,1.009625,0.1144856,57.53809,174.7692,199.6928,False
2,0.05555556,0.441544,0.8257457,-0.09353691,-1.307809,-2.802378,-2.923817,0.5608299,1.241827,-0.09080416,-1.51115,-0.04477571,0.4138285,-0.7867396,0.09787782,-0.8934687,-2.26942,0.4775293,0.6207697,1.417791,-0.06735352,0.1539121,-0.4752606,0.4141487,-0.844824,-0.4476093,0.2859015,0.7023041,1.516311,0.08692674,0.4668076,1.008481,0.1186522,57.50186,175.6794,199.0163,False
2,0.06666667,0.4471644,0.6691558,-0.09765072,-1.307192,-2.805393,-2.928142,0.5591228,1.240722,-0.08951485,-1.511526,-0.0382452,0.394554,-0.7431114,0.09661721,-0.8956562,-2.277731,0.4790127,0.6193192,1.416974,-0.06681857,0.1368463,-0.4719856,0.4100474,-0.8418817,-0.456001,0.29054,0.7009172,1.515907,0.08676288,0.4681636,1.007634,0.1221225,57.52013,176.4329,198.5149,False
2,0.07777778,0.4473705,0.5615627,-0.09859568,-1.306648,-2.808462,-2.932107,0.5571733,1.240158,-0.08802447,-1.511554,-0.006511956,0.3933977,-0.6994662,0.0889928,-0.8979774,-2.285513,0.4795426,0.6177499,1.416145,-0.06627682,0.1123579,-0.4591004,0.4039266,-0.8392808,-0.4639599,0.2951092,0.7004509,1.515611,0.0865481,0.4685045,1.0071,0.125,57.61844,177.0734,198.3268,False
2,0.08888889,0.4466536,0.4039074,-0.0962818,-1.305564,-2.808141,-2.937195,0.5555842,1.239417,-0.0871084,-1.511529,-0.003061631,0.3901366,-0.6633332,0.06972001,-0.9005191,-2.29308,0.4802534,0.6116357,1.413719,-0.06584558,0.1036724,-0.4493468,0.3784493,-0.8377916,-0.4711344,0.2988775,0.6995726,1.515318,0.08637863,0.4677371,1.006882,0.1272764,57.81817,177.5404,198.3939,False
2,0.1,0.443772,0.2451849,-0.09715378,-1.304108,-2.806378,-2.942344,0.5540767,1.238998,-0.08585209,-1.511716,-0.02197982,0.3719634,-0.6049581,0.02154666,-0.9038156,-2.29758,0.4796998,0.6105361,1.413002,-0.06528652,0.08936563,-0.4468425,0.3210117,-0.8380531,-0.478033,0.3028214,0.6989031,1.515204,0.08629321,0.4658042,1.00691,0.1293295,57.99508,177.7333,198.6454,False
