loc,t,aDotUA,bDotUA,gDotUA,aUA,bUA,gUA,xUA,yUA,zUA,aDotE,bDotE,gDotE,aE,bE,gE,xE,yE,zE,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,xSH,ySH,zSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xUB,yUB,zUB,xHand,yHand,zHand,aHand,bHand,gHand
2,0,0.07077995,-0.9681298,-0.1228158,-1.449531,-4.177454,3.128952,0.6599165,1.281951,0.5409522,-0.6094496,0.4817567,-0.8772545,-1.525078,-4.056932,1.279489,0.5536568,1.136342,0.4792762,-0.3271785,0.146133,0.0285712,-0.6550897,-4.172871,-0.4545766,0.6858902,1.514219,0.4543803,-0.0540188,0.1169877,-0.04136665,-0.9605201,0.1780455,-0.06211663,0.7736682,1.597136,0.2766352,0.4318389,1.071859,0.3042227,294.8671,216.5358,10.48915
2,0.01111111,0.05237485,-0.9409816,-0.1324513,-1.44726,-4.168445,3.135861,0.6571001,1.281955,0.5402348,-0.6141691,0.4957643,-0.8405998,-1.523188,-4.047444,1.278103,0.5506907,1.136228,0.4773967,-0.2985388,0.1159948,0.04419149,-0.6543669,-4.171718,-0.4531302,0.6853212,1.514146,0.4542077,-0.059384,0.1233791,-0.04556983,-0.9612147,0.1798347,-0.0623209,0.773556,1.597042,0.2766504,0.4306808,1.071095,0.3012695,295.1429,217.0058,9.282413
2,0.02222222,-0.01148225,-0.9297628,-0.1660203,-1.444321,-4.158829,-3.140873,0.6543576,1.281874,0.5394912,-0.6054821,0.5196801,-0.8199295,-1.519936,-4.037542,1.278671,0.5476927,1.136403,0.475343,-0.2796828,0.07536134,0.04384448,-0.6536878,-4.172198,-0.4502553,0.6846447,1.514108,0.4539862,-0.06578109,0.132976,-0.04763585,-0.9619167,0.1819762,-0.06268655,0.7734129,1.596986,0.2766917,0.4294232,1.070628,0.2983943,295.6904,217.0705,8.390485
2,0.03333334,-0.07162128,-0.8913754,-0.2140569,-1.441301,-4.150103,-3.135621,0.6515874,1.282113,0.5387931,-0.5771497,0.5325626,-0.7847401,-1.515627,-4.028838,1.279813,0.5447862,1.136643,0.4734669,-0.3023294,0.04681948,0.03532561,-0.653414,-4.172657,-0.4459141,0.6837993,1.51409,0.453722,-0.07116479,0.1446955,-0.05397558,-0.9627929,0.1843146,-0.06309348,0.7732381,1.596918,0.2767315,0.4281722,1.07036,0.2956113,296.3549,216.8954,7.709467
2,0.04444445,-0.1305674,-0.8590474,-0.230781,-1.437885,-4.141792,-3.13105,0.6487769,1.282416,0.5381215,-0.5358444,0.5445367,-0.7520299,-1.512082,-4.020181,1.281669,0.5419354,1.137322,0.4719944,-0.3267357,0.05765224,0.03768206,-0.6534013,-4.170751,-0.442909,0.6829419,1.514041,0.4535351,-0.07660154,0.1564092,-0.06457812,-0.9639972,0.1868149,-0.06348523,0.7730256,1.596869,0.2767923,0.4270556,1.070573,0.2931441,296.9705,216.6244,7.127814
2,0.05555556,-0.1873075,-0.856784,-0.2510385,-1.433424,-4.132094,-3.128236,0.6459829,1.282934,0.5375299,-0.463726,0.5757143,-0.7399753,-1.508116,-4.010558,1.283738,0.539042,1.138019,0.4705124,-0.3689421,0.08982077,0.06051474,-0.6530114,-4.16654,-0.4407369,0.6817378,1.514133,0.4531953,-0.09376775,0.1841168,-0.07825512,-0.9655163,0.1904036,-0.06387618,0.7727561,1.596827,0.2768667,0.4258197,1.070614,0.2900881,297.4073,216.4444,6.46814
2,0.06666667,-0.3153353,-0.8140309,-0.2978233,-1.428741,-4.122751,-3.1265,0.6431783,1.283495,0.5369756,-0.3853712,0.5919099,-0.7270566,-1.502345,-4.002242,1.289756,0.5361992,1.139554,0.4695532,-0.4068238,0.1111938,0.1056306,-0.6514822,-4.161586,-0.438739,0.6804027,1.51425,0.4528532,-0.1054229,0.1969233,-0.07493681,-0.9664409,0.1935367,-0.06408844,0.7724012,1.596785,0.2769682,0.4247512,1.072111,0.2877897,297.835,216.6076,5.028782
2,0.07777778,-0.3949991,-0.7948424,-0.3325072,-1.423709,-4.113634,-3.124406,0.6405399,1.284101,0.5364926,-0.3311056,0.6092777,-0.7136009,-1.496822,-3.993532,1.294747,0.5333059,1.140635,0.4681661,-0.4298652,0.1314339,0.1399863,-0.6499588,-4.156548,-0.4372506,0.6791733,1.514308,0.4524574,-0.1128299,0.2044025,-0.07165374,-0.9671717,0.196633,-0.06433798,0.7720412,1.59675,0.2770536,0.4235635,1.073007,0.2849515,298.2179,217.1271,3.258574
2,0.08888889,-0.440825,-0.7428008,-0.3348627,-1.41806,-4.107537,-3.12086,0.6381758,1.285026,0.5364308,-0.3218572,0.6257255,-0.6433923,-1.492258,-3.986566,1.299678,0.5303632,1.142125,0.4674892,-0.4529282,0.1538392,0.1690237,-0.6485085,-4.150717,-0.4360332,0.6776049,1.514469,0.4520636,-0.1415622,0.237469,-0.07348329,-0.9683152,0.2010914,-0.06431507,0.7715068,1.596658,0.2771378,0.4225779,1.075107,0.2825809,298.4613,218.4698,0.3510676
2,0.1,-0.4830787,-0.6507089,-0.3370591,-1.413149,-4.101683,-3.115558,0.6357846,1.285701,0.5362504,-0.3512382,0.6258774,-0.5832479,-1.487933,-3.981939,1.304823,0.527199,1.143817,0.4669361,-0.4546106,0.1963741,0.1863132,-0.6476914,-4.143503,-0.4366836,0.6760302,1.51469,0.4516578,-0.1479911,0.2523885,-0.07875215,-0.9695994,0.2050283,-0.06472787,0.7710556,1.596575,0.2772603,0.4212765,1.07703,0.2799346,298.5582,219.9639,357.3499
