loc,t,aDotUA,bDotUA,gDotUA,aUA,bUA,gUA,xUA,yUA,zUA,qE,qDotE,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,xSH,ySH,zSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xUB,yUB,zUB,xHand,yHand,zHand,aHand,bHand,gHand,enable
3,0,-0.2002628,-1.222133,0.409282,-1.479893,-4.396344,-3.036907,0.7013999,1.209351,0.4225507,-1.217855,0.02226602,-0.3962997,0.3348863,0.004954962,-0.6831897,-4.159669,-0.09863443,0.7478496,1.43981,0.3263969,-0.1097818,0.08778626,-0.06632867,-0.670919,-0.1847154,0.0129656,0.8307773,1.50477,0.1448557,0.4768737,1.026365,0.280965,308.7422,257.534,345.142,False
3,0.01111111,-0.2145523,-1.127314,0.4302371,-1.484274,-4.386186,-3.034898,0.6999953,1.20883,0.4211848,-1.21778,0.006599658,-0.3782604,0.3264298,-0.005884716,-0.683839,-4.154826,-0.09905121,0.7473556,1.439854,0.3261964,-0.124662,0.09953451,-0.06509745,-0.6715672,-0.1821404,0.01285215,0.8311077,1.504641,0.144855,0.476612,1.026856,0.2766353,308.4837,254.7004,347.1993,False
3,0.02222222,-0.2257373,-1.020769,0.4458312,-1.488687,-4.377644,-3.032508,0.6987425,1.208361,0.4201262,-1.217475,0.02786137,-0.3782604,0.3264297,-0.005884565,-0.6842604,-4.149165,-0.09926534,0.7468939,1.439878,0.3259611,-0.1321056,0.1006121,-0.06397764,-0.6724327,-0.1803626,0.01312086,0.831614,1.504597,0.1448567,0.4767178,1.027052,0.2715422,308.4202,253.7709,347.2094,False
3,0.03333334,-0.2335266,-0.9483297,0.4551586,-1.493082,-4.369107,-3.03032,0.697518,1.207922,0.4188719,-1.217415,0.005338747,-0.3421907,0.262654,-0.02893116,-0.6855019,-4.14908,-0.09707914,0.7465945,1.439696,0.3258839,-0.140723,0.1145147,-0.07771245,-0.6738123,-0.1775368,0.01277971,0.8320745,1.504422,0.1448059,0.4771178,1.02703,0.2659021,308.5,253.3857,346.461,False
3,0.04444445,-0.2394149,-0.8279695,0.4589741,-1.497567,-4.363058,-3.027841,0.6964417,1.207525,0.4176114,-1.21733,0.007850626,-0.3347447,0.2232536,-0.03136581,-0.6860271,-4.147382,-0.09486073,0.7463366,1.439624,0.3257818,-0.1484655,0.1220862,-0.1117176,-0.6762688,-0.1747802,0.01252325,0.8325566,1.504299,0.1448805,0.4778258,1.026941,0.2600779,308.5984,252.9295,345.6134,False
3,0.05555556,-0.2505908,-0.7140785,0.4457881,-1.501572,-4.358182,-3.024915,0.6955763,1.207098,0.4164689,-1.217671,-0.03114622,-0.3476293,0.1700923,-0.04759381,-0.6872197,-4.147423,-0.09058263,0.7458361,1.439442,0.3255079,-0.1571569,0.1232393,-0.1297249,-0.6778997,-0.1720676,0.01255228,0.8329207,1.504046,0.1448889,0.4787015,1.026925,0.2544766,308.7048,252.4514,344.7462,False
3,0.06666667,-0.2681163,-0.6055712,0.4262048,-1.505113,-4.354401,-3.0216,0.6950481,1.206651,0.4153516,-1.217741,-0.006022973,-0.3904546,0.1702688,-0.07603793,-0.6891856,-4.144619,-0.08682837,0.7455971,1.439435,0.3251231,-0.1657573,0.1168869,-0.1371232,-0.6796094,-0.1702808,0.01330089,0.8334224,1.503945,0.1449473,0.4795108,1.027044,0.249338,308.7925,252.0508,343.9737,False
3,0.07777778,-0.2833927,-0.5257835,0.416328,-1.508999,-4.350451,-3.018156,0.694439,1.206273,0.4143445,-1.217488,0.023126,-0.409637,0.199024,-0.07571523,-0.6902866,-4.139534,-0.08538121,0.7453156,1.439382,0.3248458,-0.1647761,0.1233123,-0.147765,-0.6815391,-0.1675915,0.01303085,0.8341588,1.503821,0.1449184,0.4800418,1.027342,0.2448737,308.8275,251.8045,343.2711,False
3,0.08888889,-0.3236496,-0.3385061,0.4092407,-1.513358,-4.352166,-3.013101,0.6946675,1.205923,0.4135821,-1.217269,0.01988021,-0.3762748,0.2530597,-0.02768261,-0.6893662,-4.131454,-0.08842734,0.7455355,1.439411,0.3244452,-0.1522384,0.1297583,-0.1766211,-0.684409,-0.1648844,0.01223243,0.8347756,1.503792,0.1447763,0.480229,1.027855,0.2412457,308.7526,251.6849,342.7198,False
3,0.1,-0.3411848,-0.2330981,0.416322,-1.518295,-4.352053,-3.008592,0.69458,1.205458,0.412863,-1.217249,0.001765797,-0.3323833,0.2443748,-0.0003636423,-0.6885928,-4.127364,-0.08975226,0.7457322,1.439401,0.3241944,-0.1353811,0.12978,-0.1970073,-0.6871227,-0.1626249,0.01158688,0.8355398,1.503658,0.1446726,0.480092,1.028594,0.2384918,308.5826,251.7107,342.3427,False
