loc,t,aDotUA,bDotUA,gDotUA,aUA,bUA,gUA,xUA,yUA,zUA,qE,qDotE,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,xSH,ySH,zSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xUB,yUB,zUB,xHand,yHand,zHand,aHand,bHand,gHand,enable
2,0,-0.3265652,-1.839696,-0.684359,-1.313884,-4.120967,2.978689,0.6635205,1.125247,0.4529574,-1.635368,0.0472954,-0.408331,0.4066762,0.3256675,-0.7121282,-3.699064,-0.7482702,0.6815208,1.326558,0.3723674,-0.1670073,0.2732249,0.05999715,-1.016153,0.1174487,0.006054697,0.7933814,1.38189,0.222266,0.4945321,0.9912113,0.2818753,298.6407,231.9869,359.0815,False
2,0.01111111,-0.3407154,-1.681753,-0.6407648,-1.310487,-4.105449,2.978942,0.6611904,1.125866,0.4526412,-1.635631,-0.02444753,-0.4049301,0.4246769,0.3502173,-0.7122358,-3.688876,-0.7517614,0.6806824,1.326646,0.3718975,-0.1884822,0.28388,0.039945,-1.016401,0.1211364,0.006753244,0.7933083,1.381873,0.2224598,0.4953768,0.9911982,0.2780476,299.342,223.446,5.781733,False
2,0.02222222,-0.3592918,-1.426625,-0.5659317,-1.30782,-4.097332,2.981455,0.6596873,1.126262,0.4523141,-1.635279,0.03240828,-0.3930102,0.4234907,0.376755,-0.7117607,-3.678229,-0.7558216,0.6798385,1.326722,0.3714769,-0.1960753,0.2913488,0.02403533,-1.016619,0.1252541,0.007039533,0.7932289,1.381822,0.2226048,0.4970891,0.99035,0.273386,299.9991,221.0255,6.382634,False
2,0.03333334,-0.3811519,-1.117123,-0.4797566,-1.305655,-4.093382,2.985285,0.6581384,1.126443,0.4520745,-1.635313,-0.003230628,-0.3822327,0.3882549,0.3946361,-0.7103381,-3.669507,-0.7586558,0.6790668,1.326766,0.3711205,-0.204742,0.2998812,0.006003211,-1.017145,0.1294171,0.007268566,0.7932427,1.381873,0.2227311,0.4991206,0.9889665,0.2685814,300.642,219.8874,5.446567,False
2,0.04444445,-0.3954405,-0.8758414,-0.4058949,-1.303843,-4.091624,2.989659,0.6569239,1.126613,0.4518721,-1.635061,0.02317755,-0.3663816,0.3456866,0.3815507,-0.7092179,-3.662881,-0.7601743,0.6783366,1.326815,0.3707879,-0.2036744,0.3084031,0.005999192,-1.017053,0.133775,0.007194263,0.7931453,1.381821,0.2228873,0.5011902,0.9874899,0.2641812,301.3293,218.6547,4.695704,False
2,0.05555556,-0.4185232,-0.4861174,-0.277704,-1.303998,-4.099187,2.997057,0.6559405,1.126649,0.4517179,-1.634941,0.01094031,-0.3347055,0.2829359,0.3490956,-0.7077841,-3.658933,-0.7606528,0.6775576,1.326851,0.3704555,-0.2057704,0.3275786,0.009231109,-1.016687,0.1388041,0.00682941,0.7929755,1.381698,0.2230945,0.5027694,0.9863267,0.2606182,301.8951,217.6424,4.039926,False
2,0.06666667,-0.440562,-0.08038276,-0.1496743,-1.30462,-4.112671,3.006154,0.655489,1.126492,0.4516366,-1.635118,-0.01609855,-0.2914228,0.2309102,0.3016631,-0.7071971,-3.655888,-0.7611256,0.6768773,1.326813,0.3702211,-0.2057793,0.3243906,0.00922174,-1.016648,0.143005,0.007005179,0.7929972,1.381583,0.2233219,0.5032709,0.9857467,0.2581293,302.2383,216.9569,3.574608,False
2,0.07777778,-0.4644555,0.1694136,-0.07267475,-1.304972,-4.122756,3.014916,0.6547424,1.126547,0.4514863,-1.634739,0.03488936,-0.2600103,0.1832355,0.2341051,-0.7072355,-3.65502,-0.7599623,0.6763372,1.326838,0.3700688,-0.204728,0.3073461,0.008136857,-1.016563,0.1463553,0.007484548,0.7929901,1.381469,0.2234869,0.5024659,0.9859459,0.2568558,302.3488,216.6463,3.33691,False
2,0.08888889,-0.5035418,0.5760908,0.04364139,-1.306842,-4.144606,3.027587,0.6546145,1.126506,0.4513586,-1.63474,-0.0002786607,-0.2485836,0.153546,0.198731,-0.7070128,-3.653211,-0.7588901,0.6758116,1.326827,0.3698134,-0.2006411,0.2977684,-0.01214864,-1.017352,0.1498505,0.007706922,0.7930245,1.381352,0.2236185,0.4999807,0.987047,0.2568311,302.1775,216.9388,3.146329,False
2,0.1,-0.5454885,0.7980586,0.1080684,-1.30814,-4.160009,3.038844,0.6542554,1.126444,0.4511337,-1.634386,0.0325407,-0.2146811,0.08114508,0.1811263,-0.7048184,-3.653169,-0.7575154,0.6753501,1.327067,0.3696449,-0.1946007,0.2828791,-0.05162962,-1.019183,0.1531112,0.008049404,0.7931195,1.381153,0.2237759,0.4959542,0.989099,0.2581173,301.6935,217.6304,3.350047,False
