loc,t,aDotUA,bDotUA,gDotUA,aUA,bUA,gUA,xUA,yUA,zUA,qE,qDotE,emgA,emgB,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,xSH,ySH,zSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xUB,yUB,zUB,xHand,yHand,zHand,aHand,bHand,gHand,enable
0,0,0.3016289,-0.8504814,0.3903918,-1.514575,-4.257431,-2.44068,0.5542203,1.474372,0.4659736,-0.2112462,-0.001029531,21.03,44.71,-0.268248,0.3671269,0.1316873,-0.4617346,-4.049579,-0.1319311,0.6967277,1.724722,0.3853314,-0.1253103,0.1336184,0.05869345,-1.05999,0.1558417,0.02944551,0.8446528,1.765769,0.1973765,0.3725217,1.161597,0.295642,332.2704,250.2567,343.885,False
0,0.01111111,0.2790146,-0.8048913,0.362507,-1.512053,-4.249777,-2.443351,0.5535089,1.47489,0.4652812,-0.2109714,0.02511572,20.81,45.38,-0.2414704,0.3468666,0.1430075,-0.4602347,-4.041432,-0.1374045,0.6962382,1.724937,0.3851171,-0.1210392,0.1176138,0.06392017,-1.059033,0.1568664,0.03018267,0.844698,1.765972,0.1974497,0.3733459,1.161108,0.2946883,332.2952,248.9127,344.7483,False
0,0.02222222,0.2467273,-0.7305321,0.3398424,-1.510844,-4.243451,-2.445325,0.5530125,1.475179,0.4647713,-0.2107887,0.01648934,20.61,45.99,-0.2169276,0.3138918,0.1414817,-0.4590901,-4.03543,-0.1411031,0.6959053,1.725234,0.3848596,-0.1134369,0.1100736,0.08086392,-1.057487,0.1579497,0.03067376,0.8447776,1.766181,0.19748,0.3743705,1.160567,0.2935686,332.3972,247.9354,345.2303,False
0,0.03333334,0.2122162,-0.6295327,0.3202488,-1.510878,-4.238811,-2.446748,0.5526187,1.475153,0.4643054,-0.2100435,0.06805208,20.42,46.57,-0.1978692,0.2959202,0.1262617,-0.4585873,-4.028832,-0.1453476,0.6955312,1.72553,0.3844671,-0.09960213,0.1079217,0.07965045,-1.056695,0.1594303,0.03059173,0.8448886,1.766485,0.1974845,0.3756153,1.160001,0.2923071,332.5695,247.3301,345.3783,False
0,0.04444445,0.188286,-0.5178363,0.2963478,-1.511706,-4.23556,-2.447949,0.5523573,1.475305,0.463917,-0.2094438,0.05437646,20.24,47.12,-0.175747,0.2897454,0.0993718,-0.4587833,-4.021707,-0.1503733,0.6952775,1.725871,0.3841209,-0.09116607,0.1090066,0.06998535,-1.056216,0.1609515,0.03057043,0.8449887,1.766649,0.1974106,0.3770375,1.159478,0.291011,332.8089,246.846,345.3399,False
0,0.05555556,0.1612413,-0.4179087,0.2735358,-1.512622,-4.233041,-2.448992,0.5523186,1.475311,0.4635437,-0.2091135,0.02988525,20.04,47.66,-0.1481847,0.2962691,0.08636414,-0.4588131,-4.013732,-0.1567651,0.6950557,1.72611,0.3838153,-0.08266755,0.1111263,0.06778426,-1.05543,0.1624254,0.03059919,0.8451456,1.766852,0.1973796,0.3784765,1.158973,0.2897364,333.0579,246.4766,345.2001,False
0,0.06666667,0.1460724,-0.3572629,0.2647399,-1.513253,-4.229774,-2.450241,0.5522048,1.475362,0.4627645,-0.2091668,-0.004947804,19.86,48.17,-0.134395,0.2984634,0.08092421,-0.4585026,-4.005558,-0.1629114,0.6947917,1.726328,0.3835173,-0.07516184,0.1132221,0.0719799,-1.054442,0.1639463,0.03041996,0.8452314,1.76712,0.1973975,0.3797699,1.158472,0.288495,333.3091,246.2573,345.0115,False
0,0.07777778,0.1212677,-0.2860849,0.2431278,-1.514322,-4.227938,-2.450834,0.5523334,1.475328,0.4624176,-0.2092904,-0.01108808,19.68,48.64,-0.121777,0.2985985,0.06375713,-0.4589383,-3.997988,-0.1687515,0.6946923,1.726453,0.383147,-0.06660214,0.1067853,0.07826944,-1.053246,0.1650856,0.03042848,0.8453715,1.767308,0.197273,0.3809022,1.158116,0.2873428,333.5294,246.1321,344.8317,False
0,0.08888889,0.1060536,-0.2213214,0.2119244,-1.514747,-4.226725,-2.451647,0.5525141,1.475177,0.4615502,-0.2096717,-0.0346146,19.52,49.09,-0.1198507,0.2955747,0.04027253,-0.4599806,-3.990746,-0.1741116,0.6945922,1.726662,0.3828461,-0.05704693,0.08331592,0.08129207,-1.052127,0.1652282,0.03075259,0.8454965,1.767552,0.1970201,0.3818342,1.157894,0.2862751,333.6623,246.0406,344.7421,False
0,0.1,0.08452442,-0.1757539,0.1786981,-1.514979,-4.225732,-2.452078,0.5529066,1.475153,0.4609916,-0.2093319,0.03151359,19.44,49.31,-0.08810434,0.2681156,0.01314553,-0.4611764,-3.986055,-0.1783388,0.6948116,1.726811,0.3826821,-0.04435638,0.05240352,0.07892085,-1.051356,0.1647818,0.0310221,0.8456314,1.767801,0.1968095,0.3825851,1.15778,0.2852299,333.6978,245.918,344.7619,False
0,0.1111111,0.07477759,-0.1450214,0.1529974,-1.515264,-4.224774,-2.452638,0.5532304,1.475163,0.4605956,-0.2097277,-0.03633231,19.36,49.51,-0.05074829,0.223437,0.01248684,-0.4612409,-3.983848,-0.1810215,0.6949958,1.727004,0.382499,-0.04115064,0.03532292,0.0852166,-1.050197,0.164477,0.0316562,0.8457515,1.768,0.1965787,0.3831918,1.15776,0.2842301,333.6664,245.8593,344.7421,False
0,0.1222222,0.05741513,-0.08030787,0.1122137,-1.515746,-4.225786,-2.452675,0.5537512,1.475144,0.4602597,-0.2095844,0.01356118,19.28,49.7,0.007939756,0.1309024,0.005963363,-0.4612488,-3.987342,-0.1798928,0.695248,1.72711,0.3823743,-0.0272653,0.02568106,0.09036748,-1.049129,0.1644242,0.03138535,0.8458761,1.768166,0.1962543,0.3836482,1.157739,0.2832516,333.5811,245.8383,344.7244,False
0,0.1333333,0.04767435,-0.05063488,0.08758396,-1.516116,-4.226007,-2.452883,0.5541509,1.475137,0.4599657,-0.2098571,-0.02496742,19.21,49.88,0.06208042,0.06834084,-0.02480626,-0.4622571,-3.991049,-0.1791306,0.6955557,1.727176,0.3822105,-0.0155606,0.01393307,0.09234113,-1.048069,0.1642534,0.03130066,0.8459027,1.768381,0.1959062,0.3841022,1.157813,0.2824083,333.48,245.797,344.6702,False
0,0.1444445,0.04328916,-0.02516869,0.07147526,-1.516467,-4.226252,-2.453251,0.5545701,1.475075,0.45979,-0.2096334,0.02075743,19.15,50.04,0.07790314,0.06209087,-0.04204889,-0.4634332,-3.990025,-0.1813224,0.6957974,1.727247,0.381974,-0.003879584,5.962048E-05,0.09110621,-1.047214,0.1636792,0.03112516,0.8460603,1.7686,0.1955631,0.3845716,1.157952,0.2817515,333.3882,245.771,344.5844,False
0,0.1555556,0.02071503,0.01292793,0.03617422,-1.516774,-4.227949,-2.452624,0.5552336,1.475045,0.4597232,-0.2098869,-0.02323672,19.15,50.1,0.08945756,0.07499935,-0.05699046,-0.4648569,-3.987335,-0.1850745,0.6960671,1.727308,0.3815444,0.01318503,-0.02451771,0.1004334,-1.045872,0.1623753,0.0312205,0.8462776,1.76883,0.1950855,0.3850011,1.158099,0.2813169,333.3466,245.8331,344.4653,False
0,0.1666667,0.006767948,0.02980013,0.01373126,-1.516587,-4.228893,-2.452315,0.5557745,1.474904,0.4596021,-0.210215,-0.02971728,19.15,50.15,0.0809228,0.08563197,-0.05577051,-0.4655706,-3.984622,-0.1879768,0.6964166,1.727396,0.3812468,0.01745395,-0.0287915,0.1014379,-1.044782,0.1618685,0.0310434,0.8464445,1.769074,0.1947625,0.3853663,1.158202,0.2810884,333.3208,245.8849,344.4183,False
0,0.1777778,-0.01360115,0.05089213,-0.01509868,-1.516502,-4.230626,-2.451363,0.55655,1.474836,0.4595644,-0.2094661,0.06884812,19.15,50.19,0.06188224,0.1046615,-0.03841407,-0.4657522,-3.980628,-0.1915566,0.6967673,1.727432,0.3807693,0.03243963,-0.0363256,0.1119165,-1.043189,0.1610695,0.03072968,0.8466483,1.769295,0.1942573,0.3857047,1.158238,0.2810559,333.2755,245.9335,344.4288,False
0,0.1888889,-0.02758127,0.07416716,-0.03437561,-1.516372,-4.232426,-2.450426,0.5574623,1.474781,0.4595418,-0.2098097,-0.03192632,19.15,50.23,0.05551572,0.1078251,-0.03514037,-0.4663371,-3.978045,-0.1942654,0.6972752,1.72746,0.380383,0.03768827,-0.04056749,0.105455,-1.042338,0.1605151,0.03052542,0.8468999,1.76958,0.1938579,0.3859967,1.158231,0.2812114,333.2793,246.0385,344.4311,False
0,0.2,-0.05774951,0.1430611,-0.08366387,-1.516685,-4.237043,-2.448585,0.5586912,1.474614,0.4597239,-0.2094289,0.03527049,19.09,49.94,0.05442647,0.09081434,-0.04056966,-0.467037,-3.977503,-0.1952949,0.697675,1.727453,0.3799288,0.04508313,-0.04482664,0.1000409,-1.041459,0.1597392,0.03015124,0.8471557,1.769791,0.1933818,0.3862152,1.158159,0.2815093,333.2797,246.1234,344.4855,False
0,0.2111111,-0.07500592,0.187619,-0.1072871,-1.517266,-4.240953,-2.446928,0.5597988,1.474486,0.4598148,-0.209578,-0.0138597,19.03,49.67,0.05439851,0.1078523,-0.0393925,-0.4678434,-3.97391,-0.1989869,0.6981242,1.72741,0.3795733,0.04615064,-0.04376416,0.1010965,-1.040357,0.1592508,0.03002528,0.8473514,1.769902,0.1928318,0.3864223,1.158135,0.281936,333.2903,246.2385,344.566,False
0,0.2222222,-0.1008857,0.2555333,-0.1427272,-1.518275,-4.246665,-2.4447,0.5610971,1.47436,0.4600394,-0.209047,0.04884462,18.97,49.41,0.06620857,0.124832,-0.02661832,-0.468213,-3.969555,-0.2039294,0.6987313,1.727476,0.3791761,0.0472129,-0.04589734,0.1010767,-1.039297,0.1585372,0.02982873,0.8475949,1.770022,0.1922843,0.3866463,1.158208,0.2824599,333.2676,246.3999,344.6282,False
0,0.2333333,-0.1191538,0.2873197,-0.1641517,-1.519026,-4.251493,-2.442454,0.5622948,1.474306,0.4602566,-0.2093452,-0.02753841,18.91,49.17,0.09086409,0.1215776,-0.01089393,-0.4680543,-3.96655,-0.2083668,0.6995544,1.727444,0.3788111,0.05462023,-0.0597609,0.09989226,-1.03819,0.1571465,0.0297286,0.8477694,1.770205,0.191756,0.3868081,1.158381,0.2830845,333.2559,246.6902,344.5749,False
0,0.2444444,-0.1512989,0.3254238,-0.190914,-1.519739,-4.257185,-2.439402,0.5637536,1.47433,0.4605677,-0.209129,0.02022599,18.87,48.95,0.1122698,0.1023927,-0.003773421,-0.4680474,-3.96538,-0.2112931,0.7003784,1.727412,0.3784454,0.06523107,-0.07256602,0.09867612,-1.037171,0.1556639,0.02936961,0.8480345,1.770357,0.1911886,0.3868601,1.158649,0.2837547,333.2303,247.0166,344.5267,False
0,0.2555556,-0.2004849,0.3526997,-0.2388979,-1.519517,-4.263481,-2.435301,0.5653766,1.474691,0.4608908,-0.2092536,-0.01142102,18.76,48.28,0.1473823,0.0194809,-0.02277492,-0.4683344,-3.971047,-0.209015,0.7018563,1.727425,0.3782184,0.08229989,-0.09501468,0.106951,-1.035735,0.153434,0.02903751,0.8482468,1.770442,0.1906071,0.3867806,1.159046,0.2844582,333.1877,247.3831,344.4625,False
0,0.2666667,-0.2239836,0.3588883,-0.2623222,-1.51936,-4.268879,-2.43189,0.5668991,1.474911,0.4612615,-0.2087418,0.04704219,18.66,47.65,0.1643928,-0.004943684,-0.03056212,-0.4688208,-3.973246,-0.2093929,0.7029341,1.72746,0.3779197,0.1101129,-0.1153957,0.1236469,-1.033911,0.1509797,0.02808996,0.8486206,1.770538,0.1899538,0.3865879,1.159602,0.285175,333.0867,247.716,344.4352,False
0,0.2777778,-0.2560582,0.3745934,-0.2953658,-1.519094,-4.275366,-2.427588,0.568673,1.475366,0.4617467,-0.2079529,0.0719445,18.56,47.06,0.2313076,-0.1036467,-0.06915435,-0.4700266,-3.984075,-0.2046874,0.7047195,1.727688,0.3777275,0.1324486,-0.1292993,0.1233791,-1.032577,0.1487137,0.02702736,0.8489959,1.770673,0.1893144,0.3863357,1.160415,0.2859384,332.9543,248.0533,344.3941,False
0,0.2888889,-0.2817138,0.3828427,-0.3326432,-1.518388,-4.281965,-2.423426,0.57054,1.47594,0.4622684,-0.2088387,-0.0813535,18.47,46.51,0.2600303,-0.1471855,-0.08143901,-0.4707297,-3.990579,-0.2027518,0.7062651,1.72782,0.3773992,0.1484034,-0.1463884,0.1252874,-1.031248,0.1461623,0.02620657,0.8494111,1.770805,0.188643,0.3859707,1.161556,0.2867899,332.8259,248.3668,344.3392,False
0,0.3,-0.2945726,0.3901218,-0.3603534,-1.517678,-4.288769,-2.419304,0.5724513,1.476536,0.4627855,-0.2084249,0.03883474,18.39,45.99,0.3073308,-0.2155029,-0.04932246,-0.4692181,-4.000946,-0.1986649,0.7083088,1.7282,0.3771594,0.1642764,-0.1847739,0.1239233,-1.029981,0.1421111,0.02586648,0.8499405,1.770957,0.1878476,0.3854545,1.162941,0.2877293,332.5721,248.6544,344.3185,False
0,0.3111111,-0.3128237,0.4123363,-0.387053,-1.517799,-4.296597,-2.414542,0.5745046,1.47722,0.4637759,-0.208811,-0.03547633,18.35,45.5,0.3656555,-0.2765994,0.02215612,-0.4655046,-4.010587,-0.1960867,0.7103127,1.728599,0.3768523,0.1745472,-0.2422333,0.09910179,-1.029898,0.1366497,0.02644253,0.8505075,1.771083,0.1869731,0.384837,1.164603,0.288809,332.2659,248.9982,344.2856,False
0,0.3222222,-0.3289351,0.436715,-0.4052552,-1.518057,-4.304531,-2.409721,0.5767176,1.478105,0.464572,-0.2091876,-0.03392352,18.31,45.05,0.4108229,-0.2938412,0.06315297,-0.462737,-4.017914,-0.1956435,0.7123786,1.728971,0.3765619,0.1817446,-0.280537,0.08184113,-1.029745,0.1313687,0.02685452,0.8510474,1.771216,0.1860518,0.3841302,1.166485,0.2900617,331.8978,249.3609,344.2712,False
0,0.3333333,-0.3428527,0.4472594,-0.418058,-1.518052,-4.311865,-2.404919,0.5789181,1.478923,0.4653907,-0.2088893,0.02772467,18.27,44.62,0.4770804,-0.3172811,0.08046725,-0.4604472,-4.026522,-0.1956313,0.7148795,1.729479,0.3761692,0.2092445,-0.354101,0.08023193,-1.029091,0.123943,0.02746891,0.8517254,1.771281,0.1849122,0.3833726,1.168506,0.2915163,331.4809,249.7466,344.2509,False
0,0.3444445,-0.3513891,0.4375422,-0.4403787,-1.517035,-4.319144,-2.400229,0.581341,1.479803,0.4660907,-0.2090459,-0.01439414,18.23,44.22,0.491036,-0.3269088,0.08985482,-0.4585409,-4.03469,-0.194096,0.7171757,1.729992,0.3757644,0.2208484,-0.4009992,0.07994185,-1.028318,0.1171909,0.02810434,0.8523847,1.771353,0.1839533,0.3826421,1.17069,0.2932271,331.0909,250.2303,344.185,False
0,0.3555556,-0.3599301,0.4299481,-0.4627005,-1.515893,-4.326557,-2.395411,0.5839307,1.480884,0.4669218,-0.2092925,-0.02223936,18.16,43.45,0.5055937,-0.332694,0.1621176,-0.4534468,-4.041533,-0.19408,0.7198213,1.730504,0.3753226,0.2334419,-0.431879,0.06798434,-1.02808,0.1103985,0.02857918,0.8531461,1.771405,0.1828074,0.3819705,1.172998,0.2951245,330.7285,250.7552,344.2023,False
0,0.3666667,-0.366362,0.4287505,-0.4861338,-1.514673,-4.334414,-2.390688,0.5866367,1.481685,0.4676836,-0.2096398,-0.03144729,18.1,42.72,0.5296917,-0.3639753,0.2256008,-0.4478467,-4.05111,-0.192072,0.722422,1.730987,0.3748596,0.2471292,-0.4627703,0.05815236,-1.027875,0.1033149,0.02895602,0.8538642,1.77148,0.1817579,0.3813624,1.175314,0.2971078,330.3434,251.2181,344.3263,False
0,0.3777778,-0.3685384,0.4361486,-0.4968184,-1.513861,-4.342188,-2.386065,0.5892345,1.482501,0.4686098,-0.2097394,-0.008757801,18.04,42.05,0.5544086,-0.4023899,0.2410877,-0.4435548,-4.062926,-0.1884336,0.7249321,1.731463,0.3744891,0.2551753,-0.5223178,0.02375711,-1.029031,0.09414714,0.03054539,0.8547947,1.771477,0.1804762,0.3809104,1.177624,0.2991551,329.9396,251.6084,344.4821,False
0,0.3888889,-0.353729,0.4541919,-0.5193085,-1.512998,-4.350728,-2.382186,0.5919319,1.483213,0.4694281,-0.2100275,-0.02616076,17.98,41.42,0.5945891,-0.4287249,0.2053652,-0.4416251,-4.075379,-0.1850702,0.7274268,1.731851,0.3741527,0.2386417,-0.5625833,-0.0231174,-1.031113,0.08544779,0.03296408,0.8557023,1.771458,0.1790977,0.3806677,1.179932,0.3012821,329.5552,251.989,344.5864,False
0,0.4,-0.3367898,0.4711758,-0.5439267,-1.511919,-4.359621,-2.378474,0.5948315,1.483836,0.4703598,-0.2102837,-0.02311839,17.92,40.83,0.6206582,-0.4389343,0.14538,-0.4410594,-4.087262,-0.1820185,0.7298176,1.732245,0.3737812,0.2276374,-0.5794735,-0.05610504,-1.033047,0.077537,0.03474573,0.8566257,1.771425,0.1778011,0.380551,1.182091,0.3034644,329.1899,252.3994,344.6281,False
0,0.4111111,-0.3219537,0.4871193,-0.5610726,-1.511163,-4.368343,-2.375112,0.5975026,1.48461,0.4712405,-0.2111754,-0.08125866,17.67,40.08,0.6320055,-0.4407929,0.1068994,-0.4403244,-4.098418,-0.1791013,0.7321508,1.732641,0.3733931,0.2200846,-0.586886,-0.06351063,-1.034081,0.06987922,0.03656467,0.8573655,1.771388,0.176599,0.3805278,1.184068,0.3057008,328.888,252.8388,344.6327,False
0,0.4222222,-0.2827631,0.5393529,-0.5837641,-1.511194,-4.378797,-2.3727,0.6007667,1.485291,0.4722395,-0.2114651,-0.02582274,17.43,39.37,0.6521837,-0.4120062,0.1069054,-0.4385257,-4.106161,-0.1799165,0.7344682,1.733138,0.372916,0.2158272,-0.5911379,-0.06242121,-1.03493,0.06214033,0.0381876,0.858235,1.771271,0.1754239,0.3806235,1.185839,0.3080249,328.5807,253.2937,344.6277,False
0,0.4333333,-0.2626129,0.5607034,-0.5902925,-1.511142,-4.388527,-2.369864,0.6038343,1.485938,0.4731917,-0.2117778,-0.02848974,17.21,38.71,0.6535062,-0.3717244,0.1391195,-0.4350663,-4.111235,-0.1826127,0.7370616,1.733719,0.3723102,0.1967365,-0.553813,-0.0620913,-1.035749,0.05633851,0.03966752,0.8590963,1.771239,0.1741583,0.3808959,1.187427,0.3105113,328.3167,253.7617,344.6032,False
0,0.4444444,-0.2371558,0.5863168,-0.5989855,-1.511105,-4.398574,-2.36737,0.6071774,1.486601,0.474164,-0.2127488,-0.08863664,17.01,38.1,0.631676,-0.3306389,0.2024656,-0.4302949,-4.11512,-0.1853451,0.7395579,1.734184,0.3716338,0.1892534,-0.5388529,-0.0683549,-1.036949,0.05002948,0.0409951,0.8599502,1.771128,0.1728537,0.3813712,1.188902,0.313179,328.1351,254.2623,344.5949,False
0,0.4555556,-0.2159129,0.6012898,-0.6033545,-1.511206,-4.408616,-2.365066,0.6105425,1.48704,0.4751253,-0.2122225,0.04880073,16.68,37.45,0.6363868,-0.3415819,0.2470929,-0.4253718,-4.123106,-0.1853342,0.7420641,1.73461,0.3710718,0.1859063,-0.5707753,-0.07590143,-1.038355,0.04149831,0.04335307,0.8608803,1.770977,0.171474,0.382176,1.190315,0.3160814,327.9307,254.8613,344.5594,False
