sub_num,case_nm,target,h_diff
16,EP,Close,79.22059
16,EP,Close,23.31209
16,EP,Close,33.13035
16,EP,Close,24.90321
16,EP,Close,12.88004
16,EP,Close,54.50105
16,EP,Close,133.14
16,EP,Close,52.85099
16,EP,Close,48.93485
16,EP,Close,86.12831
16,TS,Close,42.00327
16,TS,Close,46.66227
16,TS,Close,71.18095
16,TS,Close,59.8015
16,TS,Close,40.52617
16,TS,Close,47.64504
16,TS,Close,48.33863
16,TS,Close,93.51847
16,TS,Close,172.4212
16,TS,Close,82.22779
16,JS,Close,197.9709
16,JS,Close,51.57163
16,JS,Close,25.30781
16,JS,Close,14.58618
16,JS,Close,68.39836
16,JS,Close,37.47471
16,JS,Close,39.38094
16,JS,Close,52.65306
16,JS,Close,111.6705
16,JS,Close,76.08563
16,EP,Mid,100.997
16,EP,Mid,48.40774
16,EP,Mid,43.87118
16,EP,Mid,122.4576
16,EP,Mid,34.75483
16,EP,Mid,50.92602
16,EP,Mid,30.45174
16,EP,Mid,40.14416
16,EP,Mid,36.30498
16,EP,Mid,54.9278
16,TS,Mid,25.89867
16,TS,Mid,33.61746
16,TS,Mid,22.85199
16,TS,Mid,37.4967
16,TS,Mid,22.72199
16,TS,Mid,54.57375
16,TS,Mid,11.17771
16,TS,Mid,89.14761
16,TS,Mid,48.57515
16,TS,Mid,20.27757
16,JS,Mid,18.92342
16,JS,Mid,20.17765
16,JS,Mid,77.86468
16,JS,Mid,47.38772
16,JS,Mid,58.82501
16,JS,Mid,77.67331
16,JS,Mid,101.5372
16,JS,Mid,63.81607
16,JS,Mid,93.09213
16,JS,Mid,36.14638
16,EP,Far,39.26213
16,EP,Far,253.2612
16,EP,Far,36.66928
16,EP,Far,43.57047
16,EP,Far,71.1262
16,EP,Far,37.35133
16,EP,Far,33.54061
16,EP,Far,105.3525
16,EP,Far,39.02385
16,EP,Far,34.98271
16,TS,Far,81.6956
16,TS,Far,74.49746
16,TS,Far,90.09618
16,TS,Far,28.42936
16,TS,Far,77.71474
16,TS,Far,44.86249
16,TS,Far,47.22562
16,TS,Far,36.56902
16,TS,Far,70.73672
16,TS,Far,48.96389
16,JS,Far,35.56552
16,JS,Far,50.81039
16,JS,Far,35.49844
16,JS,Far,163.1986
16,JS,Far,83.00268
16,JS,Far,39.60117
16,JS,Far,27.18688
16,JS,Far,31.33246
16,JS,Far,37.84197
16,JS,Far,28.56906
16,EP,High,95.9473
16,EP,High,102.9215
16,EP,High,80.38874
16,EP,High,93.42599
16,EP,High,109.8512
16,EP,High,118.2725
16,EP,High,82.70454
16,EP,High,50.99548
16,EP,High,48.18986
16,EP,High,52.1642
16,TS,High,82.02465
16,TS,High,70.3709
16,TS,High,90.06515
16,TS,High,35.21736
16,TS,High,50.7414
16,TS,High,89.9767
16,TS,High,63.62662
16,TS,High,448.7344
16,TS,High,232.2077
16,TS,High,104.8636
16,JS,High,78.88561
16,JS,High,75.65341
16,JS,High,64.44765
16,JS,High,69.21252
16,JS,High,44.87029
16,JS,High,28.94066
16,JS,High,70.3929
16,JS,High,78.03139
16,JS,High,38.57476
16,JS,High,38.78896
