sub_num,case_nm,target,s_h
16,AB,Close,-1.4083
16,AB,Close,-1.5382
16,AB,Close,-1.6473
16,AB,Close,-1.65
16,AB,Close,-1.7296
16,AB,Close,-1.7605
16,AB,Close,-1.7588
16,AB,Close,-1.7302
16,AB,Close,-1.6289
16,AB,Close,-2.1496
16,EP,Close,-2.9901
16,EP,Close,-2.1831
16,EP,Close,-2.323
16,EP,Close,-1.9295
16,EP,Close,-2.0672
16,EP,Close,-3.1529
16,EP,Close,-5.3351
16,EP,Close,-2.1806
16,EP,Close,-1.7508
16,EP,Close,-5.6488
16,TS,Close,-2.2512
16,TS,Close,-1.964
16,TS,Close,-2.6879
16,TS,Close,-2.8775
16,TS,Close,-2.1111
16,TS,Close,-1.6357
16,TS,Close,-1.8452
16,TS,Close,-2.9903
16,TS,Close,-2.6721
16,TS,Close,-2.6633
16,JS,Close,-4.11
16,JS,Close,-2.6021
16,JS,Close,-1.6783
16,JS,Close,-1.8536
16,JS,Close,-3.4622
16,JS,Close,-2.0321
16,JS,Close,-2.1542
16,JS,Close,-1.8101
16,JS,Close,-2.8816
16,JS,Close,-2.3717
16,AB,Mid,-1.8049
16,AB,Mid,-1.4382
16,AB,Mid,-1.46
16,AB,Mid,-1.6507
16,AB,Mid,-1.4523
16,AB,Mid,-1.4164
16,AB,Mid,-1.4708
16,AB,Mid,-1.4046
16,AB,Mid,-1.3966
16,AB,Mid,-1.4793
16,EP,Mid,-3.5699
16,EP,Mid,-2.0848
16,EP,Mid,-1.9878
16,EP,Mid,-3.7985
16,EP,Mid,-1.7244
16,EP,Mid,-1.9132
16,EP,Mid,-2.0096
16,EP,Mid,-1.8513
16,EP,Mid,-1.9179
16,EP,Mid,-2.4592
16,TS,Mid,-1.8052
16,TS,Mid,-1.9947
16,TS,Mid,-2.3881
16,TS,Mid,-2.3484
16,TS,Mid,-1.7358
16,TS,Mid,-2.0514
16,TS,Mid,-1.8931
16,TS,Mid,-4.5325
16,TS,Mid,-2.1069
16,TS,Mid,-1.8469
16,JS,Mid,-1.5446
16,JS,Mid,-1.7851
16,JS,Mid,-2.3122
16,JS,Mid,-2.1286
16,JS,Mid,-2.4647
16,JS,Mid,-2.3429
16,JS,Mid,-3.1231
16,JS,Mid,-2.8787
16,JS,Mid,-3.761
16,JS,Mid,-1.6965
16,AB,Far,-1.4675
16,AB,Far,-1.472
16,AB,Far,-1.4628
16,AB,Far,-1.4542
16,AB,Far,-1.4832
16,AB,Far,-1.4965
16,AB,Far,-1.4166
16,AB,Far,-1.435
16,AB,Far,-1.8714
16,AB,Far,-1.4214
16,EP,Far,-1.9388
16,EP,Far,-3.2072
16,EP,Far,-1.8502
16,EP,Far,-1.8851
16,EP,Far,-3.4651
16,EP,Far,-2.1909
16,EP,Far,-1.9841
16,EP,Far,-2.818
16,EP,Far,-3.1222
16,EP,Far,-1.8556
16,TS,Far,-2.7877
16,TS,Far,-2.0641
16,TS,Far,-4.1466
16,TS,Far,-2.0933
16,TS,Far,-2.1613
16,TS,Far,-1.6875
16,TS,Far,-2.0798
16,TS,Far,-2.021
16,TS,Far,-2.4632
16,TS,Far,-2.2147
16,JS,Far,-2.7894
16,JS,Far,-2.2128
16,JS,Far,-2.9361
16,JS,Far,-3.5005
16,JS,Far,-2.4954
16,JS,Far,-2.6536
16,JS,Far,-2.1151
16,JS,Far,-1.9948
16,JS,Far,-2.4514
16,JS,Far,-2.1997
16,AB,High,-1.4513
16,AB,High,-1.6809
16,AB,High,-1.487
16,AB,High,-1.4896
16,AB,High,-1.4094
16,AB,High,-1.4544
16,AB,High,-1.4376
16,AB,High,-1.3992
16,AB,High,-1.4601
16,AB,High,-1.4142
16,EP,High,-2.5067
16,EP,High,-2.8514
16,EP,High,-2.5827
16,EP,High,-4.4498
16,EP,High,-3.5174
16,EP,High,-3.2183
16,EP,High,-5.0717
16,EP,High,-2.2138
16,EP,High,-2.262
16,EP,High,-2.0897
16,TS,High,-2.7847
16,TS,High,-2.983
16,TS,High,-2.5933
16,TS,High,-1.7543
16,TS,High,-1.8633
16,TS,High,-4.6853
16,TS,High,-2.7558
16,TS,High,-4.8677
16,TS,High,-4.8935
16,TS,High,-3.2618
16,JS,High,-2.1421
16,JS,High,-5.9685
16,JS,High,-2.3004
16,JS,High,-2.4763
16,JS,High,-2.9022
16,JS,High,-1.8321
16,JS,High,-2.9906
16,JS,High,-3.1913
16,JS,High,-3.8618
16,JS,High,-2.8647
