sub_num,case_nm,target,iteration,time
16,AB,Close,1,1.3111
16,AB,Close,2,1.3444
16,AB,Close,3,1.3
16,AB,Close,4,1.1667
16,AB,Close,5,1.4333
16,AB,Close,6,1.5222
16,AB,Close,7,1.3333
16,AB,Close,8,2.1222
16,AB,Close,9,1.7556
16,AB,Close,10,2.9111
16,AB,Close,11,1.3444
16,AB,Close,12,1.4222
16,AB,Close,13,1.4778
16,AB,Close,14,1.5444
16,AB,Close,15,1.2778
16,AB,Close,16,4.5444
16,AB,Close,17,1.6
16,AB,Close,18,1.4444
16,AB,Close,19,1.3667
16,AB,Close,20,1.2778
16,AB,Close,21,1.3111
16,AB,Close,22,1.3444
16,AB,Close,23,1.3
16,AB,Close,24,1.1667
16,AB,Close,25,1.4333
16,AB,Close,26,1.5222
16,AB,Close,27,1.3333
16,AB,Close,28,2.1222
16,AB,Close,29,1.7556
16,AB,Close,30,2.9111
16,AB,Mid,1,1.2667
16,AB,Mid,2,1.5556
16,AB,Mid,3,1.3
16,AB,Mid,4,4.2778
16,AB,Mid,5,1.2111
16,AB,Mid,6,1.1111
16,AB,Mid,7,1.4111
16,AB,Mid,8,1.9222
16,AB,Mid,9,1.3667
16,AB,Mid,10,2.0444
16,AB,Mid,11,1.4222
16,AB,Mid,12,1.3889
16,AB,Mid,13,1.8556
16,AB,Mid,14,1.7667
16,AB,Mid,15,1.6667
16,AB,Mid,16,1.4
16,AB,Mid,17,1.4222
16,AB,Mid,18,1.9
16,AB,Mid,19,1.3889
16,AB,Mid,20,1.6
16,AB,Mid,21,1.2667
16,AB,Mid,22,1.5556
16,AB,Mid,23,1.3
16,AB,Mid,24,4.2778
16,AB,Mid,25,1.2111
16,AB,Mid,26,1.1111
16,AB,Mid,27,1.4111
16,AB,Mid,28,1.9222
16,AB,Mid,29,1.3667
16,AB,Mid,30,2.0444
16,AB,Far,1,2.4111
16,AB,Far,2,1.7556
16,AB,Far,3,1.6889
16,AB,Far,4,1.6444
