sub_num,case_nm,target,time
16,AB,Close,1.3111
16,AB,Close,1.3444
16,AB,Close,1.3
16,AB,Close,1.1667
16,AB,Close,1.4333
16,AB,Close,1.5222
16,AB,Close,1.3333
16,AB,Close,2.1222
16,AB,Close,1.7556
16,AB,Close,2.9111
16,EP,Close,3.1555
16,EP,Close,2.4222
16,EP,Close,1.7
16,EP,Close,1.8667
16,EP,Close,1.3
16,EP,Close,2.1
16,EP,Close,5.1889
16,EP,Close,2.4556
16,EP,Close,2.0556
16,EP,Close,6.2556
16,TS,Close,2.1333
16,TS,Close,2.2778
16,TS,Close,2.9333
16,TS,Close,3.2
16,TS,Close,2.0222
16,TS,Close,2.2222
16,TS,Close,2.0778
16,TS,Close,4.0444
16,TS,Close,4.4333
16,TS,Close,2.6222
16,JS,Close,4.4667
16,JS,Close,2.0556
16,JS,Close,1.6444
16,JS,Close,2.0222
16,JS,Close,3.0556
16,JS,Close,1.9667
16,JS,Close,2.1444
16,JS,Close,2.1889
16,JS,Close,2.9889
16,JS,Close,2.4
16,AB,Mid,1.2667
16,AB,Mid,1.5556
16,AB,Mid,1.3
16,AB,Mid,4.2778
16,AB,Mid,1.2111
16,AB,Mid,1.1111
16,AB,Mid,1.4111
16,AB,Mid,1.9222
16,AB,Mid,1.3667
16,AB,Mid,2.0444
16,EP,Mid,3.4555
16,EP,Mid,2.1889
16,EP,Mid,2.6556
16,EP,Mid,5.1667
16,EP,Mid,2.4222
16,EP,Mid,2.0556
16,EP,Mid,2
16,EP,Mid,1.7778
16,EP,Mid,2.2111
16,EP,Mid,1.8444
16,TS,Mid,1.8333
16,TS,Mid,1.9444
16,TS,Mid,3.0889
16,TS,Mid,3.5555
16,TS,Mid,2.1778
16,TS,Mid,2.3111
16,TS,Mid,1.2
16,TS,Mid,6.5667
16,TS,Mid,2.0333
16,TS,Mid,1.7778
16,JS,Mid,2.3889
16,JS,Mid,1.6667
16,JS,Mid,1.9444
16,JS,Mid,2.0556
16,JS,Mid,3.2778
16,JS,Mid,2.4556
16,JS,Mid,2.7667
16,JS,Mid,3.7555
16,JS,Mid,3.7778
16,JS,Mid,1.9444
16,AB,Far,2.4111
16,AB,Far,1.7556
16,AB,Far,1.6889
16,AB,Far,1.6444
16,AB,Far,1.4889
16,AB,Far,1.8333
16,AB,Far,2.3
16,AB,Far,2.2111
16,AB,Far,1.7778
16,AB,Far,1.7444
16,EP,Far,2.5
16,EP,Far,8.1112
16,EP,Far,2.2222
16,EP,Far,2.5333
16,EP,Far,5.9333
16,EP,Far,2.5333
16,EP,Far,2.7556
16,EP,Far,3.9444
16,EP,Far,4.6111
16,EP,Far,2.8778
16,TS,Far,4.0444
16,TS,Far,3.8444
16,TS,Far,6.1111
16,TS,Far,2.2556
16,TS,Far,3.0444
16,TS,Far,3.6222
16,TS,Far,4.5444
16,TS,Far,2.3889
16,TS,Far,4.7333
16,TS,Far,2.6889
16,JS,Far,2.9444
16,JS,Far,2.4
16,JS,Far,4.1
16,JS,Far,6.0778
16,JS,Far,4.4222
16,JS,Far,2.7556
16,JS,Far,3.7111
16,JS,Far,2.3667
16,JS,Far,3.1444
16,JS,Far,1.9556
16,AB,High,1.47778
16,AB,High,1.78889
16,AB,High,1.96667
16,AB,High,1.8
16,AB,High,1.76667
16,AB,High,1.76667
16,AB,High,1.72222
16,AB,High,1.7
16,AB,High,1.96667
16,AB,High,1.3
16,EP,High,3.7111
16,EP,High,4.76666
16,EP,High,4.3111
16,EP,High,12.989
16,EP,High,4.2111
16,EP,High,6.56669
16,EP,High,8.58894
16,EP,High,3.23333
16,EP,High,3.94443
16,EP,High,2.61111
16,TS,High,3.64444
16,TS,High,3.57777
16,TS,High,4.1111
16,TS,High,2.5
16,TS,High,1.94445
16,TS,High,3.28888
16,TS,High,3.99999
16,TS,High,9.81118
16,TS,High,9.08894
16,TS,High,4.92222
16,JS,High,3.35555
16,JS,High,7.42226
16,JS,High,1.98889
16,JS,High,4.07777
16,JS,High,4.35555
16,JS,High,2
16,JS,High,3.87777
16,JS,High,3.64444
16,JS,High,4.46666
16,JS,High,4.28888
