sub_num,case_nm,d_sh_close,d_sh_mid,d_sh_far,d_sh_high
1,AB,0.02172,0.058523,0.056801,0.041982
1,AB,-0.0041997,0.079035,0.084718,0.065858
1,AB,-0.00056152,0.074214,0.045515,0.028736
1,AB,0.018511,0.078148,0.081435,0.062516
1,AB,0.022762,0.094331,0.04863,0.069871
1,AB,-0.0012844,0.083419,0.05523,0.076102
1,AB,0.0058489,0.085606,0.083621,0.048436
1,AB,0.012479,0.087265,0.077099,0.054701
1,AB,0.0014531,0.0802,0.082382,0.050745
1,AB,0.0088769,0.065559,0.07424,0.061119
1,EP,-0.017758,0.085169,0.053838,0.075858
1,EP,-0.0076663,0.10971,0.047454,0.076315
1,EP,-0.016052,0.059077,0.061543,0.096004
1,EP,-0.0044692,0.054663,0.055615,0.066053
1,EP,-0.0097782,0.11041,0.046184,0.080672
1,EP,-0.018584,0.089967,0.070442,0.079398
1,EP,-0.0016347,0.081472,0.04622,0.067921
1,EP,-0.012872,0.091369,0.070408,0.073712
1,EP,-0.031743,0.080866,0.049525,0.06737
1,EP,-0.024778,0.055866,0.063861,0.06629
1,TS,-0.032034,0.073855,0.055898,0.066002
1,TS,-0.02177,0.073483,0.07013,0.044137
1,TS,-0.031191,0.079916,0.064975,0.062847
1,TS,-0.015755,0.093663,0.070241,0.06857
1,TS,-0.00070012,0.060295,0.070653,0.051011
1,TS,0.00027582,0.065091,0.069016,0.044016
1,TS,-0.0090557,0.068075,0.081902,0.058691
1,TS,-0.034384,0.050738,0.066814,0.051247
1,TS,-0.0068556,0.093224,0.059544,0.084232
1,TS,-0.0083821,0.058853,0.063461,0.069172
1,JS,-0.010937,0.070732,0.07126,0.077298
1,JS,-0.051968,0.075824,0.083321,0.10893
1,JS,-0.03117,0.063063,0.079285,0.088556
1,JS,-0.027842,0.10949,0.064863,0.093046
1,JS,0.0016897,0.071358,0.072178,0.064325
1,JS,-0.035999,0.095069,0.07406,0.077303
1,JS,-0.013138,0.080279,0.057417,0.055678
1,JS,-0.025884,0.081795,0.095396,0.08819
1,JS,-0.018088,0.10146,0.053092,0.077586
1,JS,-0.018328,0.07779,0.070626,0.073696
2,AB,0.001002,0.1118,0.056674,0.065796
2,AB,0.0014047,0.06705,0.075459,0.061954
2,AB,0.00052324,0.072999,0.072713,0.080348
2,AB,0.0067741,0.087838,0.07455,0.056771
2,AB,0.003498,0.086242,0.070051,0.060098
2,AB,0.0023723,0.085654,0.019822,0.071395
2,AB,0.0026347,0.074273,0.072067,0.069895
2,AB,-0.0024364,0.077212,0.056429,0.073601
2,AB,0.00035682,0.068372,0.073753,0.071355
2,AB,0.00033564,0.071473,0.063119,0.050765
2,EP,0.0016675,0.10926,0.11552,0.061387
2,EP,-0.013603,0.099338,0.086023,0.057063
2,EP,-0.0030825,0.056153,0.084673,0.025068
2,EP,-0.0086159,0.077133,0.075167,0.058634
2,EP,-0.0048047,0.088075,0.094175,0.062621
2,EP,0.011471,0.082556,0.093248,0.061252
2,EP,0.0044168,0.099212,0.084117,0.073312
2,EP,0.0045808,0.091399,0.098169,0.057033
2,EP,0.011983,0.053325,0.077848,0.058299
2,EP,-0.0012333,0.081963,0.10717,0.066125
2,TS,-0.0051847,0.08903,0.10454,0.037553
2,TS,0.0073141,0.063529,0.10004,0.036777
2,TS,0.0055407,0.046997,0.087451,0.045851
2,TS,0.01597,0.084974,0.11045,0.037556
2,TS,0.0042968,0.12508,0.099689,0.040038
2,TS,-4.1112e-05,0.11046,0.096986,0.040342
2,TS,-0.0079343,0.088289,0.08425,0.0625
2,TS,0.013717,0.11054,0.10965,0.0017258
2,TS,0.00883,0.049376,0.096849,0.074894
2,TS,0.008313,0.087719,0.11825,0.064005
2,JS,0.0005174,0.082147,0.077534,0.055995
2,JS,0.0028583,0.08698,0.080786,0.05725
2,JS,-0.0016497,0.070738,0.079076,0.060398
2,JS,0.004191,0.080009,0.082295,0.064802
2,JS,0.0036516,0.081896,0.083773,0.071222
2,JS,0.0022977,0.081498,0.08548,0.075468
2,JS,0.0017358,0.095461,0.096739,0.057198
2,JS,0.0099796,0.08283,0.080069,0.073994
2,JS,0.0019898,0.087428,0.083461,0.068244
2,JS,-0.002753,0.079925,0.086058,0.063028
3,AB,0.0042985,0.078444,0.074283,0.073166
3,AB,0.0060407,0.081302,0.099042,0.068139
3,AB,0.00080643,0.086623,0.085397,0.068001
3,AB,-0.00033193,0.088242,0.09415,0.070216
3,AB,-0.00028842,0.081759,0.095755,0.069498
3,AB,0.008258,0.08432,0.084866,0.062006
3,AB,0.00079097,0.08577,0.095968,0.075268
3,AB,-0.0018801,0.077473,0.095435,0.061421
3,AB,0.0038886,0.079854,0.091017,0.070749
3,AB,0.0022622,0.074851,0.090705,0.079487
3,EP,0.014603,0.083779,0.03953,0.13367
3,EP,0.0054912,0.10001,0.065548,0.12652
3,EP,0.056517,0.037007,0.066827,0.12154
3,EP,0.0040665,0.12828,0.056432,0.12153
3,EP,0.028088,0.1003,0.1033,0.12504
3,EP,-0.0048052,0.10035,0.059586,0.12925
3,EP,0.036028,0.11092,-0.0041146,0.1231
3,EP,0.0065905,0.07545,0.076492,0.10393
3,EP,0.0089904,0.088825,0.066763,0.11908
3,EP,0.0093378,0.11153,0.084735,0.13613
3,TS,0.020629,0.04743,-0.022492,0.11394
3,TS,0.030326,0.035977,0.013754,0.095164
3,TS,0.010834,-0.0089222,0.0023968,0.10594
3,TS,0.046494,0.061518,0.0078151,0.10265
3,TS,0.038464,0.052205,-0.0050437,0.11552
3,TS,-0.015554,0.061358,0.02034,0.10113
3,TS,0.015412,0.044015,0.015284,0.11034
3,TS,0.037137,0.062149,0.050309,0.10777
3,TS,0.015273,0.072631,0.028321,0.10917
3,TS,0.017159,0.063721,0.059319,0.11534
3,JS,0.0045007,0.071084,0.054305,0.10059
3,JS,-0.0058752,0.044075,0.036897,0.096277
3,JS,0.031066,0.039454,0.041588,0.093241
3,JS,0.0067508,0.065651,0.053088,0.094618
3,JS,-0.0093767,0.072006,0.041142,0.10128
3,JS,-0.027164,0.047324,0.013855,0.1007
3,JS,-0.014475,0.047632,0.015523,0.10205
3,JS,0.029257,0.043727,0.024694,0.092784
3,JS,-0.0025151,0.03173,0.027544,0.094618
3,JS,0.0047931,0.064479,0.045371,0.10086
4,AB,0.0025451,0.1347,0.16128,0.069605
