sub_num,case_nm,s_h_close,s_h_mid,s_h_far,s_h_high
1,AB,-1.5053,-1.4325,-1.4412,-1.7579
1,AB,-1.4701,-1.4349,-1.4905,-1.4355
1,AB,-1.5705,-1.4065,-1.4219,-1.4623
1,AB,-1.5266,-1.6926,-1.4366,-1.4775
1,AB,-1.9354,-1.3977,-1.4573,-1.5704
1,AB,-1.5885,-1.4141,-1.4462,-1.5793
1,AB,-1.5687,-1.4009,-1.4663,-1.5078
1,AB,-3.7611,-1.5743,-1.3982,-1.4791
1,AB,-1.5606,-1.4053,-1.4133,-1.4162
1,AB,-1.5264,-1.4011,-1.4736,-1.4728
1,EP,-2.7957,-1.4812,-2.558,-1.7266
1,EP,-2.6439,-1.6489,-2.0113,-2.2395
1,EP,-2.6655,-2.5296,-1.8529,-1.8174
1,EP,-2.6738,-1.7162,-2.4915,-2.9347
1,EP,-2.2937,-1.9053,-1.8169,-1.7234
1,EP,-2.0818,-1.5597,-2.2399,-1.8857
1,EP,-2.2019,-1.5928,-2.2905,-2.0604
1,EP,-2.9947,-1.5491,-1.9292,-2.0837
1,EP,-2.8842,-1.4665,-2.7146,-1.9824
1,EP,-4.9128,-1.5141,-2.1583,-1.9262
1,TS,-3.225,-2.7901,-2.6283,-2.8592
1,TS,-4.3617,-1.6281,-2.7167,-2.2048
1,TS,-3.6518,-1.8185,-2.6214,-2.0719
1,TS,-3.3658,-1.4728,-1.9845,-2.2059
1,TS,-3.1751,-1.774,-2.6172,-3.1429
1,TS,-3.2517,-3.0379,-2.5546,-2.3006
1,TS,-3.8085,-2.6806,-2.4317,-3.2556
1,TS,-3.5092,-2.5427,-2.2263,-2.6295
1,TS,-3.8366,-2.0233,-2.4285,-2.2854
1,TS,-2.6687,-1.8049,-1.9433,-2.4533
1,JS,-2.1664,-2.0938,-2.4085,-2.5043
1,JS,-3.7893,-2.0645,-2.2019,-3.4234
1,JS,-2.203,-2.0054,-2.1124,-2.9295
1,JS,-2.7492,-1.6771,-4.0415,-2.4716
1,JS,-2.7639,-2.5622,-2.8248,-2.1755
1,JS,-4.2884,-2.2345,-1.9068,-3.2411
1,JS,-2.1739,-2.1033,-4.0742,-3.4718
1,JS,-2.2651,-1.8765,-2.4911,-1.9625
1,JS,-2.0915,-1.782,-1.9614,-2.8602
1,JS,-1.9798,-2.0083,-2.7389,-2.0056
2,AB,-1.5719,-1.5309,-1.5483,-1.5587
2,AB,-1.5425,-1.8063,-1.5413,-1.4146
2,AB,-1.3966,-1.6034,-1.5167,-1.5163
2,AB,-1.6688,-1.5351,-1.5354,-1.5229
2,AB,-1.3913,-1.3945,-1.7958,-1.4259
2,AB,-1.4698,-1.4513,-1.5,-1.4835
2,AB,-1.5992,-1.5968,-1.5163,-1.4086
2,AB,-1.4459,-1.528,-1.4547,-1.4038
2,AB,-1.5094,-1.3995,-1.6989,-1.5311
2,AB,-1.5531,-1.4889,-1.4346,-1.5251
2,EP,-4.1246,-1.8494,-2.8918,-2.428
2,EP,-3.8537,-1.7842,-6.2799,-2.1039
2,EP,-2.4735,-1.841,-2.655,-1.6131
2,EP,-3.8591,-1.6109,-3.2104,-1.7567
2,EP,-2.7322,-2.7386,-2.9144,-2.6344
2,EP,-2.4619,-2.8882,-1.7227,-1.7246
2,EP,-3.7278,-1.866,-2.5899,-2.2297
2,EP,-2.6564,-2.1609,-2.0722,-1.7923
2,EP,-3.1709,-1.5525,-2.074,-1.8179
2,EP,-1.7348,-1.7303,-1.7749,-1.8585
2,TS,-6.3698,-1.4858,-1.7401,-1.691
2,TS,-2.6048,-1.7721,-1.6704,-1.534
2,TS,-4.1487,-1.6647,-1.9639,-2.4608
2,TS,-2.232,-1.8671,-2.4391,-1.6861
2,TS,-2.4723,-1.7077,-1.9343,-1.4906
2,TS,-2.7917,-1.6873,-2.4064,-1.8629
2,TS,-3.1222,-1.7069,-1.9623,-1.4636
2,TS,-2.4711,-1.6032,-1.6941,-1.9631
2,TS,-3.933,-1.6521,-1.788,-1.7219
2,TS,-2.8475,-1.7629,-2.1758,-1.5181
2,JS,-2.7655,-1.5988,-1.6172,-1.9296
2,JS,-2.6928,-1.6519,-1.9856,-1.6514
