sub_num,case_nm,s_j_close,s_j_mid,s_j_far,s_j_high
1,AB,-1.4841,-1.5306,-1.761,-3.4075
1,AB,-1.76,-1.4793,-1.5261,-1.4543
1,AB,-1.5549,-1.7004,-1.6818,-1.5184
1,AB,-1.5299,-1.9933,-1.5585,-1.6089
1,AB,-1.8427,-1.6626,-1.4289,-1.656
1,AB,-1.615,-1.5182,-1.4624,-1.7611
1,AB,-1.8548,-1.7149,-1.6094,-1.7424
1,AB,-3.383,-1.855,-1.8879,-1.5426
1,AB,-1.846,-1.8941,-1.7988,-1.7375
1,AB,-1.7714,-1.5909,-1.6097,-1.5782
1,EP,-2.064,-1.6368,-1.9932,-2.3021
1,EP,-2.6002,-2.1674,-2.4276,-1.9094
1,EP,-2.4164,-3.0947,-1.898,-2.7099
1,EP,-2.1747,-2.1085,-2.2565,-3.0235
1,EP,-2.8544,-2.0753,-1.7573,-1.9833
1,EP,-1.9051,-1.9392,-2.1228,-2.038
1,EP,-2.4161,-2.0328,-2.4041,-2.1745
1,EP,-2.0938,-2.1887,-2.7427,-2.3123
1,EP,-2.2273,-2.0428,-2.1782,-2.4162
1,EP,-2.7925,-1.9618,-2.4495,-3.0047
1,TS,-2.1965,-2.1269,-2.3297,-2.1988
1,TS,-2.819,-1.8229,-2.0218,-1.7412
1,TS,-2.2465,-2.0282,-2.1735,-1.7728
1,TS,-2.581,-1.661,-1.9814,-1.8956
1,TS,-2.1834,-1.7404,-1.8307,-2.2343
1,TS,-2.0618,-2.6018,-1.8317,-2.0424
1,TS,-2.2352,-2.6826,-1.5482,-2.8162
1,TS,-2.4997,-2.0621,-1.718,-2.7845
1,TS,-2.3414,-1.7484,-2.4927,-2.0567
1,TS,-2.133,-1.9524,-2.7418,-1.7896
1,JS,-2.9655,-2.0988,-2.3336,-2.5179
1,JS,-2.2854,-1.6301,-2.2182,-2.5738
1,JS,-2.4929,-1.783,-2.1394,-3.2065
1,JS,-3.6289,-1.9838,-3.5791,-2.378
1,JS,-2.5027,-2.3549,-2.2234,-2.1407
1,JS,-2.7378,-2.524,-2.4478,-3.1225
1,JS,-2.968,-2.5528,-3.1121,-2.8712
1,JS,-2.1678,-2.2364,-1.7834,-1.8272
1,JS,-2.1413,-1.7274,-2.0662,-2.2033
1,JS,-2.2522,-2.0678,-1.9493,-2.4206
2,AB,-1.8405,-1.8213,-1.8147,-1.7921
2,AB,-2.0983,-2.1183,-1.7388,-1.5666
2,AB,-1.7038,-2.2485,-1.568,-1.8549
2,AB,-1.9143,-1.6032,-1.9499,-1.5173
2,AB,-1.7404,-1.4869,-1.7981,-1.6292
2,AB,-1.551,-1.7252,-1.6071,-1.6233
2,AB,-1.6971,-1.7809,-1.8469,-1.6611
2,AB,-1.5452,-2.0946,-1.7323,-1.4251
2,AB,-1.5141,-1.6633,-2.2381,-1.5704
2,AB,-1.5148,-1.6593,-1.7264,-1.6979
2,EP,-2.7812,-1.9175,-3.179,-2.8632
2,EP,-2.3627,-1.8741,-4.2849,-2.4224
2,EP,-2.1233,-1.9622,-2.1812,-2.195
2,EP,-2.4268,-2.1285,-2.8738,-2.4906
2,EP,-2.823,-2.2397,-2.6095,-3.0237
2,EP,-2.8146,-2.7472,-1.7006,-2.59
2,EP,-2.8341,-1.9252,-2.0428,-2.0363
2,EP,-2.7608,-2.2639,-1.8023,-2.4239
2,EP,-2.3838,-1.9777,-2.4751,-1.8831
2,EP,-2.1187,-1.93,-1.6905,-2.3204
2,TS,-5.9727,-1.6825,-1.6744,-1.7012
2,TS,-2.2811,-1.6743,-1.4677,-1.8853
2,TS,-2.2854,-1.6553,-3.6251,-2.513
2,TS,-2.3557,-1.6524,-1.6533,-1.9157
2,TS,-2.2172,-1.685,-1.6232,-1.7172
2,TS,-2.1795,-1.8085,-1.5998,-1.9323
2,TS,-3.0655,-1.6792,-1.6175,-1.599
2,TS,-2.226,-1.7841,-1.6963,-1.7249
2,TS,-2.5885,-1.6885,-1.4334,-1.7093
2,TS,-3.5202,-1.6952,-1.5637,-1.7093
2,JS,-2.1568,-1.5441,-1.4161,-1.6385
2,JS,-1.9668,-1.4534,-1.6746,-1.8062
2,JS,-1.8787,-1.5899,-1.5336,-1.7742
2,JS,-4.3322,-1.5371,-1.5392,-1.5948
2,JS,-4.1544,-1.6078,-1.6392,-2.6208
2,JS,-2.4122,-1.4,-1.5007,-1.5909
2,JS,-2.3651,-1.6745,-1.4926,-2.3795
2,JS,-2.4752,-1.5603,-1.7718,-2.3185
2,JS,-2.1665,-1.7269,-1.7165,-2.2955
2,JS,-4.5759,-1.58,-1.6438,-1.6436
3,AB,-1.8388,-1.7312,-1.839,-1.4681
3,AB,-1.9046,-1.5581,-1.4814,-1.7489
3,AB,-1.6163,-1.5941,-1.6961,-1.5746
3,AB,-1.6273,-2.2367,-1.7409,-1.5791
3,AB,-1.741,-1.4621,-1.5559,-1.7042
3,AB,-1.9439,-1.8206,-1.6237,-1.5982
3,AB,-1.5444,-1.7606,-1.6337,-1.5337
3,AB,-1.4818,-1.5591,-1.6934,-1.711
3,AB,-1.5702,-1.9797,-1.656,-1.5795
3,AB,-1.8328,-1.86,-1.6639,-1.5871
3,EP,-1.5501,-1.4786,-3.0697,-2.023
3,EP,-1.6494,-1.4872,-1.8589,-2.1397
3,EP,-1.6929,-2.0338,-1.9496,-1.9378
3,EP,-1.9609,-1.6076,-1.7883,-1.8901
3,EP,-2.3828,-2.4836,-1.9122,-1.7514
3,EP,-1.5705,-1.5623,-1.7174,-1.9071
3,EP,-1.7015,-1.7786,-2.848,-1.7115
3,EP,-1.68,-1.8119,-1.8277,-1.906
3,EP,-1.6387,-1.5068,-1.7886,-2.4029
3,EP,-2.1552,-1.7056,-1.8953,-1.8599
3,TS,-3.178,-1.8091,-1.6221,-1.8083
3,TS,-2.3899,-1.5664,-1.6893,-2.4501
3,TS,-2.7961,-3.1743,-1.5824,-1.726
3,TS,-3.13,-1.9341,-1.7377,-1.8006
3,TS,-2.5492,-1.6745,-1.6194,-1.7619
3,TS,-2.1622,-1.6526,-1.5783,-1.769
3,TS,-2.7091,-1.5822,-1.7543,-1.7852
3,TS,-2.4576,-1.9172,-1.7274,-1.6604
3,TS,-1.9027,-2.036,-1.5619,-1.6883
3,TS,-2.4232,-1.516,-2.0046,-1.7775
3,JS,-2.2167,-1.7503,-1.8222,-2.0185
3,JS,-3.0459,-1.6669,-1.6457,-1.9521
3,JS,-2.6476,-1.6293,-1.711,-2.2022
3,JS,-2.2714,-1.6537,-1.8762,-1.7676
3,JS,-2.3606,-1.6845,-1.5916,-1.7337
3,JS,-2.3707,-1.8766,-1.814,-1.8115
3,JS,-2.823,-1.7412,-1.62,-1.6644
3,JS,-2.1893,-1.7488,-2.385,-2.0543
3,JS,-2.7388,-1.7205,-1.6897,-1.821
3,JS,-2.9671,-1.6636,-1.687,-1.8986
4,AB,-1.6607,-1.6777,-1.735,-1.575
4,AB,-1.6261,-2.1466,-1.5807,-1.698
4,AB,-1.7432,-1.6832,-1.6915,-1.4206
4,AB,-1.7666,-1.5257,-1.6072,-1.4791
4,AB,-1.6004,-1.7279,-1.648,-1.6208
4,AB,-1.625,-1.5611,-1.5973,-1.5686
4,AB,-1.6022,-1.6139,-1.7637,-1.586
4,AB,-1.6569,-1.639,-1.5576,-1.5393
4,AB,-1.5984,-1.597,-1.6759,-1.5876
4,AB,-1.5431,-1.7071,-1.6626,-1.5633
4,EP,-2.2276,-1.6356,-2.3108,-2.2504
4,EP,-3.2305,-2.0418,-2.5799,-1.9793
4,EP,-2.2282,-2.0985,-2.3878,-1.9149
4,EP,-2.8075,-2.1732,-2.9255,-2.4675
4,EP,-2.5434,-2.0273,-2.2227,-2.4353
4,EP,-2.916,-2.0318,-2.6828,-2.1299
4,EP,-2.4446,-2.7926,-3.0028,-2.3137
4,EP,-2.5204,-1.6596,-2.3919,-2.8142
4,EP,-2.8274,-1.8724,-2.3281,-1.9756
4,EP,-3.0104,-2.3077,-2.6291,-1.6599
4,TS,-2.2423,-2.1004,-2.3322,-2.7262
4,TS,-1.9357,-2.4304,-2.0884,-2.9679
4,TS,-2.3248,-2.1006,-2.5157,-3.1494
4,TS,-1.5806,-1.8253,-3.4385,-2.1939
4,TS,-2.1171,-2.4611,-1.822,-2.9776
4,TS,-2.2021,-2.1335,-1.804,-1.945
4,TS,-2.8086,-1.7752,-1.7997,-1.9704
4,TS,-2.0009,-1.7889,-2.0412,-1.94
4,TS,-2.8586,-2.2511,-1.5556,-2.4564
4,TS,-3.0695,-2.0729,-1.7387,-1.6534
4,JS,-2.8598,-1.8029,-1.6147,-1.7437
4,JS,-2.6882,-2.0729,-1.6126,-2.1696
4,JS,-3.0826,-1.6903,-1.9589,-1.5444
4,JS,-2.6587,-1.6801,-1.9285,-1.5749
4,JS,-3.5074,-2.5848,-1.8404,-2.4187
4,JS,-2.4011,-1.8767,-1.582,-2.0546
4,JS,-2.9361,-1.6712,-1.4978,-1.6256
4,JS,-2.678,-1.6313,-3.045,-1.6718
4,JS,-2.6686,-3.0569,-1.6913,-1.6448
4,JS,-3.2574,-2.2382,-1.7098,-1.4751
5,AB,-1.8358,-1.9084,-1.7566,-1.736
5,AB,-1.7646,-1.6184,-1.6685,-1.5539
5,AB,-1.6321,-1.7405,-1.7086,-1.593
5,AB,-1.7126,-1.6939,-1.6791,-1.5604
5,AB,-1.7102,-1.8112,-1.869,-1.5538
5,AB,-1.8346,-1.6234,-1.6665,-1.3918
5,AB,-1.6412,-1.7397,-1.7922,-1.6511
5,AB,-1.7723,-1.6162,-1.7422,-1.5889
5,AB,-1.5791,-1.6112,-1.6412,-1.5457
5,AB,-1.7235,-1.5694,-1.7613,-1.4433
5,EP,-2.549,-1.7528,-2.4224,-2.0132
5,EP,-2.5025,-1.6283,-2.1398,-2.3257
5,EP,-2.467,-2.6,-2.3649,-1.8067
5,EP,-2.1151,-1.5314,-2.0724,-2.1157
5,EP,-1.8365,-1.9714,-1.8082,-1.7472
5,EP,-2.0512,-1.5356,-1.7322,-1.8621
5,EP,-1.7363,-1.6576,-1.7904,-1.6875
5,EP,-3.0187,-2.2384,-1.8188,-1.5435
5,EP,-1.752,-2.1628,-1.8467,-1.9301
5,EP,-2.0875,-1.7084,-2.1494,-1.8587
5,TS,-2.4265,-1.5863,-1.765,-2.1577
5,TS,-2.612,-1.9028,-1.6876,-1.7888
5,TS,-1.9981,-2.0171,-1.8026,-2.2329
5,TS,-2.4384,-1.8001,-1.8283,-2.1504
5,TS,-2.1772,-2.3087,-1.8465,-1.9257
5,TS,-2.7517,-1.8197,-1.7296,-2.3252
5,TS,-2.0999,-2.0041,-1.6122,-1.6762
5,TS,-1.9031,-1.8144,-1.7035,-2.1366
5,TS,-2.2225,-1.7434,-1.7613,-2.2851
5,TS,-5.3095,-1.7392,-1.8377,-1.9577
5,JS,-1.8301,-1.6067,-2.7446,-1.8159
5,JS,-1.7172,-1.5111,-1.4054,-2.0509
5,JS,-2.2634,-1.6317,-1.664,-1.7645
5,JS,-2.0432,-1.523,-1.613,-1.656
5,JS,-2.4978,-1.5579,-1.7625,-1.7185
5,JS,-2.746,-1.6225,-2.3188,-1.8557
5,JS,-2.4792,-1.6038,-1.4948,-1.8767
5,JS,-1.946,-1.7494,-1.8015,-1.7294
5,JS,-2.4779,-1.5593,-1.5715,-1.7142
5,JS,-1.5224,-1.5931,-1.4378,-2.4399
6,AB,-1.6661,-1.634,-2.5409,-1.3989
6,AB,-1.7576,-1.7344,-1.7583,-1.5779
6,AB,-1.6958,-1.8074,-1.7703,-1.5253
6,AB,-1.8028,-1.8059,-1.8042,-1.639
6,AB,-1.7488,-1.8467,-1.7692,-1.59
6,AB,-1.7061,-1.764,-1.7351,-1.6583
6,AB,-1.7685,-1.868,-1.7205,-1.599
6,AB,-1.7554,-1.7701,-1.7192,-1.4016
6,AB,-1.6518,-1.6967,-1.8097,-1.6558
6,AB,-1.6278,-1.822,-1.7891,-1.6184
6,EP,-2.0994,-2.19,-2.3481,-1.9988
6,EP,-1.7943,-2.3891,-1.7575,-2.7334
6,EP,-1.7386,-2.0277,-2.3507,-1.4418
6,EP,-1.8889,-1.9589,-2.1767,-1.7155
6,EP,-2.1173,-1.8567,-3.2577,-1.4298
6,EP,-5.4877,-1.8291,-4.2328,-2.4227
6,EP,-5.6584,-1.7827,-2.2468,-1.7081
6,EP,-1.9031,-1.7683,-3.8401,-1.7772
6,EP,-2.2808,-2.3768,-1.8562,-2.258
6,EP,-2.3378,-1.8889,-2.4028,-2.4346
6,TS,-2.045,-1.7371,-1.4795,-1.9475
6,TS,-2.0563,-1.5523,-1.7621,-1.6359
6,TS,-2.0385,-1.6336,-1.632,-1.6186
6,TS,-2.0056,-1.6889,-1.4984,-1.6468
6,TS,-1.9443,-1.6374,-1.81,-1.7372
6,TS,-2.2612,-2.1002,-1.646,-1.6923
6,TS,-2.0782,-1.6514,-1.6013,-1.8674
6,TS,-2.368,-1.7617,-1.6417,-1.612
6,TS,-2.0216,-1.7714,-1.5546,-1.6661
6,TS,-2.2365,-1.9397,-1.5961,-1.7389
6,JS,-2.2296,-1.8013,-1.7143,-1.7332
6,JS,-2.4893,-1.6421,-1.5228,-1.5831
6,JS,-2.7478,-1.5428,-1.5924,-1.6742
6,JS,-2.1441,-1.5573,-1.5071,-1.609
6,JS,-2.4396,-2.204,-1.5478,-1.9647
6,JS,-2.1396,-1.5295,-1.5374,-1.9913
6,JS,-1.8856,-1.4587,-1.5439,-1.8033
6,JS,-1.9095,-1.9061,-1.6111,-1.6946
6,JS,-2.2562,-1.4603,-1.4569,-1.7287
6,JS,-2.0392,-1.4661,-1.5713,-1.9137
7,AB,-1.5816,-1.653,-2.2797,-1.4861
7,AB,-1.4869,-1.6218,-1.716,-1.564
7,AB,-1.6553,-2.1269,-1.5188,-1.6125
7,AB,-1.697,-1.533,-2.5167,-1.4874
7,AB,-1.5805,-1.814,-1.9372,-1.5619
7,AB,-1.5875,-1.9147,-1.6875,-1.418
7,AB,-1.5446,-1.6758,-2.0846,-1.5551
7,AB,-1.7519,-1.5831,-2.4786,-1.5628
7,AB,-1.4729,-1.7246,-2.314,-1.5853
7,AB,-1.6545,-1.635,-1.626,-1.5355
7,EP,-2.185,-2.211,-1.9951,-1.681
7,EP,-1.8409,-2.3979,-2.6209,-1.6386
7,EP,-1.9015,-2.0756,-3.0437,-1.6625
7,EP,-1.7372,-1.6704,-2.0737,-1.5541
7,EP,-1.9754,-2.2747,-2.8992,-2.5229
7,EP,-2.2576,-1.7239,-2.0471,-2.7544
7,EP,-1.8482,-1.6813,-2.0372,-2.1008
7,EP,-1.685,-1.5786,-3.4221,-1.952
7,EP,-1.8412,-1.6448,-2.4534,-1.5671
7,EP,-1.955,-2.0828,-2.2721,-1.8794
7,TS,-2.0615,-1.9484,-1.941,-1.8053
7,TS,-2.0426,-1.6894,-1.5059,-2.0729
7,TS,-1.5442,-1.8801,-1.7265,-1.9015
7,TS,-2.5618,-1.5743,-1.7966,-1.842
7,TS,-2.0675,-1.8289,-1.7045,-2.1714
7,TS,-2.1907,-1.6351,-1.7228,-1.7669
7,TS,-2.2016,-2.74,-1.785,-1.8325
7,TS,-1.7989,-1.8904,-1.6174,-1.7718
7,TS,-1.9991,-1.8927,-1.4064,-1.9263
7,TS,-1.9252,-1.5398,-1.5602,-1.7193
7,JS,-2.1309,-1.8758,-1.7342,-1.7481
7,JS,-2.3084,-1.5277,-1.7088,-1.4069
7,JS,-1.8505,-1.5076,-1.7024,-1.5168
7,JS,-1.8889,-1.9241,-1.8512,-1.5459
7,JS,-2.0429,-1.5673,-1.8361,-1.6945
7,JS,-2.0872,-2.2241,-1.4592,-1.5375
7,JS,-2.0356,-1.6979,-1.6539,-1.6602
7,JS,-2.0507,-1.6719,-1.8262,-1.65
7,JS,-1.8137,-1.7248,-1.7157,-1.4789
7,JS,-1.7427,-1.7162,-2.3886,-1.5792
8,AB,-1.4658,-1.6071,-1.7838,-2.0113
8,AB,-1.732,-1.9833,-1.8752,-1.8542
8,AB,-1.7295,-1.8408,-1.6792,-1.7727
8,AB,-1.7869,-1.765,-1.9364,-1.813
8,AB,-1.6324,-1.7942,-1.8751,-1.8625
8,AB,-1.5624,-1.6046,-1.8607,-1.82
8,AB,-1.7011,-1.777,-1.9049,-1.5641
8,AB,-1.7637,-1.7606,-1.8387,-1.8568
8,AB,-1.5017,-1.7271,-1.723,-1.7458
8,AB,-1.5537,-1.7772,-1.7593,-1.5785
8,EP,-2.5657,-1.9128,-2.1458,-1.7111
8,EP,-2.6964,-1.6901,-1.9302,-1.8155
8,EP,-2.3337,-1.6896,-1.7746,-1.8476
8,EP,-2.588,-1.5243,-2.0504,-1.937
8,EP,-2.5515,-1.6776,-1.8797,-2.0451
8,EP,-2.3462,-1.6296,-1.5067,-1.6237
8,EP,-1.8161,-1.5643,-3.3167,-1.5741
8,EP,-2.4958,-2.2703,-1.7658,-2.4883
8,EP,-2.1525,-1.9091,-1.6647,-1.7083
8,EP,-2.8138,-1.6349,-1.6613,-1.7879
8,TS,-1.9899,-1.8859,-1.7183,-1.9603
8,TS,-2.0132,-1.8516,-1.6554,-1.7826
8,TS,-2.0346,-1.6725,-2.0989,-2.1606
8,TS,-1.9745,-1.6583,-2.0237,-2.1473
8,TS,-2.1297,-2.0487,-1.9328,-2.0866
8,TS,-2.2827,-1.9454,-1.7866,-1.8858
8,TS,-2.3287,-1.6028,-2.0289,-1.8276
8,TS,-2.8091,-1.7837,-1.7408,-1.8893
8,TS,-2.5843,-1.9315,-1.8992,-1.8929
8,TS,-2.2971,-2.2,-2.2006,-1.9027
8,JS,-3.0183,-3.4475,-2.0315,-2.0444
8,JS,-2.4545,-1.7183,-1.9104,-2.2505
8,JS,-2.8493,-1.7193,-2.1017,-2.1377
8,JS,-2.4896,-1.9033,-1.8496,-1.9195
8,JS,-2.0425,-2.1202,-1.5731,-1.7705
8,JS,-3.0347,-1.626,-1.9409,-2.0852
8,JS,-2.3626,-1.5047,-1.949,-1.7683
8,JS,-2.5131,-2.1608,-2.0179,-1.8263
8,JS,-2.3215,-2.0075,-1.616,-1.9984
8,JS,-2.6411,-1.9256,-1.6642,-1.9525
9,AB,-1.914,-1.7343,-1.825,-1.6456
9,AB,-1.749,-1.7378,-1.8069,-1.523
9,AB,-1.8493,-1.6088,-1.7951,-1.5248
9,AB,-1.7294,-1.6942,-1.7007,-1.5617
9,AB,-1.7124,-1.743,-1.598,-1.6518
9,AB,-1.7029,-1.5885,-1.7165,-1.5366
9,AB,-1.7665,-1.6725,-1.6958,-1.5853
9,AB,-1.6724,-1.8291,-1.6168,-1.6194
9,AB,-1.7354,-1.6058,-1.6362,-1.6409
9,AB,-1.7251,-1.6028,-1.7079,-1.6204
9,EP,-2.4645,-5.0062,-2.3917,-5.248
9,EP,-2.1747,-2.4359,-3.7825,-1.9598
9,EP,-2.0217,-1.8942,-2.7384,-1.9427
9,EP,-2.6979,-3.739,-2.3921,-1.7283
9,EP,-1.8925,-1.8854,-9.7565,-2.5094
9,EP,-2.2295,-1.8488,-1.8908,-2.0908
9,EP,-6.6369,-2.465,-2.8486,-2.0523
9,EP,-2.0764,-1.8859,-5.229,-4.0449
9,EP,-2.2062,-2.4378,-3.8642,-2.342
9,EP,-2.5804,-7.689,-3.2717,-2.7957
9,TS,-1.6585,-1.9648,-2.1109,-1.5436
9,TS,-1.4749,-1.8719,-1.9765,-1.6426
9,TS,-2.3787,-2.4265,-1.792,-1.7525
9,TS,-2.0227,-1.937,-1.6873,-1.8241
9,TS,-2.015,-2.0204,-1.7966,-1.6857
9,TS,-2.1728,-1.7888,-1.881,-1.7077
9,TS,-2.1203,-1.8374,-1.8741,-1.7029
9,TS,-2.372,-1.949,-1.8491,-1.6283
9,TS,-2.0298,-1.6608,-1.7463,-1.775
9,TS,-2.0891,-1.6881,-1.6364,-1.7187
9,JS,-1.8573,-1.8258,-2.1035,-1.7068
9,JS,-1.9741,-1.6881,-1.8678,-1.6642
9,JS,-1.9634,-1.8584,-2.0732,-2.5347
9,JS,-2.5954,-1.5699,-2.0328,-2.1842
9,JS,-2.4637,-1.702,-2.2952,-1.7114
9,JS,-1.7548,-1.7099,-2.0018,-1.7616
9,JS,-2.7125,-1.7162,-2.3291,-1.5314
