sub_num,case_nm,d_c7_close,d_c7_mid,d_c7_far,d_c7_high
1,AB,0.010013,0.067564,0.23594,0.067703
1,AB,0.026123,0.10011,0.18282,0.029996
1,AB,0.035925,0.072323,0.21711,0.075647
1,AB,0.017517,0.069258,0.20091,0.047199
1,AB,0.034531,0.082297,0.22344,0.080398
1,AB,0.023833,0.054826,0.1801,0.033571
1,AB,0.017254,0.054939,0.18298,0.066657
1,AB,0.012776,0.1006,0.21707,0.050904
1,AB,0.025048,0.12256,0.20134,0.12283
1,AB,0.0064882,0.10527,0.21529,0.090715
1,EP,0.10933,0.10087,0.25545,0.12311
1,EP,0.061434,0.092931,0.25475,0.11529
1,EP,0.055873,0.13493,0.20609,0.081756
1,EP,0.059583,0.1168,0.22574,0.10812
1,EP,0.039385,0.065789,0.24254,0.051033
1,EP,0.035258,0.05942,0.25037,0.094404
1,EP,0.016927,0.077131,0.26525,0.096451
1,EP,0.075204,0.098737,0.25355,0.073214
1,EP,0.055857,0.090985,0.25275,0.10869
1,EP,0.091237,0.10803,0.25881,0.099425
1,TS,0.096576,0.072593,0.26416,0.041007
1,TS,0.088767,0.083372,0.2575,0.058475
1,TS,0.10344,0.056728,0.26149,0.044182
1,TS,0.089295,0.1013,0.21395,0.051633
1,TS,0.07664,0.12014,0.21584,0.047118
1,TS,0.024613,0.083725,0.20552,0.050098
1,TS,0.05972,0.091346,0.2348,0.030553
1,TS,0.096689,0.09386,0.2416,0.066946
1,TS,0.03902,0.1097,0.22094,0.019848
1,TS,0.061648,0.11204,0.25033,0.040431
1,JS,0.056397,0.16103,0.29449,0.13012
1,JS,0.19422,0.045374,0.33411,0.047394
1,JS,0.094539,0.03178,0.2891,0.13286
1,JS,0.065997,0.069911,0.28521,0.15391
1,JS,0.037393,0.12716,0.28979,0.10789
1,JS,0.15802,0.12149,0.3054,0.092585
1,JS,0.065882,0.10457,0.27356,0.11865
1,JS,0.10376,0.11327,0.23389,0.10773
1,JS,0.11197,0.080387,0.26791,0.050629
1,JS,0.068786,0.0778,0.22829,0.079485
2,AB,0.0099552,0.047397,0.31685,0.011206
2,AB,0.012538,0.078316,0.27909,0.03166
2,AB,0.0022712,0.066621,0.26946,0.028771
2,AB,0.0093458,0.045884,0.29523,0.022418
2,AB,0.0054723,0.053428,0.26987,0.017872
2,AB,0.0072389,0.026432,0.28662,0.00927
2,AB,0.0033785,0.024804,0.28607,0.0012166
2,AB,0.0042349,0.049681,0.27807,0.042651
2,AB,0.017074,0.054263,0.27318,0.043022
2,AB,0.0037928,0.051931,0.27564,0.041116
2,EP,0.020124,0.019687,0.25359,0.019
2,EP,0.017613,0.010489,0.28268,0.020888
2,EP,0.0098267,0.019319,0.2616,0.031738
2,EP,0.012516,0.010644,0.27448,0.021884
2,EP,0.00822,0.020519,0.26304,0.018237
2,EP,0.0053912,0.027699,0.24453,0.026142
2,EP,0.016369,0.009484,0.29317,0.025482
2,EP,0.011984,0.025398,0.26988,0.028445
2,EP,0.0048778,0.026854,0.30025,0.015921
2,EP,0.013216,0.022972,0.2575,0.011682
2,TS,0.067879,0.0077264,0.24176,0.025305
2,TS,0.0099064,0.021062,0.20476,0.03439
