sub_num,case_nm,target,d_c7
1,AB,Close,0.010013
1,AB,Close,0.026123
1,AB,Close,0.035925
1,AB,Close,0.017517
1,AB,Close,0.034531
1,AB,Close,0.023833
1,AB,Close,0.017254
1,AB,Close,0.012776
1,AB,Close,0.025048
1,AB,Close,0.0064882
1,EP,Close,0.10933
1,EP,Close,0.061434
1,EP,Close,0.055873
1,EP,Close,0.059583
1,EP,Close,0.039385
1,EP,Close,0.035258
1,EP,Close,0.016927
1,EP,Close,0.075204
1,EP,Close,0.055857
1,EP,Close,0.091237
1,TS,Close,0.096576
1,TS,Close,0.088767
1,TS,Close,0.10344
1,TS,Close,0.089295
1,TS,Close,0.07664
1,TS,Close,0.024613
1,TS,Close,0.05972
1,TS,Close,0.096689
1,TS,Close,0.03902
1,TS,Close,0.061648
1,JS,Close,0.056397
1,JS,Close,0.19422
1,JS,Close,0.094539
1,JS,Close,0.065997
1,JS,Close,0.037393
1,JS,Close,0.15802
1,JS,Close,0.065882
1,JS,Close,0.10376
1,JS,Close,0.11197
1,JS,Close,0.068786
2,AB,Close,0.0099552
2,AB,Close,0.012538
2,AB,Close,0.0022712
2,AB,Close,0.0093458
2,AB,Close,0.0054723
2,AB,Close,0.0072389
2,AB,Close,0.0033785
2,AB,Close,0.0042349
2,AB,Close,0.017074
2,AB,Close,0.0037928
2,EP,Close,0.020124
2,EP,Close,0.017613
2,EP,Close,0.0098267
2,EP,Close,0.012516
2,EP,Close,0.00822
2,EP,Close,0.0053912
2,EP,Close,0.016369
2,EP,Close,0.011984
2,EP,Close,0.0048778
2,EP,Close,0.013216
2,TS,Close,0.067879
2,TS,Close,0.0099064
2,TS,Close,0.037063
2,TS,Close,0.044543
2,TS,Close,0.024618
2,TS,Close,0.02916
2,TS,Close,0.021964
2,TS,Close,0.038232
2,TS,Close,0.040436
2,TS,Close,0.027928
2,JS,Close,0.014767
2,JS,Close,0.0039582
2,JS,Close,0.015715
2,JS,Close,0.022811
2,JS,Close,0.028073
2,JS,Close,0.024523
2,JS,Close,0.014545
2,JS,Close,0.013664
2,JS,Close,0.022184
2,JS,Close,0.026508
3,AB,Close,0.014167
3,AB,Close,0.0036821
3,AB,Close,0.010727
3,AB,Close,0.006477
3,AB,Close,0.0046031
3,AB,Close,0.02272
3,AB,Close,0.0032904
3,AB,Close,0.016152
3,AB,Close,0.0038893
3,AB,Close,0.0071646
3,EP,Close,0.021693
3,EP,Close,0.025538
3,EP,Close,0.1343
3,EP,Close,0.02699
3,EP,Close,0.072534
3,EP,Close,0.039567
3,EP,Close,0.142
3,EP,Close,0.032394
3,EP,Close,0.022913
3,EP,Close,0.039024
3,TS,Close,0.039916
3,TS,Close,0.012172
3,TS,Close,0.033353
3,TS,Close,0.013526
3,TS,Close,0.008316
3,TS,Close,0.023932
3,TS,Close,0.035928
3,TS,Close,0.02408
3,TS,Close,0.010607
3,TS,Close,0.014149
3,JS,Close,0.034491
3,JS,Close,0.038644
3,JS,Close,0.011825
3,JS,Close,0.018719
3,JS,Close,0.030758
3,JS,Close,0.053836
3,JS,Close,0.054724
3,JS,Close,0.02422
3,JS,Close,0.042606
3,JS,Close,0.029437
4,AB,Close,0.018069
4,AB,Close,0.018364
4,AB,Close,0.012751
4,AB,Close,0.011358
4,AB,Close,0.0061961
4,AB,Close,0.010474
4,AB,Close,0.01928
4,AB,Close,0.0073326
4,AB,Close,0.011819
4,AB,Close,0.026438
4,EP,Close,0.12033
4,EP,Close,0.073288
4,EP,Close,0.089303
4,EP,Close,0.056333
4,EP,Close,0.01709
4,EP,Close,0.14246
4,EP,Close,0.034989
4,EP,Close,0.076602
4,EP,Close,0.10484
4,EP,Close,0.15691
4,TS,Close,0.031771
4,TS,Close,0.037328
4,TS,Close,0.10249
4,TS,Close,0.056967
4,TS,Close,0.080786
4,TS,Close,0.066441
4,TS,Close,0.1136
4,TS,Close,0.063177
4,TS,Close,0.10234
4,TS,Close,0.057171
4,JS,Close,0.067795
4,JS,Close,0.054681
4,JS,Close,0.062457
4,JS,Close,0.10251
4,JS,Close,0.18486
4,JS,Close,0.057266
4,JS,Close,0.071746
4,JS,Close,0.069173
4,JS,Close,0.13775
4,JS,Close,0.055312
5,AB,Close,0.028637
5,AB,Close,0.010101
5,AB,Close,0.01271
5,AB,Close,0.0072549
5,AB,Close,0.010802
5,AB,Close,0.024992
5,AB,Close,0.0096224
5,AB,Close,0.010635
5,AB,Close,0.023758
5,AB,Close,0.015894
5,EP,Close,0.03144
5,EP,Close,0.048567
5,EP,Close,0.046819
5,EP,Close,0.027664
5,EP,Close,0.0085434
5,EP,Close,0.021412
5,EP,Close,0.0096025
5,EP,Close,0.042525
5,EP,Close,0.044747
5,EP,Close,0.056387
5,TS,Close,0.032183
5,TS,Close,0.048739
5,TS,Close,0.023153
5,TS,Close,0.034884
5,TS,Close,0.018275
5,TS,Close,0.047318
5,TS,Close,0.029998
5,TS,Close,0.023688
5,TS,Close,0.025242
5,TS,Close,0.019073
5,JS,Close,0.26377
5,JS,Close,0.16083
5,JS,Close,0.099355
5,JS,Close,0.046365
5,JS,Close,0.03068
5,JS,Close,0.04725
5,JS,Close,0.037938
5,JS,Close,0.032309
5,JS,Close,0.010152
5,JS,Close,0.087942
6,AB,Close,0.023393
