sub_num,case_nm,target,d_sh
1,AB,Close,0.02172
1,AB,Close,-0.0041997
1,AB,Close,-0.00056152
1,AB,Close,0.018511
1,AB,Close,0.022762
1,AB,Close,-0.0012844
1,AB,Close,0.0058489
1,AB,Close,0.012479
1,AB,Close,0.0014531
1,AB,Close,0.0088769
1,EP,Close,-0.017758
1,EP,Close,-0.0076663
1,EP,Close,-0.016052
1,EP,Close,-0.0044692
1,EP,Close,-0.0097782
1,EP,Close,-0.018584
1,EP,Close,-0.0016347
1,EP,Close,-0.012872
1,EP,Close,-0.031743
1,EP,Close,-0.024778
1,TS,Close,-0.032034
1,TS,Close,-0.02177
1,TS,Close,-0.031191
1,TS,Close,-0.015755
1,TS,Close,-0.00070012
1,TS,Close,0.00027582
1,TS,Close,-0.0090557
1,TS,Close,-0.034384
1,TS,Close,-0.0068556
1,TS,Close,-0.0083821
1,JS,Close,-0.010937
1,JS,Close,-0.051968
1,JS,Close,-0.03117
1,JS,Close,-0.027842
1,JS,Close,0.0016897
1,JS,Close,-0.035999
1,JS,Close,-0.013138
1,JS,Close,-0.025884
1,JS,Close,-0.018088
1,JS,Close,-0.018328
2,AB,Close,0.001002
2,AB,Close,0.0014047
2,AB,Close,0.00052324
2,AB,Close,0.0067741
2,AB,Close,0.003498
2,AB,Close,0.0023723
2,AB,Close,0.0026347
2,AB,Close,-0.0024364
2,AB,Close,0.00035682
2,AB,Close,0.00033564
2,EP,Close,0.0016675
2,EP,Close,-0.013603
2,EP,Close,-0.0030825
2,EP,Close,-0.0086159
2,EP,Close,-0.0048047
2,EP,Close,0.011471
2,EP,Close,0.0044168
2,EP,Close,0.0045808
2,EP,Close,0.011983
2,EP,Close,-0.0012333
2,TS,Close,-0.0051847
2,TS,Close,0.0073141
2,TS,Close,0.0055407
2,TS,Close,0.01597
2,TS,Close,0.0042968
2,TS,Close,-4.11E-05
2,TS,Close,-0.0079343
2,TS,Close,0.013717
2,TS,Close,0.00883
2,TS,Close,0.008313
2,JS,Close,0.0005174
2,JS,Close,0.0028583
2,JS,Close,-0.0016497
2,JS,Close,0.004191
2,JS,Close,0.0036516
2,JS,Close,0.0022977
2,JS,Close,0.0017358
2,JS,Close,0.0099796
2,JS,Close,0.0019898
2,JS,Close,-0.002753
3,AB,Close,0.0042985
3,AB,Close,0.0060407
3,AB,Close,0.00080643
3,AB,Close,-0.00033193
3,AB,Close,-0.00028842
3,AB,Close,0.008258
3,AB,Close,0.00079097
3,AB,Close,-0.0018801
3,AB,Close,0.0038886
3,AB,Close,0.0022622
3,EP,Close,0.014603
3,EP,Close,0.0054912
3,EP,Close,0.056517
3,EP,Close,0.0040665
3,EP,Close,0.028088
3,EP,Close,-0.0048052
3,EP,Close,0.036028
3,EP,Close,0.0065905
3,EP,Close,0.0089904
3,EP,Close,0.0093378
3,TS,Close,0.020629
3,TS,Close,0.030326
3,TS,Close,0.010834
3,TS,Close,0.046494
3,TS,Close,0.038464
3,TS,Close,-0.015554
3,TS,Close,0.015412
3,TS,Close,0.037137
3,TS,Close,0.015273
3,TS,Close,0.017159
3,JS,Close,0.0045007
3,JS,Close,-0.0058752
3,JS,Close,0.031066
3,JS,Close,0.0067508
3,JS,Close,-0.0093767
3,JS,Close,-0.027164
3,JS,Close,-0.014475
3,JS,Close,0.029257
