sub_num,case_nm,target,iteration,hdiff
1,EP,Close,1,35.0536
1,EP,Close,2,257.4881
1,EP,Close,3,169.0398
1,EP,Close,4,211.7278
1,EP,Close,5,47.05376
1,EP,Close,6,119.8251
1,EP,Close,7,69.89452
1,EP,Close,8,98.38014
1,EP,Close,9,65.87042
1,EP,Close,10,60.17005
1,EP,Close,12,56.04961
1,EP,Close,13,30.20345
1,EP,Close,14,24.41166
1,EP,Close,15,28.69959
1,EP,Close,16,105.0554
1,EP,Close,17,109.8597
1,EP,Close,19,83.29385
1,EP,Close,20,84.99059
1,EP,Close,21,82.8964
1,EP,Close,22,53.46674
1,EP,Close,23,69.64183
1,EP,Close,24,28.32316
1,EP,Close,25,46.45086
1,EP,Close,26,68.5595
1,EP,Close,27,72.28039
1,EP,Close,28,115.6568
1,EP,Close,29,101.9386
1,EP,Close,30,157.439
1,EP,Mid,1,63.65278
1,EP,Mid,2,151.5335
1,EP,Mid,3,60.43365
1,EP,Mid,4,133.5354
1,EP,Mid,5,91.97021
1,EP,Mid,6,58.90912
1,EP,Mid,7,99.85792
1,EP,Mid,8,115.3648
1,EP,Mid,9,82.79368
1,EP,Mid,10,78.41929
1,JS,Far,11,53.044595
1,EP,Mid,12,40.39668
1,EP,Mid,13,31.47632
1,EP,Mid,14,37.7195
1,EP,Mid,15,32.09796
1,EP,Mid,16,25.86671
1,EP,Mid,17,21.66188
1,JS,High,18,366.1257
1,EP,Mid,19,28.29734
1,EP,Mid,20,27.66866
1,EP,Mid,21,33.96837
1,EP,Mid,22,17.81041
1,EP,Mid,23,51.38638
1,EP,Mid,24,59.93282
1,EP,Mid,25,79.04207
1,EP,Mid,26,18.66268
1,EP,Mid,27,32.91933
1,EP,Mid,28,37.96941
1,EP,Mid,29,40.27124
1,EP,Mid,30,41.42043
1,EP,Far,1,249.5818
1,EP,Far,2,112.012
1,EP,Far,3,113.5648
1,EP,Far,4,243.3758
1,EP,Far,5,121.5291
1,EP,Far,6,102.4084
1,EP,Far,7,103.3578
1,EP,Far,8,174.7505
1,EP,Far,9,187.6504
1,EP,Far,10,63.04146
1,TS,High,11,466.8845
1,EP,Far,12,72.72905
1,EP,Far,13,107.8822
1,EP,Far,14,112.8477
1,EP,Far,15,104.3034
1,EP,Far,16,138.8307
1,EP,Far,17,88.0491
1,EP,Far,19,57.49359
1,EP,Far,20,60.51966
1,EP,Far,21,86.20014
1,EP,Far,22,88.0733
1,EP,Far,23,77.68183
1,EP,Far,24,64.29007
1,EP,Far,25,34.67938
1,EP,Far,26,75.37573
1,EP,Far,27,86.28192
1,EP,Far,28,41.93361
1,EP,Far,29,78.08977
1,EP,Far,30,55.50748
1,EP,High,1,215.5763
1,EP,High,2,175.6529
1,EP,High,3,74.6523
1,EP,High,4,116.8946
1,EP,High,5,40.20516
1,EP,High,6,22.83306
1,EP,High,7,38.13115
1,EP,High,8,76.28284
1,EP,High,9,71.57433
1,EP,High,10,110.5304
1,EP,High,12,113.5154
1,EP,High,13,28.66203
1,EP,High,14,43.85306
1,EP,High,15,81.19067
1,EP,High,16,48.04333
1,EP,High,17,58.97428
1,EP,High,19,74.62594
1,EP,High,20,57.99927
1,EP,High,21,121.1775
1,EP,High,22,47.44377
1,EP,High,23,39.87879
1,EP,High,24,56.20836
1,EP,High,25,46.75176
1,EP,High,26,36.76803
1,EP,High,27,103.8518
1,EP,High,28,120.0989
1,EP,High,29,118.6873
1,EP,High,30,49.8741
1,TS,Close,1,400.2219
1,TS,Close,2,142.0392
1,TS,Close,3,146.4547
1,TS,Close,4,173.5324
1,TS,Close,5,126.6945
1,TS,Close,6,74.93129
1,TS,Close,7,59.23957
1,TS,Close,8,37.06278
1,TS,Close,9,107.1768
1,TS,Close,10,44.48742
1,JS,High,11,278.3498
1,TS,Close,12,321.3986
1,TS,Close,13,57.18713
1,TS,Close,14,110.3791
1,TS,Close,15,91.36413
1,TS,Close,16,118.1089
1,TS,Close,17,89.37342
1,TS,Close,19,60.03285
1,TS,Close,20,65.21901
1,TS,Close,21,121.0885
1,TS,Close,22,197.5169
1,TS,Close,23,58.97688
1,TS,Close,24,86.35364
1,TS,Close,25,123.4013
1,TS,Close,26,82.48303
1,TS,Close,27,181.0921
1,TS,Close,28,206.7023
1,TS,Close,29,114.5031
1,TS,Close,30,103.5261
1,TS,Mid,1,67.48308
1,TS,Mid,2,43.64106
1,TS,Mid,3,19.91743
1,TS,Mid,4,358.3848
1,TS,Mid,5,30.82216
1,TS,Mid,6,68.54072
1,TS,Mid,7,157.3653
1,TS,Mid,8,371.7896
1,TS,Mid,9,22.57385
1,TS,Mid,10,46.00912
1,TS,Mid,12,106.7734
1,TS,Mid,13,56.28523
1,TS,Mid,14,95.68265
1,TS,Mid,15,80.73988
1,TS,Mid,16,40.52837
1,TS,Mid,17,58.10834
