sub_num,case_nm,h_diff_close,h_diff_mid,h_diff_far,h_diff_high
1,AB,0,0,0,0
1,AB,0,0,0,0
1,AB,0,0,0,0
1,AB,0,0,0,0
1,AB,0,0,0,0
1,AB,0,0,0,0
1,AB,0,0,0,0
1,AB,0,0,0,0
1,AB,0,0,0,0
1,AB,0,0,0,0
1,EP,82.8964,33.96837,86.20014,121.1775
1,EP,53.46674,17.81041,88.0733,47.44377
1,EP,69.64183,51.38638,77.68183,39.87879
1,EP,28.32316,59.93282,64.29007,56.20836
1,EP,46.45086,79.04207,34.67938,46.75176
1,EP,68.5595,18.66268,75.37573,36.76803
1,EP,72.28039,32.91933,86.28192,103.8518
1,EP,115.6568,37.96941,41.93361,120.0989
1,EP,101.9386,40.27124,78.08977,118.6873
1,EP,157.439,41.42043,55.50748,49.8741
1,TS,121.0885,121.0817,86.841,259.7395
1,TS,197.5169,33.9925,85.61636,122.8143
1,TS,58.97688,31.62032,55.50664,113.0346
1,TS,86.35364,18.54583,52.54695,108.8699
1,TS,123.4013,24.56777,53.44396,179.8515
1,TS,82.48303,113.1441,39.36062,110.4795
1,TS,181.0921,349.8541,62.57181,155.7907
1,TS,206.7023,318.7252,49.54953,204.4831
1,TS,114.5031,104.2,158.1465,115.8691
1,TS,103.5261,154.1412,65.97979,97.28305
1,JS,22.48941,38.32464,79.13272,128.1606
1,JS,265.8314,27.65919,78.98867,159.3751
1,JS,14.10131,55.41712,83.84309,289.0101
1,JS,53.37661,134.7204,211.8128,377.7272
1,JS,68.0057,174.0586,218.5081,135.3831
1,JS,146.7618,275.8431,65.89327,216.8613
1,JS,71.76147,112.02,471.3104,230.5847
1,JS,70.50075,38.31321,58.60659,82.54466
1,JS,28.66808,15.02293,121.0513,101.7483
1,JS,22.46629,114.649,133.9588,93.58424
2,AB,0,0,0,0
2,AB,0,0,0,0
2,AB,0,0,0,0
2,AB,0,0,0,0
2,AB,0,0,0,0
2,AB,0,0,0,0
2,AB,0,0,0,0
2,AB,0,0,0,0
2,AB,0,0,0,0
2,AB,0,0,0,0
2,EP,84.00647,32.7716,78.12741,170.5384
2,EP,114.4716,25.3014,271.1868,91.27278
2,EP,131.6155,59.2465,60.21987,20.16333
2,EP,116.8429,42.7032,141.6908,33.23433
2,EP,109.5284,75.6344,75.11355,113.2541
