sub_num,case_nm,target,h_diff
1,EP,Close,82.8964
1,EP,Close,53.46674
1,EP,Close,69.64183
1,EP,Close,28.32316
1,EP,Close,46.45086
1,EP,Close,68.5595
1,EP,Close,72.28039
1,EP,Close,115.6568
1,EP,Close,101.9386
1,EP,Close,157.439
1,TS,Close,121.0885
1,TS,Close,197.5169
1,TS,Close,58.97688
1,TS,Close,86.35364
1,TS,Close,123.4013
1,TS,Close,82.48303
1,TS,Close,181.0921
1,TS,Close,206.7023
1,TS,Close,114.5031
1,TS,Close,103.5261
1,JS,Close,22.48941
1,JS,Close,265.8314
1,JS,Close,14.10131
1,JS,Close,53.37661
1,JS,Close,68.0057
1,JS,Close,146.7618
1,JS,Close,71.76147
1,JS,Close,70.50075
1,JS,Close,28.66808
1,JS,Close,22.46629
2,EP,Close,84.00647
2,EP,Close,114.4716
2,EP,Close,131.6155
2,EP,Close,116.8429
2,EP,Close,109.5284
2,EP,Close,200.6647
2,EP,Close,141.3609
2,EP,Close,254.0907
2,EP,Close,259.5409
2,EP,Close,127.9144
2,TS,Close,113.4574
2,TS,Close,32.34484
2,TS,Close,413.5357
2,TS,Close,63.64637
2,TS,Close,38.57992
2,TS,Close,51.98539
2,TS,Close,57.97225
2,TS,Close,71.14512
2,TS,Close,102.9302
2,TS,Close,105.1614
2,JS,Close,158.3853
2,JS,Close,93.85446
2,JS,Close,110.0501
2,JS,Close,170.7604
2,JS,Close,161.528
2,JS,Close,212.9007
2,JS,Close,188.9906
2,JS,Close,234.7862
2,JS,Close,147.3313
2,JS,Close,312.8814
3,EP,Close,17.33513
3,EP,Close,8.278048
3,EP,Close,58.27453
3,EP,Close,13.31215
3,EP,Close,140.0458
3,EP,Close,21.62929
3,EP,Close,61.54906
3,EP,Close,16.07498
3,EP,Close,15.28881
3,EP,Close,19.75441
3,TS,Close,18.09071
3,TS,Close,14.33687
3,TS,Close,9.597086
3,TS,Close,11.48486
3,TS,Close,14.39211
3,TS,Close,15.3172
3,TS,Close,15.18092
3,TS,Close,14.30924
3,TS,Close,12.56417
3,TS,Close,19.9007
3,JS,Close,20.94392
3,JS,Close,19.56511
3,JS,Close,21.4422
3,JS,Close,4.668218
3,JS,Close,9.507481
3,JS,Close,25.06079
3,JS,Close,16.60861
3,JS,Close,19.33551
3,JS,Close,16.68395
3,JS,Close,26.39655
4,EP,Close,38.56228
4,EP,Close,31.5159
4,EP,Close,46.00071
4,EP,Close,27.8014
4,EP,Close,23.02167
4,EP,Close,23.22637
4,EP,Close,36.39407
4,EP,Close,33.55697
4,EP,Close,57.92182
4,EP,Close,65.9452
4,TS,Close,178.074
4,TS,Close,70.90575
4,TS,Close,234.8782
4,TS,Close,84.09291
4,TS,Close,152.8427
4,TS,Close,55.68498
4,TS,Close,80.57331
4,TS,Close,48.47887
4,TS,Close,118.3121
4,TS,Close,155.3896
4,JS,Close,92.01079
4,JS,Close,27.48993
4,JS,Close,76.39484
4,JS,Close,15.22484
4,JS,Close,80.49614
4,JS,Close,31.29238
4,JS,Close,12.03525
4,JS,Close,30.97764
4,JS,Close,180.2862
4,JS,Close,102.0125
5,EP,Close,52.7075
5,EP,Close,41.35577
5,EP,Close,29.02503
5,EP,Close,22.61495
5,EP,Close,21.78144
5,EP,Close,21.65947
5,EP,Close,22.20159
5,EP,Close,22.32437
5,EP,Close,35.18908
5,EP,Close,31.66629
5,TS,Close,38.1254
5,TS,Close,20.88351
5,TS,Close,26.91771
5,TS,Close,21.22114
5,TS,Close,138.5288
5,TS,Close,181.7597
5,TS,Close,23.49372
5,TS,Close,7.555106
5,TS,Close,46.25668
5,TS,Close,30.46346
5,JS,Close,102.9817
5,JS,Close,65.65614
5,JS,Close,64.48235
5,JS,Close,69.68772
5,JS,Close,50.93187
5,JS,Close,71.43127
5,JS,Close,59.53327
5,JS,Close,73.10581
5,JS,Close,48.7156
5,JS,Close,44.04974
6,EP,Close,34.0613
6,EP,Close,15.821
6,EP,Close,24.9091
6,EP,Close,13.0019
6,EP,Close,58.7972
6,EP,Close,74.9823
6,EP,Close,46.2535
6,EP,Close,14.3791
6,EP,Close,47.1709
6,EP,Close,52.2004
6,TS,Close,59.4404
6,TS,Close,27.5926
6,TS,Close,28.1842
6,TS,Close,27.0038
6,TS,Close,44.5699
6,TS,Close,60.9505
6,TS,Close,24.8871
6,TS,Close,27.4204
6,TS,Close,31.0806
6,TS,Close,60.1208
6,JS,Close,20.2733
6,JS,Close,14.963
6,JS,Close,27.4056
6,JS,Close,12.8072
6,JS,Close,60.4965
6,JS,Close,41.8944
6,JS,Close,76.5219
6,JS,Close,42.0518
6,JS,Close,22.8201
6,JS,Close,18.652
7,EP,Close,37.7856
7,EP,Close,11.4188
7,EP,Close,13.6023
7,EP,Close,26.3738
7,EP,Close,9.44782
7,EP,Close,12.0971
7,EP,Close,11.0413
7,EP,Close,7.32319
7,EP,Close,9.39011
7,EP,Close,7.97919
