sub_num,case_nm,target,s_h
1,AB,Close,-1.5053
1,AB,Close,-1.4701
1,AB,Close,-1.5705
1,AB,Close,-1.5266
1,AB,Close,-1.9354
1,AB,Close,-1.5885
1,AB,Close,-1.5687
1,AB,Close,-3.7611
1,AB,Close,-1.5606
1,AB,Close,-1.5264
1,EP,Close,-2.7957
1,EP,Close,-2.6439
1,EP,Close,-2.6655
1,EP,Close,-2.6738
1,EP,Close,-2.2937
1,EP,Close,-2.0818
1,EP,Close,-2.2019
1,EP,Close,-2.9947
1,EP,Close,-2.8842
1,EP,Close,-4.9128
1,TS,Close,-3.225
1,TS,Close,-4.3617
1,TS,Close,-3.6518
1,TS,Close,-3.3658
1,TS,Close,-3.1751
1,TS,Close,-3.2517
1,TS,Close,-3.8085
1,TS,Close,-3.5092
1,TS,Close,-3.8366
1,TS,Close,-2.6687
1,JS,Close,-2.1664
1,JS,Close,-3.7893
1,JS,Close,-2.203
1,JS,Close,-2.7492
1,JS,Close,-2.7639
1,JS,Close,-4.2884
1,JS,Close,-2.1739
1,JS,Close,-2.2651
1,JS,Close,-2.0915
1,JS,Close,-1.9798
2,AB,Close,-1.5719
2,AB,Close,-1.5425
2,AB,Close,-1.3966
2,AB,Close,-1.6688
2,AB,Close,-1.3913
2,AB,Close,-1.4698
2,AB,Close,-1.5992
2,AB,Close,-1.4459
2,AB,Close,-1.5094
2,AB,Close,-1.5531
2,EP,Close,-4.1246
2,EP,Close,-3.8537
2,EP,Close,-2.4735
2,EP,Close,-3.8591
2,EP,Close,-2.7322
2,EP,Close,-2.4619
2,EP,Close,-3.7278
2,EP,Close,-2.6564
2,EP,Close,-3.1709
2,EP,Close,-1.7348
2,TS,Close,-6.3698
2,TS,Close,-2.6048
2,TS,Close,-4.1487
2,TS,Close,-2.232
2,TS,Close,-2.4723
2,TS,Close,-2.7917
2,TS,Close,-3.1222
2,TS,Close,-2.4711
2,TS,Close,-3.933
2,TS,Close,-2.8475
2,JS,Close,-2.7655
2,JS,Close,-2.6928
2,JS,Close,-3.1842
2,JS,Close,-7.6546
2,JS,Close,-6.8797
2,JS,Close,-3.7523
2,JS,Close,-3.1927
2,JS,Close,-3.2014
2,JS,Close,-3.4701
2,JS,Close,-5.4566
3,AB,Close,-1.3936
3,AB,Close,-1.5299
3,AB,Close,-1.422
3,AB,Close,-1.4027
3,AB,Close,-1.4244
3,AB,Close,-1.4497
3,AB,Close,-1.4972
3,AB,Close,-1.4018
3,AB,Close,-1.4106
3,AB,Close,-1.5189
3,EP,Close,-1.8849
3,EP,Close,-1.9178
3,EP,Close,-2.3081
3,EP,Close,-1.9132
3,EP,Close,-2.6566
3,EP,Close,-1.3982
3,EP,Close,-1.6674
3,EP,Close,-1.7689
3,EP,Close,-1.6234
3,EP,Close,-1.6772
3,TS,Close,-2.2456
3,TS,Close,-1.5689
3,TS,Close,-1.7621
3,TS,Close,-1.9601
3,TS,Close,-2.0625
3,TS,Close,-1.9021
3,TS,Close,-1.4966
3,TS,Close,-2.1243
3,TS,Close,-2.1985
3,TS,Close,-1.7576
3,JS,Close,-1.8503
3,JS,Close,-2.3451
3,JS,Close,-1.7335
3,JS,Close,-1.5827
3,JS,Close,-1.4296
