sub_num,case_nm,target,s_j
1,AB,Close,-1.4841
1,AB,Close,-1.76
1,AB,Close,-1.5549
1,AB,Close,-1.5299
1,AB,Close,-1.8427
1,AB,Close,-1.615
1,AB,Close,-1.8548
1,AB,Close,-3.383
1,AB,Close,-1.846
1,AB,Close,-1.7714
1,EP,Close,-2.064
1,EP,Close,-2.6002
1,EP,Close,-2.4164
1,EP,Close,-2.1747
1,EP,Close,-2.8544
1,EP,Close,-1.9051
1,EP,Close,-2.4161
1,EP,Close,-2.0938
1,EP,Close,-2.2273
1,EP,Close,-2.7925
1,TS,Close,-2.1965
1,TS,Close,-2.819
1,TS,Close,-2.2465
1,TS,Close,-2.581
1,TS,Close,-2.1834
1,TS,Close,-2.0618
1,TS,Close,-2.2352
1,TS,Close,-2.4997
1,TS,Close,-2.3414
1,TS,Close,-2.133
1,JS,Close,-2.9655
1,JS,Close,-2.2854
1,JS,Close,-2.4929
1,JS,Close,-3.6289
1,JS,Close,-2.5027
1,JS,Close,-2.7378
1,JS,Close,-2.968
1,JS,Close,-2.1678
1,JS,Close,-2.1413
1,JS,Close,-2.2522
2,AB,Close,-1.8405
2,AB,Close,-2.0983
2,AB,Close,-1.7038
2,AB,Close,-1.9143
2,AB,Close,-1.7404
2,AB,Close,-1.551
2,AB,Close,-1.6971
2,AB,Close,-1.5452
2,AB,Close,-1.5141
2,AB,Close,-1.5148
2,EP,Close,-2.7812
2,EP,Close,-2.3627
2,EP,Close,-2.1233
2,EP,Close,-2.4268
2,EP,Close,-2.823
2,EP,Close,-2.8146
2,EP,Close,-2.8341
2,EP,Close,-2.7608
2,EP,Close,-2.3838
2,EP,Close,-2.1187
2,TS,Close,-5.9727
2,TS,Close,-2.2811
2,TS,Close,-2.2854
2,TS,Close,-2.3557
2,TS,Close,-2.2172
2,TS,Close,-2.1795
2,TS,Close,-3.0655
2,TS,Close,-2.226
2,TS,Close,-2.5885
2,TS,Close,-3.5202
2,JS,Close,-2.1568
2,JS,Close,-1.9668
2,JS,Close,-1.8787
2,JS,Close,-4.3322
2,JS,Close,-4.1544
2,JS,Close,-2.4122
2,JS,Close,-2.3651
2,JS,Close,-2.4752
2,JS,Close,-2.1665
2,JS,Close,-4.5759
3,AB,Close,-1.8388
3,AB,Close,-1.9046
3,AB,Close,-1.6163
3,AB,Close,-1.6273
3,AB,Close,-1.741
3,AB,Close,-1.9439
3,AB,Close,-1.5444
3,AB,Close,-1.4818
3,AB,Close,-1.5702
3,AB,Close,-1.8328
3,EP,Close,-1.5501
3,EP,Close,-1.6494
3,EP,Close,-1.6929
3,EP,Close,-1.9609
3,EP,Close,-2.3828
3,EP,Close,-1.5705
3,EP,Close,-1.7015
3,EP,Close,-1.68
3,EP,Close,-1.6387
3,EP,Close,-2.1552
3,TS,Close,-3.178
3,TS,Close,-2.3899
3,TS,Close,-2.7961
3,TS,Close,-3.13
3,TS,Close,-2.5492
3,TS,Close,-2.1622
3,TS,Close,-2.7091
3,TS,Close,-2.4576
3,TS,Close,-1.9027
3,TS,Close,-2.4232
3,JS,Close,-2.2167
3,JS,Close,-3.0459
3,JS,Close,-2.6476
3,JS,Close,-2.2714
3,JS,Close,-2.3606
3,JS,Close,-2.3707
3,JS,Close,-2.823
3,JS,Close,-2.1893
3,JS,Close,-2.7388
3,JS,Close,-2.9671
4,AB,Close,-1.6607
4,AB,Close,-1.6261
4,AB,Close,-1.7432
4,AB,Close,-1.7666
4,AB,Close,-1.6004
4,AB,Close,-1.625
4,AB,Close,-1.6022
4,AB,Close,-1.6569
4,AB,Close,-1.5984
4,AB,Close,-1.5431
4,EP,Close,-2.2276
4,EP,Close,-3.2305
4,EP,Close,-2.2282
4,EP,Close,-2.8075
4,EP,Close,-2.5434
4,EP,Close,-2.916
4,EP,Close,-2.4446
4,EP,Close,-2.5204
4,EP,Close,-2.8274
4,EP,Close,-3.0104
4,TS,Close,-2.2423
4,TS,Close,-1.9357
4,TS,Close,-2.3248
4,TS,Close,-1.5806
4,TS,Close,-2.1171
4,TS,Close,-2.2021
4,TS,Close,-2.8086
4,TS,Close,-2.0009
4,TS,Close,-2.8586
4,TS,Close,-3.0695
4,JS,Close,-2.8598
4,JS,Close,-2.6882
