sub_num,case_nm,target,iteration,time
1,JS,Far,11,3.783677
1,TS,High,11,17.7111
1,JS,High,3,14.9779
1,JS,Far,19,12.2556
1,EP,High,3,11.889
1,TS,High,5,11.889
1,JS,Far,17,11.6445
1,JS,High,4,11.3112
1,JS,High,7,11.2779
1,EP,High,18,10.7001
1,TS,High,7,10.6334
1,JS,Far,27,10.2445
1,JS,Far,20,10.2223
1,JS,High,20,10.189
1,JS,Far,24,9.35562
1,JS,Far,13,9.26672
1,EP,Far,2,9.1556
1,JS,Close,1,9.0112
1,TS,High,12,8.98894
1,JS,Far,2,8.98894
1,TS,Close,1,8.9667
1,TS,Far,13,8.6445
1,EP,Close,30,8.6223
1,JS,High,18,8.62227
1,EP,High,4,8.60005
1,JS,High,26,8.52227
1,EP,High,24,8.50005
1,EP,Close,3,8.3778
1,TS,High,1,8.3556
1,TS,Far,11,8.2778
1,EP,Far,9,8.1889
1,JS,Close,13,8.1778
1,JS,Close,2,8.1445
1,EP,Far,4,8.0889
1,JS,High,9,8.01115
1,TS,High,4,8.00004
1,TS,High,25,7.9556
1,EP,Far,7,7.9445
1,JS,High,24,7.88893
1,TS,High,16,7.84448
1,JS,High,23,7.68893
1,TS,High,21,7.60004
1,EP,Far,11,7.6
1,EP,Close,19,7.5667
1,JS,High,2,7.50003
1,JS,Far,25,7.43337
1,EP,High,19,7.40003
1,TS,High,2,7.37781
1,JS,Far,1,7.3667
1,JS,High,12,7.3667
1,EP,Close,2,7.1889
1,TS,Mid,7,7.1556
1,TS,Far,1,7.0667
1,EP,Far,1,6.9889
1,TS,Mid,8,6.9778
1,TS,Mid,4,6.9
1,TS,Close,4,6.8667
1,TS,Close,16,6.8556
1,TS,Far,7,6.8556
1,JS,Far,7,6.82225
1,TS,High,14,6.75558
1,TS,Far,15,6.7222
1,JS,High,27,6.66669
1,TS,Close,12,6.6445
1,TS,High,13,6.62225
1,JS,High,8,6.62225
1,JS,Far,3,6.54447
1,JS,High,15,6.48891
1,TS,High,27,6.45558
1,EP,Close,4,6.3667
1,EP,Far,29,6.3667
1,JS,High,11,6.34446
1,JS,High,6,6.32224
1,JS,Close,19,6.3222
1,TS,High,28,6.26668
1,TS,Close,3,6.2222
1,EP,High,1,6.18891
1,AB,Close,28,6.1889
1,TS,Close,22,6.1889
1,JS,High,5,6.12224
1,EP,High,10,6.07779
1,TS,High,3,6.06668
1,JS,Mid,1,6.0445
1,TS,Close,28,6
1,JS,Far,14,5.95557
1,EP,High,20,5.93335
1,TS,Far,29,5.9333
1,TS,High,30,5.90001
1,AB,Far,10,5.8889
1,TS,Mid,27,5.8778
1,TS,High,20,5.82223
1,EP,High,2,5.80001
1,AB,High,21,5.7667
1,JS,High,25,5.70001
1,EP,Far,10,5.7
1,EP,Far,8,5.6889
1,TS,Far,4,5.6889
1,JS,Far,18,5.67779
1,TS,Far,3,5.6667
1,JS,Far,21,5.64445
1,TS,Mid,28,5.6222
