sub_num,case_nm,target,time
1,AB,Close,1.8778
1,AB,Close,1.8111
1,AB,Close,1.8111
1,AB,Close,1.9667
1,AB,Close,1.8889
1,AB,Close,1.1333
1,AB,Close,1.7111
1,AB,Close,6.1889
1,AB,Close,1.5556
1,AB,Close,1.4889
1,EP,Close,4.4111
1,EP,Close,3.0778
1,EP,Close,3.4889
1,EP,Close,2.8556
1,EP,Close,3.1333
1,EP,Close,3.5333
1,EP,Close,3.2555
1,EP,Close,3.3889
1,EP,Close,4.1111
1,EP,Close,8.6223
1,TS,Close,4.1555
1,TS,Close,6.1889
1,TS,Close,4.5778
1,TS,Close,3.7889
1,TS,Close,4.8222
1,TS,Close,4.7333
1,TS,Close,4.5222
1,TS,Close,6
1,TS,Close,5.1667
1,TS,Close,3.7222
1,JS,Close,2
1,JS,Close,5.0667
1,JS,Close,1.9444
1,JS,Close,2.8556
1,JS,Close,2.8
1,JS,Close,4.0778
1,JS,Close,2.3444
1,JS,Close,3.1
1,JS,Close,1.9333
1,JS,Close,1.3667
2,AB,Close,1.8
2,AB,Close,1.95556
2,AB,Close,2.01112
2,AB,Close,2.03334
2,AB,Close,1.8
2,AB,Close,1.88889
2,AB,Close,1.63334
2,AB,Close,1.9
2,AB,Close,2.33333
2,AB,Close,1.84445
2,EP,Close,4.72222
2,EP,Close,5.12223
2,EP,Close,2.58889
2,EP,Close,4.23332
2,EP,Close,3.72221
2,EP,Close,4.7
2,EP,Close,7.44448
2,EP,Close,6.07779
2,EP,Close,5.01111
2,EP,Close,3.77777
2,TS,Close,11.689
2,TS,Close,2.76666
2,TS,Close,6.15557
2,TS,Close,2.75555
2,TS,Close,2.22222
2,TS,Close,2.31111
2,TS,Close,3.57777
2,TS,Close,3.11111
2,TS,Close,5.65557
2,TS,Close,5.85557
2,JS,Close,4.42221
2,JS,Close,3.32221
2,JS,Close,3.85554
2,JS,Close,11.2556
2,JS,Close,8.90005
2,JS,Close,3.77777
2,JS,Close,4.34444
2,JS,Close,5.66668
2,JS,Close,2.55556
2,JS,Close,5.53334
3,AB,Close,1.1889
3,AB,Close,1.2889
3,AB,Close,1.3222
3,AB,Close,1.3222
3,AB,Close,1.2444
3,AB,Close,1.4
3,AB,Close,1.3667
3,AB,Close,1.1778
3,AB,Close,1.4778
3,AB,Close,1.4556
3,EP,Close,1.5778
3,EP,Close,1.3
3,EP,Close,2.9667
3,EP,Close,1.5667
3,EP,Close,3.8667
3,EP,Close,1.6667
3,EP,Close,2.6
3,EP,Close,1.6
3,EP,Close,1.7
3,EP,Close,1.3889
3,TS,Close,1.6
3,TS,Close,1.6111
3,TS,Close,1.3111
3,TS,Close,1.4556
3,TS,Close,1.5
3,TS,Close,1.3667
3,TS,Close,1.5556
3,TS,Close,1.5556
3,TS,Close,1.3556
3,TS,Close,1.4222
3,JS,Close,1.6889
3,JS,Close,3.4111
3,JS,Close,1.6111
3,JS,Close,1.5111
3,JS,Close,1.4333
3,JS,Close,1.5
3,JS,Close,1.4556
3,JS,Close,1.6
3,JS,Close,1.5444
3,JS,Close,1.7444
4,AB,Close,1.2889
4,AB,Close,1.2556
4,AB,Close,1.5222
4,AB,Close,1.5667
4,AB,Close,1.2556
4,AB,Close,1.6778
4,AB,Close,1.4778
4,AB,Close,1.3333
4,AB,Close,1.3222
4,AB,Close,1.3778
4,EP,Close,1.8667
4,EP,Close,2.1444
4,EP,Close,1.7222
4,EP,Close,1.5333
4,EP,Close,1.7444
4,EP,Close,1.5
4,EP,Close,3.0667
4,EP,Close,2.1778
4,EP,Close,2.7111
4,EP,Close,3.2111
4,TS,Close,4.1667
4,TS,Close,1.9889
4,TS,Close,5.0444
4,TS,Close,2.3111
4,TS,Close,4
4,TS,Close,2.6111
4,TS,Close,2.5444
4,TS,Close,2.1889
4,TS,Close,4.7
4,TS,Close,3.7444
4,JS,Close,3.3
4,JS,Close,1.8667
4,JS,Close,5.1
4,JS,Close,1.4444
4,JS,Close,3.7111
4,JS,Close,1.7222
4,JS,Close,1.3444
4,JS,Close,2.3667
4,JS,Close,6.9
4,JS,Close,4.2889
5,AB,Close,1.2778
5,AB,Close,1.0333
5,AB,Close,1.3778
5,AB,Close,1.0667
5,AB,Close,1.0778
5,AB,Close,1.4333
5,AB,Close,1.2222
5,AB,Close,1.3556
5,AB,Close,1.1667
5,AB,Close,1.0778
5,EP,Close,2.1333
5,EP,Close,2.3222
5,EP,Close,1.8222
5,EP,Close,1.4333
5,EP,Close,1.6111
5,EP,Close,1.9444
5,EP,Close,1.6111
5,EP,Close,1.7556
5,EP,Close,2.1444
5,EP,Close,1.6778
5,TS,Close,1.5667
5,TS,Close,1.5333
5,TS,Close,1.9667
5,TS,Close,1.4778
5,TS,Close,3.9667
5,TS,Close,3.7
5,TS,Close,1.8444
5,TS,Close,1.1
5,TS,Close,2.0889
5,TS,Close,4.8222
5,JS,Close,2.4222
5,JS,Close,2.1889
5,JS,Close,2.9556
5,JS,Close,2.4222
5,JS,Close,2.1667
5,JS,Close,4.9667
5,JS,Close,5.2
5,JS,Close,3.0556
5,JS,Close,1.9222
5,JS,Close,1.7556
6,AB,Close,1.6
6,AB,Close,1.3111
6,AB,Close,1.2222
6,AB,Close,1.4222
6,AB,Close,1.4111
6,AB,Close,1.1667
6,AB,Close,1.3444
6,AB,Close,1.3778
6,AB,Close,1.3
6,AB,Close,1.2778
6,EP,Close,1.4778
6,EP,Close,1.5889
6,EP,Close,2.6444
6,EP,Close,2.0333
6,EP,Close,4.6
6,EP,Close,7
6,EP,Close,8.0112
6,EP,Close,1.3444
6,EP,Close,1.7222
6,EP,Close,2.4667
6,TS,Close,3.4778
6,TS,Close,1.7
6,TS,Close,1.6222
6,TS,Close,1.7222
6,TS,Close,1.8333
6,TS,Close,3.6555
6,TS,Close,1.4556
6,TS,Close,1.7778
6,TS,Close,1.7111
6,TS,Close,2.8667
6,JS,Close,1.3333
6,JS,Close,1.5
6,JS,Close,3.6111
6,JS,Close,1.5333
6,JS,Close,6.4778
6,JS,Close,3.4778
6,JS,Close,2.7111
6,JS,Close,1.9
6,JS,Close,1.7444
6,JS,Close,2.0889
7,AB,Close,1.8222
7,AB,Close,1.9444
7,AB,Close,1.8667
7,AB,Close,1.7444
7,AB,Close,1.4222
7,AB,Close,1.7222
7,AB,Close,1.8778
7,AB,Close,1.7444
7,AB,Close,1.6556
7,AB,Close,1.5889
7,EP,Close,2.0444
7,EP,Close,1.4667
7,EP,Close,1.6333
7,EP,Close,2.0444
7,EP,Close,1.9444
7,EP,Close,1.5111
7,EP,Close,1.5778
7,EP,Close,1.6889
7,EP,Close,1.4333
7,EP,Close,1.6
7,TS,Close,1.8
7,TS,Close,3.0889
7,TS,Close,1.7444
7,TS,Close,3.4778
7,TS,Close,1.0556
7,TS,Close,2.7556
7,TS,Close,1.8889
7,TS,Close,1.8444
7,TS,Close,1.9444
7,TS,Close,2.1111
7,JS,Close,1.7222
7,JS,Close,1.7222
7,JS,Close,1.3111
7,JS,Close,2.0333
7,JS,Close,1.5667
7,JS,Close,1.8667
7,JS,Close,1.5
7,JS,Close,1.9111
7,JS,Close,1.5111
7,JS,Close,1.7111
8,AB,Close,2
8,AB,Close,1.6111
8,AB,Close,1.5889
8,AB,Close,1.6889
8,AB,Close,1.7889
8,AB,Close,1.4
8,AB,Close,1.5778
8,AB,Close,1.8889
8,AB,Close,1.3889
8,AB,Close,1.4333
8,EP,Close,1.5667
8,EP,Close,2.9333
8,EP,Close,1.2444
8,EP,Close,1.5444
8,EP,Close,1.3889
8,EP,Close,1.1889
8,EP,Close,1.4111
8,EP,Close,2.0778
8,EP,Close,4.4
8,EP,Close,1.3222
8,TS,Close,1.5222
8,TS,Close,1.4
8,TS,Close,1.2444
8,TS,Close,1.3444
8,TS,Close,1.4667
8,TS,Close,1.3556
8,TS,Close,1.3778
8,TS,Close,1.4333
8,TS,Close,1.6889
8,TS,Close,1.4
8,JS,Close,1.7
8,JS,Close,1.4111
8,JS,Close,1.4889
8,JS,Close,1.4556
8,JS,Close,1.4889
8,JS,Close,1.3333
8,JS,Close,4.7667
8,JS,Close,1.4889
8,JS,Close,1.9444
8,JS,Close,1.3889
9,AB,Close,1.3778
9,AB,Close,1.3556
9,AB,Close,1.4
9,AB,Close,1.5111
9,AB,Close,1.4778
9,AB,Close,1.4444
9,AB,Close,1.3778
9,AB,Close,1.2778
9,AB,Close,1.5444
9,AB,Close,1.5
9,EP,Close,5.2
9,EP,Close,3.8222
9,EP,Close,2.5222
9,EP,Close,3.6444
9,EP,Close,4.7556
9,EP,Close,2.6889
9,EP,Close,6.5556
9,EP,Close,3.3889
9,EP,Close,3.4667
9,EP,Close,3.1222
9,TS,Close,2.1
9,TS,Close,2.2111
9,TS,Close,2.5889
9,TS,Close,3
9,TS,Close,2.6111
9,TS,Close,3.0556
9,TS,Close,3
9,TS,Close,4.5667
9,TS,Close,8.2112
9,TS,Close,4.2
9,JS,Close,3.2444
9,JS,Close,6.7667
9,JS,Close,3.2889
9,JS,Close,6.8445
9,JS,Close,5.5
9,JS,Close,3.8
9,JS,Close,6.8445
9,JS,Close,6.6
9,JS,Close,4.4889
9,JS,Close,3.2778
10,AB,Close,1.6889
10,AB,Close,1.7333
10,AB,Close,1.4889
10,AB,Close,1.8667
10,AB,Close,1.6889
10,AB,Close,1.8333
10,AB,Close,1.7333
10,AB,Close,2.6778
10,AB,Close,1.6222
10,AB,Close,1.2889
10,EP,Close,1.6222
10,EP,Close,3.0556
10,EP,Close,2.1
10,EP,Close,2.6556
10,EP,Close,3.1222
10,EP,Close,2.3444
10,EP,Close,2.4556
10,EP,Close,2.2111
10,EP,Close,5.4111
10,EP,Close,1.8778
10,TS,Close,1.7222
10,TS,Close,1.7
10,TS,Close,1.6778
10,TS,Close,5.4778
10,TS,Close,1.7778
10,TS,Close,2
10,TS,Close,2.1778
10,TS,Close,2.0222
10,TS,Close,1.7333
10,TS,Close,2
10,JS,Close,1.9889
10,JS,Close,1.5889
10,JS,Close,2.8111
10,JS,Close,3.2889
10,JS,Close,1.9889
10,JS,Close,1.8444
10,JS,Close,1.7667
10,JS,Close,1.9111
10,JS,Close,2.1
10,JS,Close,3.4
11,AB,Close,1.2778
11,AB,Close,1.2889
11,AB,Close,1.2667
11,AB,Close,1.4222
11,AB,Close,1.4444
11,AB,Close,2.3111
11,AB,Close,2.4111
11,AB,Close,1.3667
11,AB,Close,1.1222
11,AB,Close,1.2111
11,EP,Close,5.5333
11,EP,Close,2.8556
11,EP,Close,1.5667
11,EP,Close,7.2445
11,EP,Close,1.6444
11,EP,Close,3.9778
11,EP,Close,1.5
11,EP,Close,2.4667
11,EP,Close,1.7444
11,EP,Close,1.3333
11,TS,Close,1.8333
11,TS,Close,1.3111
11,TS,Close,2.5667
11,TS,Close,1.3444
11,TS,Close,1.6444
11,TS,Close,1.5
11,TS,Close,1.6778
11,TS,Close,4.5333
11,TS,Close,1.6111
11,TS,Close,1.3222
11,JS,Close,1.6444
11,JS,Close,1.6556
11,JS,Close,1.6778
11,JS,Close,1.6556
11,JS,Close,5.6111
11,JS,Close,1.5667
11,JS,Close,1.5889
11,JS,Close,1.5
11,JS,Close,1.2889
11,JS,Close,1.4778
12,AB,Close,1.0222
12,AB,Close,1.2333
12,AB,Close,1.1333
12,AB,Close,1.3333
12,AB,Close,1.2778
12,AB,Close,1.3111
12,AB,Close,1.0333
12,AB,Close,1.1333
12,AB,Close,1.0667
12,AB,Close,1.1667
12,EP,Close,2.1333
12,EP,Close,1.6
12,EP,Close,1.5444
12,EP,Close,1.4444
12,EP,Close,1.4222
12,EP,Close,1.4556
12,EP,Close,1.3889
12,EP,Close,1.3444
12,EP,Close,1.3222
12,EP,Close,1.3444
12,TS,Close,1.5778
12,TS,Close,1.1778
12,TS,Close,1.3444
12,TS,Close,1.2889
12,TS,Close,1.2222
12,TS,Close,1.6333
12,TS,Close,1.1778
12,TS,Close,1.1222
12,TS,Close,1.1778
12,TS,Close,1.2556
12,JS,Close,1.4222
12,JS,Close,1.3889
12,JS,Close,1.4111
12,JS,Close,1.3222
12,JS,Close,1.2222
12,JS,Close,1.3222
12,JS,Close,1.2778
12,JS,Close,1.1889
12,JS,Close,1.1444
12,JS,Close,1.3333
13,AB,Close,1.9222
13,AB,Close,1.8111
13,AB,Close,1.7
13,AB,Close,1.6222
13,AB,Close,1.8
13,AB,Close,1.6556
13,AB,Close,1.7667
13,AB,Close,1.6667
13,AB,Close,1.5667
13,AB,Close,1.5889
13,EP,Close,3.3555
13,EP,Close,2.2889
13,EP,Close,2.0111
13,EP,Close,2.0222
13,EP,Close,2.0444
13,EP,Close,1.9333
13,EP,Close,1.7778
13,EP,Close,1.9667
13,EP,Close,2.1333
13,EP,Close,1.6444
13,TS,Close,2.7111
13,TS,Close,3.6778
13,TS,Close,4.0555
13,TS,Close,3.0778
13,TS,Close,2.5333
13,TS,Close,2.7333
13,TS,Close,2.7556
13,TS,Close,1.9
13,TS,Close,3.8667
13,TS,Close,3.1444
13,JS,Close,1.8556
13,JS,Close,4.4667
13,JS,Close,5.4222
13,JS,Close,4.2778
13,JS,Close,1.7667
13,JS,Close,3.9222
13,JS,Close,1.9
13,JS,Close,1.9111
13,JS,Close,3.4444
13,JS,Close,1.7667
14,AB,Close,1.3
14,AB,Close,1.2889
14,AB,Close,1.3889
14,AB,Close,1.3889
14,AB,Close,1.3111
14,AB,Close,1.3111
14,AB,Close,1.3556
14,AB,Close,1.4111
14,AB,Close,1.2333
14,AB,Close,1.3333
14,EP,Close,1.8444
14,EP,Close,5.6889
14,EP,Close,1.9889
14,EP,Close,3.2222
14,EP,Close,2.5778
14,EP,Close,3.5778
14,EP,Close,2.9444
14,EP,Close,1.6222
14,EP,Close,3.3889
14,EP,Close,4.2444
14,TS,Close,2.4778
14,TS,Close,1.7222
14,TS,Close,2
14,TS,Close,3.9778
14,TS,Close,2.9111
14,TS,Close,1.7111
14,TS,Close,2.5444
14,TS,Close,1.9111
14,TS,Close,2.5333
14,TS,Close,3.1
14,JS,Close,2.2111
14,JS,Close,1.4333
14,JS,Close,1.3778
14,JS,Close,1.5778
14,JS,Close,1.3222
14,JS,Close,1.3556
14,JS,Close,1.3111
14,JS,Close,3.0556
14,JS,Close,1.6444
14,JS,Close,1.5222
15,AB,Close,1.26667
15,AB,Close,1.65556
15,AB,Close,1.43334
15,AB,Close,1.44445
15,AB,Close,1.62223
15,AB,Close,1.53334
15,AB,Close,1.35556
15,AB,Close,2.44444
15,AB,Close,1.34445
15,AB,Close,1.12222
15,EP,Close,2.27778
15,EP,Close,1.96667
15,EP,Close,2.32222
15,EP,Close,1.88889
15,EP,Close,3.52221
15,EP,Close,1.85556
15,EP,Close,1.83334
15,EP,Close,1.88889
15,EP,Close,1.85556
15,EP,Close,1.92223
15,TS,Close,5.94446
15,TS,Close,1.62223
15,TS,Close,3.75555
15,TS,Close,1.81112
15,TS,Close,1.67778
15,TS,Close,1.78889
15,TS,Close,1.54445
15,TS,Close,1.52222
15,TS,Close,1.7
15,TS,Close,1.67778
15,JS,Close,2.93333
15,JS,Close,1.82223
15,JS,Close,1.67778
15,JS,Close,10.3667
15,JS,Close,1.98889
15,JS,Close,3.17777
15,JS,Close,1.8
15,JS,Close,1.73334
15,JS,Close,1.91111
15,JS,Close,1.56667
1,AB,Mid,1.9
1,AB,Mid,1.7
1,AB,Mid,1.6556
1,AB,Mid,2.2
1,AB,Mid,1.7667
1,AB,Mid,1.7
1,AB,Mid,1.9111
1,AB,Mid,1.4778
1,AB,Mid,1.5111
1,AB,Mid,1.6111
1,EP,Mid,2.0556
1,EP,Mid,2.4889
1,EP,Mid,3.8667
1,EP,Mid,3.1889
1,EP,Mid,3.5555
1,EP,Mid,2.0111
1,EP,Mid,2.5778
1,EP,Mid,3.0222
1,EP,Mid,2.9889
1,EP,Mid,3.0889
1,TS,Mid,5.5778
1,TS,Mid,3.3889
1,TS,Mid,3.3
1,TS,Mid,1.9889
1,TS,Mid,2.3222
1,TS,Mid,4.1778
1,TS,Mid,5.8778
1,TS,Mid,5.6222
1,TS,Mid,4.2555
1,TS,Mid,4.8889
1,JS,Mid,3.0111
1,JS,Mid,1.4444
1,JS,Mid,2.3778
1,JS,Mid,4.0222
1,JS,Mid,3.9778
1,JS,Mid,5.2
1,JS,Mid,3.5667
1,JS,Mid,2.7444
1,JS,Mid,1.9667
1,JS,Mid,3.3
2,AB,Mid,1.9
2,AB,Mid,2.3889
2,AB,Mid,1.7778
2,AB,Mid,1.8778
2,AB,Mid,1.8778
2,AB,Mid,1.8889
2,AB,Mid,2.7556
2,AB,Mid,1.8556
2,AB,Mid,1.4889
2,AB,Mid,1.9333
2,EP,Mid,2.6
2,EP,Mid,2.5889
2,EP,Mid,3.4333
2,EP,Mid,4.1111
2,EP,Mid,4.9889
2,EP,Mid,6.7778
2,EP,Mid,3.5111
2,EP,Mid,4.3889
2,EP,Mid,2.5778
2,EP,Mid,3.9778
2,TS,Mid,2.0778
2,TS,Mid,1.6778
2,TS,Mid,2.2444
2,TS,Mid,1.8778
2,TS,Mid,2.1444
2,TS,Mid,2.4
2,TS,Mid,2.1889
2,TS,Mid,1.5889
2,TS,Mid,1.6
2,TS,Mid,1.6
2,JS,Mid,2.6333
2,JS,Mid,2.1222
2,JS,Mid,3.1
2,JS,Mid,2.9778
2,JS,Mid,3.2333
2,JS,Mid,3.0333
2,JS,Mid,2.3
2,JS,Mid,2.0889
2,JS,Mid,2.8111
2,JS,Mid,2.3444
3,AB,Mid,1.4889
3,AB,Mid,1.4111
3,AB,Mid,1.6444
3,AB,Mid,1.3889
3,AB,Mid,1.5222
3,AB,Mid,1.7
3,AB,Mid,1.4333
3,AB,Mid,1.5444
3,AB,Mid,1.5556
3,AB,Mid,1.5667
3,EP,Mid,1.8111
3,EP,Mid,1.5778
3,EP,Mid,2.6444
3,EP,Mid,1.5333
3,EP,Mid,3.4
3,EP,Mid,1.8778
3,EP,Mid,2.0333
3,EP,Mid,1.6667
3,EP,Mid,1.6556
3,EP,Mid,1.6
3,TS,Mid,2.2889
3,TS,Mid,1.6667
3,TS,Mid,2.0444
3,TS,Mid,1.8556
3,TS,Mid,2.3222
3,TS,Mid,1.4778
3,TS,Mid,2.3444
3,TS,Mid,2.5444
3,TS,Mid,2.1889
3,TS,Mid,1.6111
3,JS,Mid,1.5111
3,JS,Mid,1.4889
3,JS,Mid,1.6
3,JS,Mid,1.4556
3,JS,Mid,1.5333
3,JS,Mid,1.6111
3,JS,Mid,1.5444
3,JS,Mid,1.5556
3,JS,Mid,1.8
3,JS,Mid,1.4667
4,AB,Mid,1.4222
4,AB,Mid,1.5889
4,AB,Mid,1.8
4,AB,Mid,1.4778
4,AB,Mid,1.3667
4,AB,Mid,1.6
4,AB,Mid,1.9667
4,AB,Mid,1.3333
4,AB,Mid,1.5778
4,AB,Mid,1.8222
4,EP,Mid,2.5444
4,EP,Mid,3.7555
4,EP,Mid,2.3444
4,EP,Mid,2.1444
4,EP,Mid,3.5111
4,EP,Mid,3.9222
4,EP,Mid,5.9778
4,EP,Mid,2.7889
4,EP,Mid,3.1778
4,EP,Mid,3.3333
4,TS,Mid,5.5445
4,TS,Mid,3.0778
4,TS,Mid,2.6111
4,TS,Mid,5.4556
4,TS,Mid,8.6112
4,TS,Mid,3.4555
4,TS,Mid,3.3778
4,TS,Mid,3.1555
4,TS,Mid,3.9222
4,TS,Mid,4.3889
4,JS,Mid,1.8333
4,JS,Mid,4.8444
4,JS,Mid,3.4
4,JS,Mid,4.1
4,JS,Mid,2.8444
4,JS,Mid,2.2556
4,JS,Mid,2.4889
4,JS,Mid,2.1222
4,JS,Mid,9.8001
4,JS,Mid,3.0333
5,AB,Mid,2.2444
5,AB,Mid,1.2111
5,AB,Mid,2.0667
5,AB,Mid,1.5444
5,AB,Mid,1.1778
5,AB,Mid,1.3222
5,AB,Mid,1.3333
5,AB,Mid,1.4778
5,AB,Mid,1.1889
5,AB,Mid,1.1556
5,EP,Mid,1.9333
5,EP,Mid,1.5444
5,EP,Mid,3.1555
5,EP,Mid,2.1222
5,EP,Mid,1.8111
5,EP,Mid,1.6111
5,EP,Mid,1.5889
5,EP,Mid,2.9889
5,EP,Mid,2.1556
5,EP,Mid,1.9333
5,TS,Mid,1.5111
5,TS,Mid,1.9444
5,TS,Mid,2.0111
5,TS,Mid,1.6444
5,TS,Mid,2.1778
5,TS,Mid,1.4111
5,TS,Mid,1.9222
5,TS,Mid,1.3889
5,TS,Mid,1.3889
5,TS,Mid,1.4222
5,JS,Mid,1.9
5,JS,Mid,1.2778
5,JS,Mid,1.9222
5,JS,Mid,1.4111
5,JS,Mid,1.5667
5,JS,Mid,1.9333
5,JS,Mid,1.9222
5,JS,Mid,2.4222
5,JS,Mid,1.7556
5,JS,Mid,2.0444
6,AB,Mid,1.5667
6,AB,Mid,1.4111
6,AB,Mid,1.3667
6,AB,Mid,1.3444
6,AB,Mid,1.4
6,AB,Mid,1.4444
6,AB,Mid,1.6
6,AB,Mid,1.5
6,AB,Mid,1.7111
6,AB,Mid,1.7444
6,EP,Mid,2.6444
6,EP,Mid,2
6,EP,Mid,2.0556
6,EP,Mid,2.2889
6,EP,Mid,3.5111
6,EP,Mid,2.2333
6,EP,Mid,1.8556
