sub_num,case_nm,v_h_close,v_h_mid,v_h_far,v_h_high
1,AB,0.070218,0.079402,0.087831,0.037973
1,EP,0.12391,0.090548,0.071823,0.084266
1,TS,0.19895,0.33701,0.088031,0.13916
1,JS,0.21896,0.24325,0.18346,0.17818
2,AB,0.07886,0.076988,0.072648,0.069348
2,EP,0.15026,0.08233,0.12332,0.1039
2,TS,0.18297,0.055179,0.046174,0.088245
2,JS,0.19931,0.093465,0.092329,0.096056
3,AB,0.055462,0.046024,0.028181,0.041083
3,EP,0.1486,0.086277,0.1269,0.053853
3,TS,0.046696,0.11194,0.098687,0.070141
3,JS,0.043104,0.05546,0.050684,0.064268
4,AB,0.040906,0.063354,0.032513,0.045719
4,EP,0.07207,0.11747,0.12226,0.11961
4,TS,0.28001,0.13938,0.14113,0.13624
4,JS,0.11514,0.086112,0.10343,0.044081
5,AB,0.064843,0.044235,0.053292,0.05025
5,EP,0.088989,0.12603,0.076473,0.084887
5,TS,0.19635,0.077858,0.056221,0.070862
5,JS,0.128,0.10427,0.079109,0.045784
6,AB,0.038235,0.05242,0.01659,0.032334
6,EP,0.075649,0.10504,0.09173,0.088632
6,TS,0.060969,0.13116,0.047703,0.041126
6,JS,0.080344,0.10743,0.054428,0.10978
7,AB,0.061929,0.047873,0.035787,0.046242
7,EP,0.079086,0.075338,0.076182,0.069273
7,TS,0.12888,0.073051,0.063065,0.090726
7,JS,0.065757,0.066504,0.038898,0.049881
8,AB,0.10873,0.050843,0.029403,0.054897
8,EP,0.15718,0.070725,0.10034,0.096908
8,TS,0.080384,0.16584,0.083642,0.051041
8,JS,0.12185,0.10664,0.047518,0.09016
9,AB,0.05692,0.032134,0.045168,0.036046
9,EP,0.12694,0.16641,0.13493,0.074724
9,TS,0.14551,0.073267,0.077111,0.056308
9,JS,0.24897,0.057211,0.043407,0.1119
10,AB,0.061542,0.041234,0.03716,0.048209
10,EP,0.19859,0.14025,0.10502,0.19817
10,TS,0.078706,0.15333,0.074304,0.13854
10,JS,0.071038,0.11523,0.056085,0.114
11,AB,0.12976,0.037492,0.039278,0.053482
11,EP,0.06591,0.15073,0.086514,0.083947
11,TS,0.078895,0.095637,0.038248,0.050445
11,JS,0.035971,0.057134,0.028487,0.058014
12,AB,0.045985,0.033935,0.035559,0.060621
12,EP,0.11623,0.11806,0.1071,0.074225
12,TS,0.071345,0.077436,0.11677,0.049654
12,JS,0.052518,0.056838,0.04057,0.080771
13,AB,0.03608,0.030546,0.037557,0.040191
13,EP,0.11738,0.046878,0.044709,0.032411
13,TS,0.12789,0.16823,0.091914,0.090185
13,JS,0.15753,0.13648,0.045029,0.079033
14,AB,0.06145,0.046452,0.088045,0.063794
14,EP,0.11713,0.060326,0.040857,0.077802
14,TS,0.16703,0.062651,0.059466,0.06644
14,JS,0.11604,0.032439,0.040609,0.048609
15,AB,0.067019,0.048213,0.02723,0.047638
15,EP,0.05293,0.078034,0.061928,0.060169
15,TS,0.056287,0.051667,0.05987,0.045833
15,JS,0.064119,0.056125,0.037983,0.055077
