sub_num,case_nm,target,v_h
1,AB,Close,0.070218
1,EP,Close,0.12391
1,TS,Close,0.19895
1,JS,Close,0.21896
2,AB,Close,0.07886
2,EP,Close,0.15026
2,TS,Close,0.18297
2,JS,Close,0.19931
3,AB,Close,0.055462
3,EP,Close,0.1486
3,TS,Close,0.046696
3,JS,Close,0.043104
4,AB,Close,0.040906
4,EP,Close,0.07207
4,TS,Close,0.28001
4,JS,Close,0.11514
5,AB,Close,0.064843
5,EP,Close,0.088989
5,TS,Close,0.19635
5,JS,Close,0.128
6,AB,Close,0.038235
6,EP,Close,0.075649
6,TS,Close,0.060969
6,JS,Close,0.080344
7,AB,Close,0.061929
7,EP,Close,0.079086
7,TS,Close,0.12888
7,JS,Close,0.065757
8,AB,Close,0.10873
8,EP,Close,0.15718
8,TS,Close,0.080384
8,JS,Close,0.12185
9,AB,Close,0.05692
9,EP,Close,0.12694
9,TS,Close,0.14551
9,JS,Close,0.24897
10,AB,Close,0.061542
10,EP,Close,0.19859
10,TS,Close,0.078706
10,JS,Close,0.071038
11,AB,Close,0.12976
11,EP,Close,0.06591
11,TS,Close,0.078895
11,JS,Close,0.035971
12,AB,Close,0.045985
12,EP,Close,0.11623
12,TS,Close,0.071345
12,JS,Close,0.052518
13,AB,Close,0.03608
13,EP,Close,0.11738
13,TS,Close,0.12789
13,JS,Close,0.15753
14,AB,Close,0.06145
14,EP,Close,0.11713
14,TS,Close,0.16703
14,JS,Close,0.11604
15,AB,Close,0.067019
15,EP,Close,0.05293
15,TS,Close,0.056287
15,JS,Close,0.064119
1,AB,Mid,0.079402
1,EP,Mid,0.090548
1,TS,Mid,0.33701
1,JS,Mid,0.24325
2,AB,Mid,0.076988
2,EP,Mid,0.08233
2,TS,Mid,0.055179
2,JS,Mid,0.093465
3,AB,Mid,0.046024
3,EP,Mid,0.086277
3,TS,Mid,0.11194
3,JS,Mid,0.05546
4,AB,Mid,0.063354
4,EP,Mid,0.11747
4,TS,Mid,0.13938
4,JS,Mid,0.086112
5,AB,Mid,0.044235
5,EP,Mid,0.12603
5,TS,Mid,0.077858
5,JS,Mid,0.10427
6,AB,Mid,0.05242
6,EP,Mid,0.10504
6,TS,Mid,0.13116
6,JS,Mid,0.10743
7,AB,Mid,0.047873
7,EP,Mid,0.075338
7,TS,Mid,0.073051
7,JS,Mid,0.066504
8,AB,Mid,0.050843
8,EP,Mid,0.070725
8,TS,Mid,0.16584
8,JS,Mid,0.10664
9,AB,Mid,0.032134
9,EP,Mid,0.16641
9,TS,Mid,0.073267
9,JS,Mid,0.057211
10,AB,Mid,0.041234
10,EP,Mid,0.14025
10,TS,Mid,0.15333
10,JS,Mid,0.11523
11,AB,Mid,0.037492
11,EP,Mid,0.15073
11,TS,Mid,0.095637
11,JS,Mid,0.057134
12,AB,Mid,0.033935
12,EP,Mid,0.11806
12,TS,Mid,0.077436
12,JS,Mid,0.056838
13,AB,Mid,0.030546
13,EP,Mid,0.046878
13,TS,Mid,0.16823
13,JS,Mid,0.13648
14,AB,Mid,0.046452
14,EP,Mid,0.060326
14,TS,Mid,0.062651
14,JS,Mid,0.032439
15,AB,Mid,0.048213
15,EP,Mid,0.078034
15,TS,Mid,0.051667
15,JS,Mid,0.056125
1,AB,Far,0.087831
1,EP,Far,0.071823
1,TS,Far,0.088031
1,JS,Far,0.18346
2,AB,Far,0.072648
2,EP,Far,0.12332
2,TS,Far,0.046174
2,JS,Far,0.092329
3,AB,Far,0.028181
3,EP,Far,0.1269
3,TS,Far,0.098687
3,JS,Far,0.050684
4,AB,Far,0.032513
4,EP,Far,0.12226
4,TS,Far,0.14113
4,JS,Far,0.10343
5,AB,Far,0.053292
5,EP,Far,0.076473
5,TS,Far,0.056221
5,JS,Far,0.079109
6,AB,Far,0.01659
6,EP,Far,0.09173
6,TS,Far,0.047703
6,JS,Far,0.054428
7,AB,Far,0.035787
7,EP,Far,0.076182
7,TS,Far,0.063065
7,JS,Far,0.038898
8,AB,Far,0.029403
8,EP,Far,0.10034
8,TS,Far,0.083642
8,JS,Far,0.047518
9,AB,Far,0.045168
9,EP,Far,0.13493
9,TS,Far,0.077111
9,JS,Far,0.043407
10,AB,Far,0.03716
10,EP,Far,0.10502
10,TS,Far,0.074304
10,JS,Far,0.056085
11,AB,Far,0.039278
11,EP,Far,0.086514
11,TS,Far,0.038248
11,JS,Far,0.028487
12,AB,Far,0.035559
12,EP,Far,0.1071
12,TS,Far,0.11677
12,JS,Far,0.04057
13,AB,Far,0.037557
13,EP,Far,0.044709
13,TS,Far,0.091914
13,JS,Far,0.045029
14,AB,Far,0.088045
