sub_num,case_nm,v_j_close,v_j_mid,v_j_far,v_j_high
1,AB,0.055762,0.06357,0.1361,0.092378
1,EP,0.24888,0.25652,0.29931,0.29798
1,TS,0.32324,0.34383,0.29448,0.40396
1,JS,0.28031,0.29456,0.41709,0.35008
2,AB,0.066339,0.15106,0.17605,0.16718
2,EP,0.26191,0.23661,0.34933,0.42832
2,TS,0.13285,0.20067,0.19297,0.24329
2,JS,0.23023,0.26902,0.22335,0.29398
3,AB,0.071579,0.11026,0.052192,0.11804
3,EP,0.26689,0.26092,0.28515,0.26392
3,TS,0.095632,0.3203,0.32182,0.19437
3,JS,0.17634,0.14936,0.16833,0.25316
4,AB,0.068754,0.12622,0.070774,0.10871
4,EP,0.17393,0.35115,0.63006,1.6627
4,TS,0.31682,0.50074,0.47368,1.2893
4,JS,0.44163,0.30821,0.35949,0.38204
5,AB,0.070751,0.14824,0.10717,0.16528
5,EP,0.19319,0.23533,0.24822,0.29318
5,TS,0.30144,0.24824,0.13553,0.18748
5,JS,0.53884,0.28063,0.3229,0.34584
6,AB,0.064047,0.099882,0.030628,0.086574
6,EP,0.2923,0.20942,0.43417,0.35826
6,TS,0.15021,0.2979,0.16705,0.18122
6,JS,0.17957,0.26897,0.27328,0.22127
7,AB,0.069299,0.087135,0.095831,0.093879
7,EP,0.1184,0.18191,0.25171,0.17138
7,TS,0.22593,0.19152,0.28979,0.23201
7,JS,0.13343,0.21762,0.17136,0.22154
8,AB,0.10952,0.091966,0.095742,0.15846
8,EP,0.24056,0.25541,0.34025,0.27493
8,TS,0.29327,0.4479,0.37648,0.2157
8,JS,0.20405,0.36775,0.22737,0.30022
9,AB,0.066009,0.073777,0.070472,0.087486
9,EP,0.40539,0.39658,0.32439,0.41836
9,TS,0.27437,0.21112,0.23044,0.16118
9,JS,0.3524,0.204,0.13767,0.23428
10,AB,0.066772,0.06409,0.15437,0.16177
10,EP,0.28402,0.3092,0.33057,0.48388
10,TS,0.19175,0.3016,0.31723,0.28368
10,JS,0.1924,0.27271,0.21129,0.29503
11,AB,0.12258,0.092921,0.094778,0.15836
11,EP,0.29964,0.35314,0.35466,0.28264
11,TS,0.19595,0.2365,0.12197,0.18414
11,JS,0.13114,0.19699,0.11371,0.29745
12,AB,0.072654,0.089024,0.089217,0.17423
12,EP,0.27618,0.21841,0.24387,0.22671
12,TS,0.15248,0.1903,0.22445,0.17404
12,JS,0.18928,0.1997,0.21169,0.20378
13,AB,0.075157,0.062597,0.065085,0.10325
13,EP,0.19865,0.23795,0.18681,0.15561
13,TS,0.28379,0.44893,0.27955,0.25286
13,JS,0.17548,0.23496,0.22609,0.24741
14,AB,0.059007,0.099094,0.15195,0.18321
14,EP,0.23579,0.18616,0.24725,0.30504
14,TS,0.22344,0.23932,0.18455,0.26212
14,JS,0.097115,0.13742,0.12284,0.15426
15,AB,0.066481,0.12298,0.058799,0.10623
15,EP,0.24893,0.24611,0.2731,0.1916
15,TS,0.16399,0.16051,0.18757,0.22063
15,JS,0.14858,0.17853,0.11845,0.20382
